"molecule structure","name","activity","type"
"c1[nH]c2c(n1)c(ncn2)N","adenine","1","real"
"c1[nH]c2c(n1)c(nc(n2)N)N","2,6-diaminopurine","1","real"
"c1c([nH+]c(nc1N)N)N","2,4,6-triaminopyrimidine","1","real"
"c1c2c([nH]cn2)nc(n1)N","2-aminopurine","1","real"
"c1[nH]c2c(=O)[nH]c(nc2n1)N","guanine","1","real"
"c1c2c([nH]cn2)ncn1","purine","1","real"
"CNc1c2c([nH]cn2)ncn1","N6-methyladenine","1","real"
"c1[nH]c(c-2nc(nc2n1)Cl)N","8-chloroadenine","0","real"
"Cn1cnc-2ncnc2c1N","1-methyladenine","0","real"
"Cn1cnc(c-2ncnc12)N","3-methyladenine","0","real"
"c1[nH]c2c(n1)c(nc(n2)Cl)N","2-chloroadenine","0","real"
"c1nc(c2c(n1)n[n-]n2)N","8-azaadenine","0","real"
"CN(C)c1c2c([nH]cn2)ncn1","N6,N6-dimethyladenine","0","real"
"c1cc2c([nH]cn2)nc1","1-deazapurine","0","real"
"c1[nH]c2c(n1)c(ncn2)C#N","6-cyanopurine","0","real"
"c1[nH]c2c(n1)c(=S)[nH]cn2","6-mercaptopurine","0","real"
"c1[nH]c2c(=O)[nH]cnc2n1","hypoxanthine","0","real"
"c1[nH]c2c(n1)[nH]c(=O)[nH]c2=O","xanthine","0","real"
"CCc1nc(c(o1)NN)C#N","P12618448","0","decoy"
"C[C@@H]1[C@H]([C@H]([C@@H](O1)O)O)O","P20855218","0","decoy"
"C[C@@H](C1CC1)N(C(=O)N)O","P21190230","0","decoy"
"Cc1c(c(c(o1)C)C(=O)[O-])C[NH3+]","P23843064","0","decoy"
"c1cc(ccc1C(=O)N)NC=O","P23963563","0","decoy"
"C1C[C@H](OC1)CNC(=O)N","P24145078","0","decoy"
"C1CC[C@@H]([C@H](C1)C(=O)NO)O","P24243466","0","decoy"
"C[C@@H]1[C@@H]([C@@H]([C@@H](O1)O)O)O","P32736201","0","decoy"
"C[C@H]1CCCN(C1)C(=O)NN","P54927225","0","decoy"
"Cc1cnn(c1)C/C(=N/O)/N","P56031139","0","decoy"
"CC/C(=C\C)/C(=O)NC(=O)N","P56550642","0","decoy"
"[H]/N=C/1\NC[C@@H](N1)C(=O)Cl","P59178709","0","decoy"
"CC[C@]1(C[C@@](N(N1)C)(C)O)O","P59283247","0","decoy"
"C[C@]1(C(OC(=O)N1N)(C)C)O","P59419231","0","decoy"
"C[C@@]1(C(OC(=O)N1N)(C)C)O","P59419233","0","decoy"
"CC[C@](C)(C#N)NC(=O)N","P61273721","0","decoy"
"C[C@H](c1[nH]nc([nH+]1)[S-])O","P66010263","0","decoy"
"C[C@@H]1[C@@H]([C@H]([C@H](O1)O)O)O","P67315782","0","decoy"
"C1C[C@@H](/C(=N/O)/C1)NO","P83576915","0","decoy"
"CC[C@@]1(CC[NH2+]C1)C(=O)N[O-]","P92124050","0","decoy"
"C[C@H](C(=O)N)N1CC[C@@H](C1)O","P94526040","0","decoy"
"C[C@@H]1CN(C[C@H](N1)C)C(=O)N","P107221164","0","decoy"
"CN1CCC(CC1)/C(=N/O)/N","P109018794","0","decoy"
"Cc1ccnn1C/C(=N/O)/N","P109049405","0","decoy"
"c1cc(oc1)CC(=O)NC(=O)N","P111214489","0","decoy"
"C1COCCC1(CC(=O)[O-])[NH3+]","P111922037","0","decoy"
"CC1=N[C@]([C@@](N1)(C)O)(C)O","P123406382","0","decoy"
"C1CC[C@H]([NH2+]CC1)C(=O)N[O-]","P126500777","0","decoy"
"c1c[nH]c(=NC(=O)NC2CC2)[nH]1","P128856802","0","decoy"
"C[C@H](CN)N1CCCNC1=O","P129061958","0","decoy"
"C[C@@H]1CCC[C@@]1(c2n[n-]nn2)[NH3+]","P130426551","0","decoy"
"CCN(C1CNC1)C(=O)N","P133406437","0","decoy"
"CN(C)C(=O)N[C@@H]1C[C@H]1N","P134619762","0","decoy"
"C[C@@H]1[C@H](CC[NH2+]1)C(=O)N[O-]","P135102317","0","decoy"
"[H]/N=C/1\[C@H](NC(=O)N1)CC(C)C","P136172721","0","decoy"
