"molecule structure","name","activity","type"
"Cc1cc2c(cc1C)n(c-3nc(=O)[nH]c(=O)c3n2)C[C@@H]([C@@H]([C@@H](COP(=O)([O-])[O-])O)O)O","FMN","1","real"
"CNc1ncc(cn1)C[N@]2CCC[C@@H](C2)c3[nH]c(=O)cc(n3)c4cccs4","Ribocil-B","1","real"
"c1cc(sc1)c2cc(=O)[nH]c(n2)[C@H]3CCC[N@@H+](C3)Cc4cn(cn4)c5ncccn5","Ribocil-C","1","real"
"Cc1cc2c(cc1C)N(c3c(c(=O)[nH]c(=O)[nH]3)N2)C[C@@H]([C@@H]([C@@H](COP(=O)([O-])[O-])O)O)O","FMNH2","1","real"
"Cc1cc2c(cc1N(C)C)n(c-3nc(=O)[nH]c(=O)c3n2)CCCCCOP(=O)([O-])[O-]","BRX830","1","real"
"Cc1cc2c(cc1C)n(c-3nc(=O)[nH]c(=O)c3n2)C","Lumiflavin","1","real"
"Cc1cc2c(cc1N(C)C)n(c-3nc(=O)[nH]c(=O)c3n2)CCCCCCC(=O)[O-]","BRX857","1","real"
"Cc1cc2c(cc1C)n(c-3nc(=O)[nH]c(=O)c3n2)CC[NH2+]CCCC(=O)[O-]","BRX931","1","real"
"Cc1cc2c(cc1C)n(c-3nc(=O)[nH]c(=O)c3n2)CC[NH+]4CCC(CC4)C(=O)[O-]","BRX1224","1","real"
"Cc1cc2c(cc1NC3CCCC3)n(c-4nc(=O)[nH]c(=O)c4n2)CCCCCCC(=O)[O-]","BRX1151","1","real"
"Cc1cc2c(cc1C)n(c-3nc(=O)[nH]c(=O)c3n2)CC[NH2+]Cc4ccc(cc4)Cl","BRX1373","1","real"
"Cc1cc2c(cc1C)n(c-3nc(=O)[nH]c(=O)c3n2)CC[C@H](C)c4ccc(cc4)F","5FDQD","1","real"
"Cc1cc2c(cc1C)n(c-3nc(=O)[nH]c(=O)c3n2)CC[N@@H+](CCCC(=O)[O-])Cc4ccccc4","BRX1354","1","real"
"Cc1cc2c(cc1C)n(c-3nc(=O)[nH]c(=O)c3n2)CCNc4ccccc4","BRX1342","1","real"
"Cc1c2ccncc2c(c3c1[nH]c4c3cc(cc4)OC)C","WG-1","1","real"
"CCOc1ccccc1/N=c\2/c(cc3ccc(cc3o2)O)C(=O)Nc4cc[nH+]cc4","P05242674","0","decoy"
"CCn1c(ccn1)C(=O)Nc2c(c3c(s2)C([NH2+]C(C3)(C)C)(C)C)C(=O)OCC","P17340490","0","decoy"
"c1cc2c(cc1NC(=O)NC(=O)CCSc3ccc(c[nH+]3)C(F)(F)F)OCO2","P18572993","0","decoy"
"c1ccc2c(c1)OC[C@H](O2)C(=O)OCc3[nH+]c(c4c5c(sc4n3)CCCCC5)N","P20320369","0","decoy"
"CCn1ccc(n1)C(=O)Nc2c(c3c(s2)C([NH2+]C(C3)(C)C)(C)C)C(=O)OCC","P21086045","0","decoy"
"CCn1c(cc(n1)C(=O)Nc2c(c3c(s2)C([NH2+]C(C3)(C)C)(C)C)C(=O)OC)C","P21086803","0","decoy"
"COC(=O)c1c([nH+]c[nH]1)C(=O)Nc2ccc(cc2C(=O)c3ccccc3)Br","P24956981","0","decoy"
"Cn1c2ccccc2[nH+]c1COCC(=O)Nc3nc(cs3)c4c[nH]c5c4cccc5","P29145992","0","decoy"
"CC(C)COc1ccc(cc1OC)[C@@H]2[C@@H]3CN(CC=C3C(=C(C2(C#N)C#N)[NH3+])C#N)C","P30118005","0","decoy"
"C[NH+]1CCc2c(sc(c2CNC(=O)Nc3cc(cc(c3)OC)OC)n4cccc4)C1","P31243189","0","decoy"
"Cc1[nH+]c(cc(n1)N(C)C)Nc2ccc(cc2)NS(=O)(=O)c3cccc(c3)F","P32440872","0","decoy"
"Cc1c2c([nH]c1C(=O)N[C@@H](c3ccccc3OC)c4[nH+]ccn4C)CC(CC2=O)(C)C","P37755072","0","decoy"
"CNC(=O)c1ccccc1NC(=O)c2cccc(c2)OCc3cn4ccccc4[nH+]3","P37864369","0","decoy"
"c1cc2c(nc1)n(c(n2)c3cc[nH+]cc3)CCCNC(=O)Nc4ccc(c(c4)Cl)F","P48885273","0","decoy"
"c1cc2c(nc1)n(c(n2)c3cc[nH+]cc3)CCCNC(=O)Nc4cc(ccc4F)F","P48885282","0","decoy"
"c1cc2c(nc1)n(c(n2)c3cc[nH+]cc3)CCCNC(=O)Nc4ccc(cc4)Cl","P49195680","0","decoy"
"CC1=C([C@H](N2C(=N1)[NH+]=CN2)c3ccc(cc3)SC)C(=O)Nc4ccccc4OC","P53674061","0","decoy"
"c1cc(oc1)CNC(=O)C2=C(C3=[NH+][C@H](C[C@H](N3N2)C(F)(F)F)c4ccco4)Cl","P57587620","0","decoy"
"CCOC(=O)C1=C(OC2=c3cc(ccc3=[NH+]C(=O)[C@@H]2[C@H]1c4ccccc4)OC)N","P58356265","0","decoy"
"c1cc(oc1)[C@H]2c3ccc(cc3OC(=C2C#N)[NH3+])OC(=O)COc4ccc(cc4)Cl","P58526020","0","decoy"
