"molecule structure","name","activity","type"
"Cc1nc(nc(n1)N)N","26","1","real"
"c1nc(nc(n1)N)N","27","1","real"
"c1(c(nc(nc1N)N)N)N","2,4,5,6-tetraaminopyrimidine","1","real"
"c1c(nc(nc1N)N)N","2,4,6-triaminopyrimidine","1","real"
"c1(nc(nc(n1)N)N)N","2,4,6-triamino-1,3,5-triazine","1","real"
"c1[nH]c2c(n1)c(nc(n2)F)N","2-fluoroadenine","1","real"
"c1[nH]c2c(n1)[C@H](NC(=N2)N)Cl","6-chloroguanine","1","real"
"COc1c2c([nH]cn2)nc(n1)N","O6-methylguanine","1","real"
"c1[nH]c2c(n1)c(nc(n2)N)Br","6-bromoguanine","1","real"
"CNc1c2c([nH]cn2)ncn1","6-methylaminopurine","1","real"
"c1[nH]c2c(n1)c(nc(n2)N)N","2,6-diaminopurine","1","real"
"c1[nH]c2c(n1)c(ncn2)N","adenine","1","real"
"c1c2c([nH]cn2)nc(n1)N","2-aminopurine","1","real"
"c1c2c([nH]cn2)ncn1","purine","1","real"
"c1cnc([nH]c1=O)N","19","0","real"
"c1c[nH]c(=O)[nH]c1=O","20","0","real"
"Cc1c[nH]c(=O)[nH]c1=O","21","0","real"
"c1(nc2[nH]nc(n2n1)N)N","24","0","real"
"c1(nc(nc(n1)Cl)N)N","25","0","real"
"c1(nc(sn1)Br)N","28","0","real"
"c1cnc(nc1N)N","2,4-diaminopyrimidine","0","real"
"c1[nH]c2c(=O)[nH]c(nc2n1)N","guanine","0","real"
"c1[nH]c2c(n1)[nH]c(=O)[nH]c2=O","xanthine","0","real"
"c1[nH]c2c(=O)[nH]cnc2n1","hypoxanthine","0","real"
"c1ccc2c(c1)[nH]cn2","benzimidazole","0","real"
"c1csc2c1[nH]c(c2)C(=O)NN","P23889311","0","decoy"
"c1(nnc(n1N)NN)C(F)(F)F","P24311788","0","decoy"
"c1cc(c(c(c1CNN)O)O)O","P28303340","0","decoy"
"C[C@@-](C(=[NH2+])N)[N+](=O)[O-]","P39653415","0","decoy"
"c1c(cn[nH]1)NC(=O)c2c[nH]c(=O)[nH]2","P52296699","0","decoy"
"C1CCC(CC1)NC(=O)N[C@@H]2C[C@H]2N","P53890849","0","decoy"
"C[C@H]1CCCC[C@H]1NC(=O)C(=O)NN","P54927279","0","decoy"
"CCc1ccccc1NC(=O)NN","P54927291","0","decoy"
"C1CCC(C1)CNC(=O)NN","P55400778","0","decoy"
"Cc1ccccc1NC(=O)NC(=O)N","P56326608","0","decoy"
"c1cc(n(c1)N)C(=O)N","P58782109","0","decoy"
"C1C[NH+]=C(N1)CC(=[NH2+])N","P59281545","0","decoy"
"C1CC[C@@H]([C@@H](C1)[NH3+])NC(=O)C(=O)[O-]","P64172446","0","decoy"
"C[C@H]1CCCC[C@H]1CNC(=O)NN","P64802051","0","decoy"
"CNC(=O)C1(CCCCC1)/C(=N/O)/N","P67536890","0","decoy"
"CN1CCc2c(c(=O)[nH]c(n2)NN)C1","P73870783","0","decoy"
"[C@@H]1(N=[NH+]/C(=N\N)/N1N)[S-]","P82752793","0","decoy"
"C[C@@H]1CN[C@H](CN1)C(=O)N","P96399081","0","decoy"
"c1cc(c(cc1C(=[NH2+])N)[N+](=O)[O-])[O-]","P96734705","0","decoy"
"C[C@@H]1C[C@@](CCO1)(C(=O)N)N","P107050635","0","decoy"
"CC(C)(C(=O)NO)N","P107223398","0","decoy"
"c1cc(c2cc[nH]c2c1)[C@@H](C(=O)[O-])[NH3+]","P112142028","0","decoy"
"c1c2c(cc(c1O)O)OC(=O)[C@H](C2)N","P120547666","0","decoy"
"C1C[C@H](NC1)/C(=N\O)/N","P129931351","0","decoy"
"C[C@H]1C/C(=N\N=C(N)N)/CCO1","P130754870","0","decoy"
"CN1CC[C@@H](C1=O)S/C(=N/N)/N","P130758254","0","decoy"
"C1C[C@@H](C[C@H]1C(=O)NC2CC(C2)[O-])[NH3+]","P133040840","0","decoy"
"C[C@H]1CCC[C@](C1)(C(=O)NC(=O)N)N","P134788115","0","decoy"
"C1C[C@@H](NC1)C(=O)NC(=O)N","P134793200","0","decoy"
"c1c[nH]nc1NC(=O)[C@H]2C[C@@H](C=C2)N","P134835625","0","decoy"
"C[C@@H](C[NH3+])c1[nH]c(=O)cc(n1)[O-]","P135350215","0","decoy"
"CN(C)[C@H]1CCC[C@](C1)(C(=O)N)N","P135575584","0","decoy"
