"molecule structure","name","activity","type"
"c1cc(c2c(c1NCC[NH2+]CCO)C(=O)c3c(ccc(c3C2=O)O)O)NCC[NH2+]CCO","Mitoxantrone","1","real"
"C[C@@]1(CO[C@@H]([C@@H]([C@H]1[NH2+]C)O)O[C@H]2[C@@H](C[C@@H]([C@H]([C@@H]2O)O[C@H]3CC(=CC[C@H]3[NH3+])C[NH3+])[NH3+])[NH3+])O","Sisomicin","1","real"
"c1cc[nH+]c(c1)N2CCN(CC2)CCCn3cc(c(=O)c4c3cc(c(c4)N)N5CCN(CC5)c6cccc[nH+]6)C(=O)[O-]","WM5_6","1","real"
"c1ccc2c(c1)nc(s2)N3CCN(CC3)c4cc5c(cc4N)c(=O)c(cn5CCc6ccccn6)C(=O)[O-]","WM5_10","1","real"
"Cc1ccc2c(c(sc2n1)C(=O)Nc3cccc(c3)C(F)(F)F)N","ST4133609","1","real"
"c1cc(cc(c1)C(F)(F)F)c2ccc3c(c(sc3n2)C(=O)Nc4ccncc4)N","ST0143353","1","real"
"CC(=O)c1ccc2c(c1)N(c3ccccc3S2)CCC[NH+](C)C","acetylpromazine","1","real"
"CC(=O)Nc1nc(cs1)c2cccc(c2)NC(=O)[C@H](Cc3c[nH]c4c3cccc4)[NH3+]","6b","1","real"
"CC(=O)Nc1nc(cs1)c2cccc(c2)NC(=O)CNC(=O)[C@H](Cc3cnc[nH]3)[NH3+]","9d","1","real"
"CC(=O)Nc1nc(cs1)c2cccc(c2)NC(=O)[C@@H](CNC(=O)[C@H](CCCNC(=[NH2+])N)[NH3+])NC(=O)[C@H](CCCNC(=[NH2+])N)[NH3+]","14b","1","real"
"c1cc(cc2c1ccnc2N)N","Zeiger17","1","real"
"c1cc2c(cc1N)c(nc([nH+]2)N)N","Zeiger22","1","real"
"c1cc2c(c(c1N)N)c(nc([nH+]2)N)N","Zeiger23","1","real"
"CN(C)c1ccc2c(c1)c(nc([nH+]2)N)N","Zeiger24","1","real"
"c1ccc(cc1)CNc2ccc3c(c2)c(nc([nH+]3)N)N","Zeiger25","1","real"
"CN(C)c1c2cc(ccc2[nH+]c(n1)N(C)C)N","Zeiger26","1","real"
"c1cc2c(cc1CN3CC[NH2+]CC3)c(nc([nH+]2)N)N","Zeiger28","1","real"
"c1c(nc2c(nc(nc2n1)N)N)CN","Zeiger29","1","real"
"CN(C)c1c(nc(c(n1)N)C(=O)N=C(N)N)Cl","Dimethyl_amiloride","1","real"
"c1cc(ccc1CCNc2c(nc(c(n2)N)C(=O)N=C(N)N)Cl)F","Amiloride_4d","1","real"
"c1cc(c(cc1CNc2c(nc(c(n2)N)C(=O)N=C(N)N)Cl)F)F","Amiloride_4k","1","real"
"c1ccc2c(c1)[nH]c(n2)CCNc3c(nc(c(n3)N)C(=O)N=C(N)N)Cl","Amiloride_4l","1","real"
"C(CNc1c(nc(c(n1)N)C(=O)N=C(N)N)Cl)[NH3+]","Amiloride_9","1","real"
"C1CN(CC[NH2+]1)CCNc2c(nc(c(n2)N)C(=O)N=C(N)N)Cl","Amiloride_4h","1","real"
"c1ccc(cc1)C#Cc2c(nc(c(n2)C(=O)N=C(N)N)N)N","Amiloride_19","1","real"
"c1c(nc(c(n1)C(=O)N=C(N)N)N)N","Amiloride_20","1","real"
"CN(C)c1c(nc(c(n1)N)C(=O)N=C(N)N)c2ccc3ccccc3c2","Amiloride_22d","1","real"
"c1ccc(cc1)c2c(nc(c(n2)C(=O)N=C(N)N)N)NCCc3c[nH]c4c3cccc4","Amiloride_24","1","real"
"c1cc2c(cc[nH]2)cc1c3ccc(c(c3)C[NH2+]CCN4CC[NH2+]CC4)OCCC[NH3+]","rbt550","1","real"
"COc1cc(cc2c1cccc2)NC(=O)[C@H](CCCNC(=[NH2+])N)[NH3+]","MV2003","1","real"
"CC(=O)Nc1nc(cs1)c2cccc(c2)N","S","0","real"
