"molecule structure","name","activity","type"
"Cc1c(sc[n+]1Cc2cnc(nc2N)C)CCO","thiamine","1","real"
"c1cnc(cn1)N","8","1","real"
"c1cnc2c(n1)c(cs2)N","9","1","real"
"Cc1c(sc[n+]1Cc2cnc(nc2N)C)CCO[P@@](=O)([O-])OP(=O)([O-])[O-]","TPP","1","real"
"C[NH2+]Cc1c2ccccc2n(n1)C","20","1","real"
"Cc1ncc(c(n1)N)C[NH+]=[N+]=[N-]","2","1","real"
"Cc1ncc(c(n1)N)C(=O)OC","25","1","real"
"Cc1ncc(c(n1)N)Cn2cc(nn2)CO","2b","1","real"
"Cc1ncc(c(n1)N)Cn2cc(nn2)CC[NH3+]","5b","1","real"
"Cc1c(ccc[n+]1Cc2cnc(nc2N)C)CCO","PT","1","real"
"Cc1ncc(c(n1)N)Cn2cc(nn2)CCOS(=O)(=O)NP(=O)([O-])[O-]","21a","1","real"
"CCOC(=O)CC[C@@H](C(=O)OCC)NC(=O)c1ccc(cc1)NCc2cn(nn2)Cc3cnc(nc3N)C","15b","1","real"
"Cc1ncc(c(n1)N)Cn2cc(nn2)CNc3ccc(cc3)C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-]","16b","1","real"
"Cc1ncc(c(n1)N)CN(C=O)/C(=C(\CCOP(=O)([O-])[O-])/SC(=O)c2ccccc2)/C","benfotiamine","1","real"
"Cc1c(ccc[n+]1Cc2cnc(nc2N)C)CCO[P@@](=O)([O-])OP(=O)([O-])[O-]","PTPP","1","real"
"Cc1c(sc[n+]1Cc2cnc(nc2N)C)CCOP(=O)([O-])[O-]","TMP","1","real"
"CCCc1ncc(c(n1)N)C[n+]2ccccc2C","amprolium","1","real"
"c1cc2c(cc1N)nccn2","1","1","real"
"Cc1c(sc[n+]1Cc2cnc(nc2N)N)CCO","8T","1","real"
"c1cc(c[n+](c1)Cc2nc(nc(n2)N)N)CCO","11P","1","real"
"c1cc2c(cc1CO)nsn2","3","1","real"
"Cc1ncc(c(n1)N)Cn2cc(nn2)CCO[P@@](=O)([O-])OP(=O)([O-])[O-]","12a","1","real"
"Cc1c(nnn1Cc2cnc(nc2N)C)CCO[P@@](=O)([O-])OP(=O)([O-])[O-]","13a","1","real"
