compoundId	compound	AnnapuRNA Score:RF_modern	AnnapuRNA Score:kNN_basic	AnnapuRNA Score:kNN_modern	score:LigandRNA-basic	score:LigandRNA-modern	title	score:rDock-dock_solv	score:rf-score-vs	target	pdb
1	5FDQD	-245.771	-270.747	-264.076	-2572.09	-2491.84	5FDQD	-68.1292	-6	FMN	2YIE
2	5FDQD	-237.302	-262.62	-254.918	-2564.34	-2482.82	5FDQD	-67.8263	-6	FMN	2YIE
3	5FDQD	-219.069	-229.294	-226.708	-2061.47	-1974.38	5FDQD	-66.9816	-6	FMN	2YIE
4	BRX1151	-297.017	-318.304	-326.71	-2184.28	-2127.67	BRX1151	-83.8557	-6	FMN	2YIE
5	BRX1151	-300.433	-319.771	-329.766	-2005.35	-1955.17	BRX1151	-82.6866	-6	FMN	2YIE
6	BRX1151	-297.084	-321.74	-331.117	-2129.56	-2071.87	BRX1151	-76.4829	-6	FMN	2YIE
7	BRX1224	-349.873	-378.385	-383.861	-2370.22	-2275.82	BRX1224	-71.1624	-6	FMN	2YIE
8	BRX1224	-366.349	-389.696	-399.441	-2285.33	-2219.36	BRX1224	-69.7841	-6	FMN	2YIE
9	BRX1224	-346.862	-374.239	-379.546	-2360.39	-2280.19	BRX1224	-64.7791	-6	FMN	2YIE
10	BRX1342	-223.137	-232.758	-234.714	-1993.28	-1922.73	BRX1342	-72.6476	-6	FMN	2YIE
11	BRX1342	-293.317	-325.886	-325.914	-2931.01	-2838.16	BRX1342	-70.2292	-6	FMN	2YIE
12	BRX1342	-225.314	-237.712	-242.359	-2193.42	-2122.09	BRX1342	-68.8656	-6	FMN	2YIE
13	BRX1354	-370.995	-400.888	-396.023	-1975.82	-1886.77	BRX1354	-82.5799	-6	FMN	2YIE
14	BRX1354	-302.606	-321.424	-316.539	-1587.12	-1526.07	BRX1354	-75.867	-7	FMN	2YIE
15	BRX1354	-325.397	-332.185	-343.581	-1237.09	-1177.91	BRX1354	-74.5557	-6	FMN	2YIE
16	BRX1373	-262.842	-276.638	-278.571	-2537.58	-2463.18	BRX1373	-79.9477	-6	FMN	2YIE
17	BRX1373	-260.384	-275.453	-279.367	-2467.09	-2390.52	BRX1373	-79.9085	-6	FMN	2YIE
18	BRX1373	-263.521	-278.405	-283.528	-2507.16	-2430.35	BRX1373	-78.1291	-6	FMN	2YIE
19	BRX830	-326.209	-353.695	-358.883	-2410.54	-2330.72	BRX830	-98.4919	-6	FMN	2YIE
20	BRX830	-318.003	-339.694	-346.682	-2640.8	-2556.49	BRX830	-98.3791	-6	FMN	2YIE
21	BRX830	-329.375	-356.121	-364.82	-2447.97	-2379.08	BRX830	-98.1032	-6	FMN	2YIE
22	BRX857	-275.949	-296.207	-301.876	-2418.24	-2364.14	BRX857	-73.0695	-6	FMN	2YIE
23	BRX857	-269.761	-294.725	-303.744	-2510.85	-2452.45	BRX857	-70.8803	-6	FMN	2YIE
24	BRX857	-270.697	-293.353	-295.515	-2533.04	-2477.1	BRX857	-67.9276	-6	FMN	2YIE
25	BRX931	-355.723	-385.61	-388.976	-2680.12	-2614.57	BRX931	-88.0563	-6	FMN	2YIE
26	BRX931	-354.038	-379.983	-387.328	-2538.37	-2468.96	BRX931	-79.8732	-6	FMN	2YIE
27	BRX931	-360.37	-396.784	-396.237	-2437.78	-2379.94	BRX931	-76.4046	-6	FMN	2YIE
28	FMN	-500.76	-538.213	-541.084	-2177.28	-2099.34	FMN	-116.285	-6	FMN	2YIE
29	FMN	-497.183	-533.838	-536.863	-2193.41	-2112.13	FMN	-115.962	-6	FMN	2YIE
30	FMN	-483.225	-518.712	-523.4	-2293.97	-2212.64	FMN	-115.318	-6	FMN	2YIE
31	FMNH2	-516.586	-549.871	-567.488	-2030.92	-1965.32	FMNH2	-115.783	-6	FMN	2YIE
32	FMNH2	-497.537	-539.927	-544.017	-2066.28	-2005.84	FMNH2	-109.224	-6	FMN	2YIE
33	FMNH2	-501.448	-538.087	-550.8	-1916.38	-1861.49	FMNH2	-106.946	-6	FMN	2YIE
34	Lumiflavin	-259.789	-294.751	-295.629	-2887.49	-2764.08	Lumiflavin	-60.9585	-6	FMN	2YIE
35	Lumiflavin	-256.366	-292.387	-291.892	-2912.11	-2788.0	Lumiflavin	-60.8432	-6	FMN	2YIE
36	Lumiflavin	-258.12	-292.887	-293.241	-2899.37	-2774.49	Lumiflavin	-60.8171	-6	FMN	2YIE
37	P05056767	-175.706	-192.962	-191.635	-3248.13	-3213.87	P05056767	-63.4198	-6	FMN	2YIE
38	P05056767	-176.799	-193.444	-191.929	-3233.91	-3197.76	P05056767	-63.369	-6	FMN	2YIE
39	P05056767	-175.997	-192.687	-191.522	-3243.16	-3206.26	P05056767	-63.2921	-6	FMN	2YIE
40	P05242674	-303.943	-333.876	-333.737	-1896.89	-1768.79	P05242674	-59.854	-6	FMN	2YIE
41	P05242674	-300.255	-324.571	-325.245	-1802.71	-1671.83	P05242674	-59.7294	-6	FMN	2YIE
42	P05242674	-293.242	-308.291	-315.337	-1761.06	-1649.4	P05242674	-58.6382	-6	FMN	2YIE
43	P05314242	-270.048	-285.872	-290.149	-720.5	-649.64	P05314242	-47.7624	-6	FMN	2YIE
44	P05314242	-275.342	-296.928	-294.159	-581.76	-510.65	P05314242	-47.2738	-6	FMN	2YIE
45	P05314242	-289.789	-314.904	-312.286	-981.24	-896.23	P05314242	-46.9872	-6	FMN	2YIE
46	P05520828	-261.743	-274.332	-278.946	-1654.13	-1564.73	P05520828	-56.3467	-6	FMN	2YIE
47	P05520828	-256.715	-268.753	-271.994	-1641.17	-1549.69	P05520828	-54.8132	-6	FMN	2YIE
48	P05520828	-257.418	-268.625	-272.821	-1627.74	-1536.68	P05520828	-54.6697	-6	FMN	2YIE
49	P05531451	-210.282	-219.283	-222.123	-2640.05	-2598.24	P05531451	-77.1749	-6	FMN	2YIE
50	P05531451	-213.14	-217.062	-221.089	-2650.97	-2605.52	P05531451	-75.983	-6	FMN	2YIE
51	P05531451	-221.262	-219.462	-219.537	-2385.43	-2349.72	P05531451	-75.3355	-6	FMN	2YIE
52	P05695100	-182.656	-199.317	-200.443	-1891.5	-1834.15	P05695100	-70.5405	-6	FMN	2YIE
53	P05695100	-187.844	-199.797	-197.807	-1874.05	-1828.79	P05695100	-67.7775	-6	FMN	2YIE
54	P05695100	-187.716	-201.654	-198.981	-1903.65	-1858.68	P05695100	-67.0151	-6	FMN	2YIE
55	P05741367	-239.63	-262.35	-258.744	-3036.3	-2987.31	P05741367	-86.3882	-6	FMN	2YIE
56	P05741367	-221.199	-238.507	-241.671	-3012.64	-2961.19	P05741367	-85.5339	-6	FMN	2YIE
57	P05741367	-219.056	-237.257	-238.149	-3052.65	-3003.92	P05741367	-85.4848	-6	FMN	2YIE
58	P05825277	-295.445	-314.209	-315.732	-1194.01	-1163.39	P05825277	-67.6206	-6	FMN	2YIE
59	P05825277	-296.048	-315.025	-316.048	-1188.66	-1157.79	P05825277	-67.3447	-6	FMN	2YIE
60	P05825277	-295.848	-314.347	-316.608	-1204.01	-1174.13	P05825277	-67.3401	-6	FMN	2YIE
61	P06032388	-265.83	-272.829	-270.512	-1169.9	-1137.35	P06032388	-63.9815	-6	FMN	2YIE
62	P06032388	-265.232	-272.842	-268.899	-1175.22	-1143.92	P06032388	-63.7041	-6	FMN	2YIE
63	P06032388	-266.971	-274.128	-272.228	-1157.35	-1124.52	P06032388	-63.3642	-6	FMN	2YIE
