compoundId	compound	AnnapuRNA Score:RF_modern	AnnapuRNA Score:kNN_basic	AnnapuRNA Score:kNN_modern
1	5FDQD	-245.771	-270.747	-264.076
2	5FDQD	-237.302	-262.62	-254.918
3	5FDQD	-219.069	-229.294	-226.708
4	BRX1151	-297.017	-318.304	-326.71
5	BRX1151	-300.433	-319.771	-329.766
6	BRX1151	-297.084	-321.74	-331.117
7	BRX1224	-349.873	-378.385	-383.861
8	BRX1224	-366.349	-389.696	-399.441
9	BRX1224	-346.862	-374.239	-379.546
10	BRX1342	-223.137	-232.758	-234.714
11	BRX1342	-293.317	-325.886	-325.914
12	BRX1342	-225.314	-237.712	-242.359
13	BRX1354	-370.995	-400.888	-396.023
14	BRX1354	-302.606	-321.424	-316.539
15	BRX1354	-325.397	-332.185	-343.581
16	BRX1373	-262.842	-276.638	-278.571
17	BRX1373	-260.384	-275.453	-279.367
18	BRX1373	-263.521	-278.405	-283.528
19	BRX830	-326.209	-353.695	-358.883
20	BRX830	-318.003	-339.694	-346.682
21	BRX830	-329.375	-356.121	-364.82
22	BRX857	-275.949	-296.207	-301.876
23	BRX857	-269.761	-294.725	-303.744
24	BRX857	-270.697	-293.353	-295.515
25	BRX931	-355.723	-385.61	-388.976
26	BRX931	-354.038	-379.983	-387.328
27	BRX931	-360.37	-396.784	-396.237
28	FMN	-500.76	-538.213	-541.084
29	FMN	-497.183	-533.838	-536.863
30	FMN	-483.225	-518.712	-523.4
31	FMNH2	-516.586	-549.871	-567.488
32	FMNH2	-497.537	-539.927	-544.017
33	FMNH2	-501.448	-538.087	-550.8
34	Lumiflavin	-259.789	-294.751	-295.629
35	Lumiflavin	-256.366	-292.387	-291.892
36	Lumiflavin	-258.12	-292.887	-293.241
37	P05056767	-175.706	-192.962	-191.635
38	P05056767	-176.799	-193.444	-191.929
39	P05056767	-175.997	-192.687	-191.522
40	P05242674	-303.943	-333.876	-333.737
41	P05242674	-300.255	-324.571	-325.245
42	P05242674	-293.242	-308.291	-315.337
43	P05314242	-270.048	-285.872	-290.149
44	P05314242	-275.342	-296.928	-294.159
45	P05314242	-289.789	-314.904	-312.286
46	P05520828	-261.743	-274.332	-278.946
47	P05520828	-256.715	-268.753	-271.994
48	P05520828	-257.418	-268.625	-272.821
49	P05531451	-210.282	-219.283	-222.123
50	P05531451	-213.14	-217.062	-221.089
51	P05531451	-221.262	-219.462	-219.537
52	P05695100	-182.656	-199.317	-200.443
53	P05695100	-187.844	-199.797	-197.807
54	P05695100	-187.716	-201.654	-198.981
55	P05741367	-239.63	-262.35	-258.744
56	P05741367	-221.199	-238.507	-241.671
57	P05741367	-219.056	-237.257	-238.149
58	P05825277	-295.445	-314.209	-315.732
59	P05825277	-296.048	-315.025	-316.048
60	P05825277	-295.848	-314.347	-316.608
61	P06032388	-265.83	-272.829	-270.512
62	P06032388	-265.232	-272.842	-268.899
63	P06032388	-266.971	-274.128	-272.228
64	P06064347	-311.475	-318.529	-322.575
65	P06064347	-312.459	-319.531	-321.861
66	P06064347	-300.837	-308.412	-312.034
67	P06120254	-283.033	-295.57	-301.13
68	P06120254	-287.784	-305.068	-307.174
69	P06120254	-281.373	-292.894	-294.773
70	P06191905	-279.745	-282.033	-283.007
71	P06191905	-273.016	-281.157	-283.464
72	P06191905	-278.484	-281.628	-282.945
73	P06220759	-522.595	-545.281	-549.829
74	P06220759	-496.798	-511.572	-529.955
75	P06220759	-487.349	-500.0	-504.04
76	P06232446	-339.075	-346.922	-349.787
77	P06232446	-332.871	-345.344	-349.723
78	P06232446	-303.994	-304.016	-309.906
79	P06868648	-247.721	-262.053	-264.7
80	P06868648	-270.383	-272.515	-280.725
81	P06868648	-269.425	-271.294	-280.862
