compoundId	compound	AnnapuRNA Score:RF_modern	AnnapuRNA Score:kNN_basic	AnnapuRNA Score:kNN_modern	score:LigandRNA-basic	score:LigandRNA-modern	title	score:rDock-dock_solv	score:rf-score-vs	target	pdb
1	5FDQD	-238.104	-265.127	-261.922	-2495.83	-2412.92	5FDQD	-86.1266	-6	FMN	5KX9
2	5FDQD	-279.316	-305.716	-299.555	-2684.66	-2588.68	5FDQD	-84.6014	-6	FMN	5KX9
3	5FDQD	-285.338	-314.993	-306.877	-3037.76	-2935.7	5FDQD	-83.7615	-6	FMN	5KX9
4	BRX1151	-299.503	-319.352	-320.199	-2186.33	-2127.95	BRX1151	-91.7528	-6	FMN	5KX9
5	BRX1151	-303.975	-320.471	-319.685	-2246.73	-2197.62	BRX1151	-91.7039	-6	FMN	5KX9
6	BRX1151	-284.139	-300.823	-303.307	-1736.6	-1673.8	BRX1151	-91.4136	-6	FMN	5KX9
7	BRX1224	-364.331	-389.126	-387.041	-2394.42	-2314.25	BRX1224	-91.3397	-6	FMN	5KX9
8	BRX1224	-345.221	-367.736	-360.623	-2243.35	-2165.74	BRX1224	-90.1749	-6	FMN	5KX9
9	BRX1224	-365.691	-386.325	-385.671	-2596.04	-2526.88	BRX1224	-88.6187	-6	FMN	5KX9
10	BRX1342	-238.921	-254.826	-258.259	-2788.1	-2704.64	BRX1342	-84.9938	-6	FMN	5KX9
11	BRX1342	-241.81	-259.143	-265.83	-2858.85	-2774.33	BRX1342	-84.5345	-6	FMN	5KX9
12	BRX1342	-241.64	-261.08	-262.872	-2847.69	-2768.45	BRX1342	-84.1347	-6	FMN	5KX9
13	BRX1354	-356.964	-380.748	-387.248	-2224.05	-2161.71	BRX1354	-96.9927	-6	FMN	5KX9
14	BRX1354	-387.758	-414.677	-409.685	-2282.06	-2194.95	BRX1354	-92.7123	-6	FMN	5KX9
15	BRX1354	-345.495	-375.61	-365.965	-2000.58	-1921.98	BRX1354	-90.8202	-6	FMN	5KX9
16	BRX1373	-277.601	-297.046	-296.985	-2490.55	-2403.65	BRX1373	-89.9325	-6	FMN	5KX9
17	BRX1373	-242.706	-263.011	-263.843	-1843.99	-1760.53	BRX1373	-89.7776	-6	FMN	5KX9
18	BRX1373	-271.79	-294.264	-289.256	-2410.8	-2325.64	BRX1373	-87.4363	-6	FMN	5KX9
19	BRX830	-323.528	-347.126	-345.028	-2828.81	-2755.79	BRX830	-113.922	-6	FMN	5KX9
20	BRX830	-329.136	-358.561	-356.84	-1925.8	-1865.23	BRX830	-112.386	-6	FMN	5KX9
21	BRX830	-327.439	-353.892	-357.733	-2630.72	-2563.76	BRX830	-112.019	-6	FMN	5KX9
22	BRX857	-268.576	-281.702	-282.99	-2341.29	-2288.86	BRX857	-88.5436	-6	FMN	5KX9
23	BRX857	-267.336	-294.363	-294.771	-2681.6	-2605.51	BRX857	-86.7896	-6	FMN	5KX9
24	BRX857	-266.252	-287.241	-283.532	-2653.26	-2587.8	BRX857	-85.9886	-6	FMN	5KX9
25	BRX931	-354.244	-386.304	-383.717	-2092.96	-2041.21	BRX931	-96.2124	-6	FMN	5KX9
26	BRX931	-344.055	-362.856	-374.926	-2363.78	-2292.13	BRX931	-92.3599	-6	FMN	5KX9
27	BRX931	-366.169	-396.174	-401.883	-2463.99	-2390.63	BRX931	-90.4747	-6	FMN	5KX9
28	FMN	-460.606	-495.233	-490.88	-1720.91	-1644.0	FMN	-118.558	-6	FMN	5KX9
29	FMN	-495.508	-529.618	-529.522	-2135.47	-2058.28	FMN	-114.376	-6	FMN	5KX9
30	FMN	-458.933	-499.703	-499.574	-2020.7	-1933.47	FMN	-113.397	-6	FMN	5KX9
31	FMNH2	-507.655	-532.837	-540.315	-2035.04	-1975.25	FMNH2	-126.62	-6	FMN	5KX9
32	FMNH2	-474.049	-506.357	-522.051	-1433.36	-1389.66	FMNH2	-118.813	-6	FMN	5KX9
