compoundId	compound	AnnapuRNA Score:RF_modern	AnnapuRNA Score:kNN_basic	AnnapuRNA Score:kNN_modern
1	5FDQD	-238.104	-265.127	-261.922
2	5FDQD	-279.316	-305.716	-299.555
3	5FDQD	-285.338	-314.993	-306.877
4	BRX1151	-299.503	-319.352	-320.199
5	BRX1151	-303.975	-320.471	-319.685
6	BRX1151	-284.139	-300.823	-303.307
7	BRX1224	-364.331	-389.126	-387.041
8	BRX1224	-345.221	-367.736	-360.623
9	BRX1224	-365.691	-386.325	-385.671
10	BRX1342	-238.921	-254.826	-258.259
11	BRX1342	-241.81	-259.143	-265.83
12	BRX1342	-241.64	-261.08	-262.872
13	BRX1354	-356.964	-380.748	-387.248
14	BRX1354	-387.758	-414.677	-409.685
15	BRX1354	-345.495	-375.61	-365.965
16	BRX1373	-277.601	-297.046	-296.985
17	BRX1373	-242.706	-263.011	-263.843
18	BRX1373	-271.79	-294.264	-289.256
19	BRX830	-323.528	-347.126	-345.028
20	BRX830	-329.136	-358.561	-356.84
21	BRX830	-327.439	-353.892	-357.733
22	BRX857	-268.576	-281.702	-282.99
23	BRX857	-267.336	-294.363	-294.771
24	BRX857	-266.252	-287.241	-283.532
25	BRX931	-354.244	-386.304	-383.717
26	BRX931	-344.055	-362.856	-374.926
27	BRX931	-366.169	-396.174	-401.883
28	FMN	-460.606	-495.233	-490.88
29	FMN	-495.508	-529.618	-529.522
30	FMN	-458.933	-499.703	-499.574
31	FMNH2	-507.655	-532.837	-540.315
32	FMNH2	-474.049	-506.357	-522.051
33	FMNH2	-512.142	-540.145	-563.209
34	Lumiflavin	-238.279	-271.548	-265.281
35	Lumiflavin	-238.443	-270.053	-264.141
36	Lumiflavin	-238.303	-270.434	-263.85
37	P05056767	-175.017	-183.464	-182.113
38	P05056767	-170.35	-182.862	-181.925
39	P05056767	-172.699	-180.538	-179.966
40	P05242674	-322.694	-358.093	-360.673
41	P05242674	-337.911	-369.47	-366.145
42	P05242674	-298.569	-321.19	-323.685
43	P05314242	-296.433	-309.293	-310.462
44	P05314242	-294.773	-304.768	-311.28
45	P05314242	-297.784	-311.938	-312.739
46	P05520828	-246.2	-251.974	-260.794
47	P05520828	-241.474	-252.168	-258.27
48	P05520828	-252.75	-258.237	-259.605
49	P05531451	-213.928	-221.335	-220.904
50	P05531451	-231.504	-236.233	-237.427
51	P05531451	-221.634	-227.965	-232.574
52	P05695100	-189.62	-197.454	-205.269
53	P05695100	-183.046	-197.068	-207.333
54	P05695100	-189.439	-198.688	-202.995
55	P05741367	-222.931	-239.817	-241.333
56	P05741367	-225.449	-241.169	-248.466
57	P05741367	-222.974	-237.33	-240.598
58	P05825277	-291.316	-306.421	-304.569
59	P05825277	-286.107	-303.728	-302.041
60	P05825277	-290.657	-304.533	-301.408
61	P06032388	-263.504	-276.288	-263.673
62	P06032388	-265.699	-276.417	-263.838
63	P06032388	-268.26	-280.289	-267.287
64	P06064347	-319.577	-335.477	-340.99
65	P06064347	-324.252	-339.719	-341.882
66	P06064347	-286.878	-289.332	-296.013
67	P06120254	-264.016	-277.895	-276.564
68	P06120254	-261.922	-279.21	-276.934
69	P06120254	-267.868	-285.603	-283.62
70	P06191905	-271.579	-285.198	-286.603
71	P06191905	-272.129	-289.325	-287.645
72	P06191905	-269.999	-285.106	-285.695
73	P06220759	-509.413	-517.609	-529.454
74	P06220759	-517.001	-534.313	-549.077
75	P06220759	-521.787	-527.11	-538.545
76	P06232446	-340.432	-346.587	-341.088
77	P06232446	-341.63	-362.252	-360.064
78	P06232446	-343.54	-354.343	-350.241
79	P06868648	-268.557	-286.245	-293.142
80	P06868648	-276.189	-296.207	-296.477
81	P06868648	-255.669	-280.61	-279.848
82	P07014171	-293.696	-315.144	-310.558
83	P07014171	-292.358	-312.323	-310.406
84	P07014171	-289.572	-315.272	-307.792
85	P07309907	-244.388	-266.191	-271.94
86	P07309907	-244.678	-260.618	-267.23
87	P07309907	-240.852	-260.055	-262.611
88	P07377776	-214.909	-217.633	-224.028
89	P07377776	-219.026	-224.086	-227.126
90	P07377776	-215.387	-225.443	-230.792
91	P07486837	-258.662	-267.222	-273.335
92	P07486837	-235.042	-243.164	-256.812
93	P07486837	-252.148	-255.321	-265.656
94	P07518761	-353.011	-366.49	-374.287
95	P07518761	-342.962	-344.113	-343.885
96	P07518761	-339.867	-349.864	-358.88
97	P07629653	-241.028	-254.808	-261.638
98	P07629653	-251.296	-256.367	-262.348
99	P07629653	-255.602	-258.718	-268.562
100	P08034799	-275.718	-292.622	-292.081
101	P08034799	-274.675	-295.277	-296.0
102	P08034799	-282.616	-296.116	-297.591
103	P08073217	-238.91	-249.216	-255.938
104	P08073217	-275.843	-296.683	-295.374
105	P08073217	-239.879	-244.193	-249.191
106	P08165416	-241.267	-250.756	-252.712
107	P08165416	-243.329	-250.815	-253.591
108	P08165416	-239.694	-254.154	-254.834
109	P08171193	-281.039	-293.346	-303.252
110	P08171193	-255.963	-269.913	-279.367
111	P08171193	-263.591	-274.452	-277.546
112	P08214030	-266.897	-285.415	-285.415
113	P08214030	-275.543	-296.083	-299.829
114	P08214030	-275.485	-297.267	-301.508
115	P08409141	-293.758	-293.135	-298.642
116	P08409141	-295.443	-298.392	-308.85
117	P08409141	-294.371	-295.467	-302.1
118	P09091916	-156.79	-155.247	-157.98
119	P09091916	-157.841	-156.154	-160.027
120	P09091916	-157.404	-155.49	-160.098
121	P09147173	-289.421	-303.308	-306.378
122	P09147173	-311.277	-320.056	-328.23
123	P09147173	-288.162	-305.056	-313.447
124	P09148077	-310.482	-336.39	-327.259
125	P09148077	-317.313	-343.729	-337.87
126	P09148077	-268.08	-276.691	-281.24
127	P09150375	-392.987	-398.266	-412.286
128	P09150375	-395.016	-402.676	-417.971
129	P09150375	-394.626	-400.489	-412.697
130	P09201043	-244.906	-242.856	-252.05
131	P09201043	-292.495	-315.911	-316.709
132	P09201043	-284.229	-297.07	-305.51
133	P09236091	-254.3	-277.892	-282.051
134	P09236091	-241.265	-259.327	-262.384
135	P09236091	-243.066	-266.556	-271.561
136	P09401551	-184.739	-197.58	-198.775
137	P09401551	-184.637	-202.037	-201.676
138	P09401551	-217.351	-231.459	-233.115
139	P09471094	-288.037	-296.241	-293.34
140	P09471094	-289.189	-298.461	-297.362
141	P09471094	-301.406	-309.922	-309.95
142	P09472188	-309.505	-315.688	-319.831
