compoundId	compound	AnnapuRNA Score:RF_modern	AnnapuRNA Score:kNN_basic	AnnapuRNA Score:kNN_modern	score:LigandRNA-basic	score:LigandRNA-modern	title	score:rDock-dock_solv	score:rf-score-vs	target	pdb
1	5FDQD	-246.21	-274.08	-268.793	-2315.5	-2260.59	5FDQD	-77.0487	-6	FMN	6BFB
2	5FDQD	-244.856	-268.299	-263.421	-2301.6	-2236.63	5FDQD	-75.8708	-6	FMN	6BFB
3	5FDQD	-242.313	-260.559	-258.148	-2306.64	-2240.27	5FDQD	-75.139	-6	FMN	6BFB
4	BRX1151	-300.679	-318.95	-322.323	-2434.69	-2385.21	BRX1151	-73.395	-6	FMN	6BFB
5	BRX1151	-302.629	-322.059	-324.788	-2454.92	-2403.93	BRX1151	-73.2774	-6	FMN	6BFB
6	BRX1151	-270.622	-285.532	-290.818	-2407.83	-2354.77	BRX1151	-72.4146	-6	FMN	6BFB
7	BRX1224	-280.117	-291.479	-292.2	-1368.44	-1332.41	BRX1224	-75.0476	-6	FMN	6BFB
8	BRX1224	-282.219	-289.645	-294.941	-1316.56	-1284.14	BRX1224	-74.8937	-6	FMN	6BFB
9	BRX1224	-345.79	-371.636	-376.523	-2267.44	-2226.02	BRX1224	-74.6595	-6	FMN	6BFB
10	BRX1342	-248.879	-277.121	-281.503	-1548.29	-1470.45	BRX1342	-77.8096	-6	FMN	6BFB
11	BRX1342	-247.668	-278.664	-279.68	-1664.93	-1591.46	BRX1342	-77.5788	-6	FMN	6BFB
12	BRX1342	-249.907	-278.42	-278.811	-1632.94	-1556.42	BRX1342	-76.6693	-6	FMN	6BFB
13	BRX1354	-349.381	-373.034	-375.357	-1696.19	-1639.48	BRX1354	-78.9472	-6	FMN	6BFB
14	BRX1354	-341.282	-373.783	-367.838	-2291.66	-2245.63	BRX1354	-78.2645	-6	FMN	6BFB
15	BRX1354	-314.575	-334.284	-331.699	-2032.69	-1968.82	BRX1354	-77.7517	-6	FMN	6BFB
16	BRX1373	-250.981	-267.169	-264.695	-1738.14	-1665.58	BRX1373	-82.1918	-6	FMN	6BFB
17	BRX1373	-251.383	-261.702	-261.389	-1747.29	-1683.51	BRX1373	-81.9859	-6	FMN	6BFB
18	BRX1373	-249.139	-264.302	-264.091	-1696.7	-1632.94	BRX1373	-81.3025	-6	FMN	6BFB
19	BRX830	-317.617	-339.934	-348.247	-2412.38	-2366.68	BRX830	-93.1751	-6	FMN	6BFB
20	BRX830	-314.362	-337.34	-343.472	-2484.48	-2432.54	BRX830	-92.5751	-6	FMN	6BFB
21	BRX830	-300.909	-308.245	-308.023	-2370.76	-2331.66	BRX830	-91.8949	-6	FMN	6BFB
22	BRX857	-203.961	-211.484	-216.227	-1822.71	-1791.32	BRX857	-70.6481	-6	FMN	6BFB
23	BRX857	-257.17	-279.463	-282.016	-2582.22	-2526.12	BRX857	-70.4986	-6	FMN	6BFB
24	BRX857	-216.452	-237.716	-239.712	-1775.1	-1711.21	BRX857	-70.0775	-6	FMN	6BFB
25	BRX931	-313.042	-338.312	-341.901	-1904.11	-1875.15	BRX931	-81.6711	-6	FMN	6BFB
26	BRX931	-342.429	-361.331	-364.202	-1703.93	-1651.49	BRX931	-79.1739	-6	FMN	6BFB
27	BRX931	-268.399	-281.601	-280.911	-1303.83	-1279.97	BRX931	-77.3448	-6	FMN	6BFB
28	FMN	-483.724	-506.348	-512.669	-1950.63	-1890.51	FMN	-105.808	-6	FMN	6BFB
29	FMN	-455.164	-477.185	-486.788	-2009.28	-1960.21	FMN	-102.865	-6	FMN	6BFB
30	FMN	-469.823	-500.19	-505.241	-2063.4	-2008.26	FMN	-100.337	-6	FMN	6BFB
31	FMNH2	-497.07	-529.63	-524.634	-1404.19	-1361.17	FMNH2	-105.676	-6	FMN	6BFB
32	FMNH2	-491.452	-526.73	-532.271	-1386.61	-1333.9	FMNH2	-105.661	-6	FMN	6BFB
33	FMNH2	-497.04	-517.272	-534.574	-1878.72	-1838.85	FMNH2	-104.903	-6	FMN	6BFB
34	Lumiflavin	-220.771	-233.448	-235.685	-2315.73	-2300.95	Lumiflavin	-65.9252	-6	FMN	6BFB
35	Lumiflavin	-221.88	-234.35	-235.649	-2300.47	-2284.0	Lumiflavin	-64.9844	-6	FMN	6BFB
36	Lumiflavin	-221.916	-233.897	-234.806	-2312.02	-2293.87	Lumiflavin	-64.9753	-6	FMN	6BFB
37	P05056767	-195.606	-212.941	-207.677	-3162.07	-3126.09	P05056767	-76.4658	-6	FMN	6BFB
38	P05056767	-184.93	-199.467	-202.835	-2803.02	-2743.32	P05056767	-74.7573	-6	FMN	6BFB
39	P05056767	-195.61	-213.966	-213.073	-3132.58	-3097.88	P05056767	-73.77	-6	FMN	6BFB
40	P05242674	-311.399	-347.966	-352.211	-1639.35	-1552.39	P05242674	-75.9432	-6	FMN	6BFB
41	P05242674	-305.243	-313.215	-313.3	-2056.99	-1984.69	P05242674	-75.7379	-6	FMN	6BFB
42	P05242674	-319.696	-339.626	-345.564	-2085.7	-1984.35	P05242674	-75.6041	-6	FMN	6BFB
43	P05314242	-294.811	-305.062	-303.125	-1447.11	-1361.29	P05314242	-64.1801	-6	FMN	6BFB
44	P05314242	-292.225	-307.018	-305.108	-1446.64	-1363.09	P05314242	-63.6435	-6	FMN	6BFB
45	P05314242	-294.963	-306.439	-304.545	-1488.48	-1405.65	P05314242	-63.1844	-6	FMN	6BFB
46	P05520828	-294.808	-292.73	-300.099	-1919.04	-1839.38	P05520828	-77.9039	-6	FMN	6BFB
47	P05520828	-292.761	-301.581	-310.332	-1739.71	-1714.83	P05520828	-77.5081	-6	FMN	6BFB
48	P05520828	-297.702	-319.107	-315.697	-1886.52	-1852.02	P05520828	-76.3257	-6	FMN	6BFB
49	P05531451	-249.328	-263.895	-271.065	-2699.02	-2656.75	P05531451	-90.454	-6	FMN	6BFB
50	P05531451	-228.339	-243.085	-241.822	-2014.91	-1958.06	P05531451	-88.5803	-6	FMN	6BFB
51	P05531451	-225.811	-234.992	-236.494	-2281.95	-2218.67	P05531451	-87.2311	-6	FMN	6BFB
52	P05695100	-197.248	-208.791	-203.117	-2127.71	-2066.21	P05695100	-74.3099	-6	FMN	6BFB
53	P05695100	-188.784	-196.409	-199.114	-1825.05	-1762.88	P05695100	-72.1803	-6	FMN	6BFB
54	P05695100	-198.415	-217.993	-212.462	-2090.35	-2029.99	P05695100	-71.4105	-6	FMN	6BFB
55	P05741367	-208.812	-217.925	-217.383	-2152.47	-2101.03	P05741367	-87.6107	-6	FMN	6BFB
56	P05741367	-207.698	-215.452	-214.777	-2160.55	-2110.69	P05741367	-86.6325	-6	FMN	6BFB
57	P05741367	-202.677	-214.479	-214.15	-2179.22	-2131.82	P05741367	-84.9018	-6	FMN	6BFB
58	P05825277	-282.371	-295.416	-295.663	-820.96	-813.77	P05825277	-90.7768	-6	FMN	6BFB
59	P05825277	-282.914	-296.298	-299.169	-858.87	-854.34	P05825277	-89.1938	-6	FMN	6BFB
60	P05825277	-282.078	-297.201	-300.408	-784.35	-776.83	P05825277	-88.7429	-6	FMN	6BFB
61	P06032388	-303.691	-315.461	-313.363	-1532.67	-1472.54	P06032388	-75.76	-6	FMN	6BFB
62	P06032388	-288.002	-307.153	-310.972	-1916.46	-1866.15	P06032388	-74.3957	-6	FMN	6BFB
63	P06032388	-263.781	-276.181	-278.743	-1238.74	-1197.41	P06032388	-68.7328	-6	FMN	6BFB
64	P06064347	-310.124	-315.687	-323.011	-1400.52	-1355.51	P06064347	-82.0589	-6	FMN	6BFB
65	P06064347	-314.642	-333.525	-342.974	-1879.18	-1816.56	P06064347	-78.98	-6	FMN	6BFB
66	P06064347	-290.646	-301.913	-303.394	-1994.95	-1950.31	P06064347	-76.0921	-6	FMN	6BFB
67	P06120254	-292.458	-307.807	-315.579	-1625.07	-1555.05	P06120254	-79.5466	-6	FMN	6BFB
68	P06120254	-282.745	-304.731	-308.594	-2041.88	-1991.06	P06120254	-77.9196	-6	FMN	6BFB
69	P06120254	-290.881	-305.641	-307.787	-1895.48	-1836.04	P06120254	-75.8864	-6	FMN	6BFB
70	P06191905	-280.251	-291.788	-292.688	1217.22	1327.91	P06191905	-70.1884	-5	FMN	6BFB
71	P06191905	-281.034	-292.314	-293.431	1234.01	1345.25	P06191905	-70.1662	-5	FMN	6BFB
72	P06191905	-279.486	-291.704	-292.263	1246.16	1357.15	P06191905	-69.1866	-5	FMN	6BFB
73	P06220759	-511.216	-525.464	-530.889	320.33	389.61	P06220759	-80.0297	-5	FMN	6BFB
74	P06220759	-547.976	-553.363	-561.181	123.49	210.3	P06220759	-78.5574	-5	FMN	6BFB
75	P06220759	-543.704	-550.155	-568.7	-20.1	64.77	P06220759	-77.9603	-5	FMN	6BFB
76	P06232446	-362.058	-362.207	-372.996	-349.72	-238.16	P06232446	-81.7594	-5	FMN	6BFB
77	P06232446	-361.845	-365.138	-370.65	-362.45	-254.05	P06232446	-81.615	-5	FMN	6BFB
78	P06232446	-360.177	-363.322	-372.321	-328.36	-218.41	P06232446	-81.5582	-6	FMN	6BFB
79	P06868648	-260.307	-271.707	-278.295	-2036.16	-1944.31	P06868648	-74.1942	-6	FMN	6BFB
80	P06868648	-249.129	-266.849	-267.66	-2054.56	-1945.36	P06868648	-73.2323	-6	FMN	6BFB
81	P06868648	-228.862	-240.707	-239.096	-1670.77	-1596.61	P06868648	-72.5636	-6	FMN	6BFB
82	P07014171	-277.456	-304.357	-291.785	-1409.75	-1327.33	P07014171	-75.5069	-6	FMN	6BFB
83	P07014171	-276.345	-305.618	-295.541	-1462.15	-1378.01	P07014171	-74.081	-6	FMN	6BFB
84	P07014171	-275.518	-303.391	-291.168	-1403.7	-1321.17	P07014171	-74.0161	-6	FMN	6BFB
85	P07309907	-229.652	-254.96	-256.153	-2137.99	-2045.8	P07309907	-69.3149	-6	FMN	6BFB
86	P07309907	-239.833	-258.165	-260.99	-2189.71	-2101.39	P07309907	-68.9879	-6	FMN	6BFB
87	P07309907	-238.357	-256.001	-258.027	-2194.03	-2104.57	P07309907	-68.6003	-6	FMN	6BFB
88	P07377776	-229.868	-237.118	-238.199	-1603.08	-1552.37	P07377776	-71.7326	-6	FMN	6BFB
89	P07377776	-228.843	-232.883	-240.511	-2079.24	-2007.81	P07377776	-71.5615	-6	FMN	6BFB
90	P07377776	-235.821	-247.899	-253.055	-2131.27	-2066.78	P07377776	-71.349	-6	FMN	6BFB
91	P07486837	-250.348	-255.967	-263.958	-1850.39	-1781.09	P07486837	-77.7283	-6	FMN	6BFB
92	P07486837	-240.879	-256.007	-256.921	-1882.33	-1812.64	P07486837	-73.834	-6	FMN	6BFB
93	P07486837	-248.818	-258.129	-261.946	-1886.39	-1815.63	P07486837	-73.7817	-6	FMN	6BFB
94	P07518761	-335.325	-356.85	-355.152	-1473.22	-1430.34	P07518761	-79.154	-6	FMN	6BFB
95	P07518761	-314.784	-336.945	-332.835	-1927.79	-1873.67	P07518761	-71.936	-6	FMN	6BFB
96	P07518761	-324.948	-345.796	-353.05	-1659.61	-1622.76	P07518761	-71.3373	-6	FMN	6BFB
97	P07629653	-208.79	-220.393	-215.102	-1178.59	-1146.42	P07629653	-77.1185	-6	FMN	6BFB
98	P07629653	-224.818	-244.734	-234.599	-1154.75	-1114.15	P07629653	-76.7533	-6	FMN	6BFB
99	P07629653	-208.273	-224.714	-215.817	-1189.61	-1154.1	P07629653	-75.5957	-6	FMN	6BFB
100	P08034799	-257.096	-272.981	-281.098	-2249.82	-2167.61	P08034799	-68.2072	-6	FMN	6BFB
101	P08034799	-289.257	-296.28	-306.324	-2643.98	-2536.46	P08034799	-66.6673	-6	FMN	6BFB
102	P08034799	-286.779	-300.184	-304.927	-2546.87	-2438.41	P08034799	-66.5481	-6	FMN	6BFB
103	P08073217	-256.147	-264.681	-265.86	-2070.07	-2005.5	P08073217	-84.0764	-6	FMN	6BFB
104	P08073217	-248.25	-262.733	-266.648	-2159.87	-2117.23	P08073217	-83.8136	-6	FMN	6BFB
105	P08073217	-258.85	-264.531	-263.465	-2706.07	-2701.73	P08073217	-83.799	-6	FMN	6BFB
106	P08165416	-262.617	-298.471	-300.334	-1480.65	-1453.4	P08165416	-89.1945	-6	FMN	6BFB
107	P08165416	-252.406	-266.453	-266.597	-2037.46	-2026.73	P08165416	-87.0653	-6	FMN	6BFB
108	P08165416	-249.978	-276.348	-278.713	-1472.7	-1437.72	P08165416	-86.8796	-6	FMN	6BFB
109	P08171193	-287.111	-305.943	-309.015	-1871.45	-1849.77	P08171193	-86.1552	-6	FMN	6BFB
110	P08171193	-268.731	-284.369	-292.306	-1896.72	-1859.99	P08171193	-85.2524	-6	FMN	6BFB
111	P08171193	-256.037	-279.817	-283.843	-1729.46	-1713.1	P08171193	-83.9206	-6	FMN	6BFB
112	P08214030	-271.713	-287.386	-290.669	-2267.32	-2179.12	P08214030	-78.3005	-6	FMN	6BFB
113	P08214030	-265.548	-284.346	-283.096	-2446.77	-2377.41	P08214030	-78.0053	-6	FMN	6BFB
114	P08214030	-268.623	-290.562	-286.853	-2444.52	-2376.45	P08214030	-77.892	-6	FMN	6BFB
115	P08409141	-284.127	-302.313	-302.273	-852.55	-797.67	P08409141	-80.5079	-6	FMN	6BFB
116	P08409141	-282.941	-299.117	-299.83	-841.49	-783.01	P08409141	-79.1922	-6	FMN	6BFB
117	P08409141	-284.89	-302.932	-300.492	-832.18	-777.26	P08409141	-79.1329	-6	FMN	6BFB
118	P09091916	-165.811	-177.285	-173.851	-264.22	-234.6	P09091916	-79.7984	-6	FMN	6BFB
119	P09091916	-160.295	-159.14	-161.977	-527.11	-481.08	P09091916	-78.6414	-5	FMN	6BFB
120	P09091916	-156.38	-149.22	-152.894	-122.08	-102.14	P09091916	-78.4622	-6	FMN	6BFB
121	P09147173	-286.329	-302.082	-308.938	-1533.81	-1443.75	P09147173	-83.3585	-6	FMN	6BFB
122	P09147173	-291.251	-303.075	-317.208	-1628.05	-1539.35	P09147173	-81.4773	-6	FMN	6BFB
123	P09147173	-284.37	-295.814	-312.904	-1626.22	-1530.24	P09147173	-81.2053	-6	FMN	6BFB
124	P09148077	-315.533	-333.936	-331.353	-2181.91	-2119.56	P09148077	-92.5118	-6	FMN	6BFB
125	P09148077	-308.181	-333.747	-324.126	-2168.12	-2109.88	P09148077	-90.2303	-6	FMN	6BFB
126	P09148077	-300.164	-321.017	-312.666	-2143.56	-2085.55	P09148077	-87.0968	-6	FMN	6BFB
127	P09150375	-393.842	-399.099	-413.214	-2506.6	-2489.27	P09150375	-99.3771	-6	FMN	6BFB
128	P09150375	-420.721	-432.723	-441.798	-2490.35	-2474.3	P09150375	-96.4361	-6	FMN	6BFB
129	P09150375	-409.866	-422.171	-432.607	-2506.51	-2483.51	P09150375	-95.8289	-6	FMN	6BFB
130	P09201043	-254.64	-270.558	-271.169	-1940.97	-1939.84	P09201043	-87.1027	-6	FMN	6BFB
131	P09201043	-269.365	-278.898	-285.138	-2329.45	-2351.25	P09201043	-83.3154	-6	FMN	6BFB
