compoundId	compound	AnnapuRNA Score:RF_modern	AnnapuRNA Score:kNN_basic	AnnapuRNA Score:kNN_modern
1	5FDQD	-246.21	-274.08	-268.793
2	5FDQD	-244.856	-268.299	-263.421
3	5FDQD	-242.313	-260.559	-258.148
4	BRX1151	-300.679	-318.95	-322.323
5	BRX1151	-302.629	-322.059	-324.788
6	BRX1151	-270.622	-285.532	-290.818
7	BRX1224	-280.117	-291.479	-292.2
8	BRX1224	-282.219	-289.645	-294.941
9	BRX1224	-345.79	-371.636	-376.523
10	BRX1342	-248.879	-277.121	-281.503
11	BRX1342	-247.668	-278.664	-279.68
12	BRX1342	-249.907	-278.42	-278.811
13	BRX1354	-349.381	-373.034	-375.357
14	BRX1354	-341.282	-373.783	-367.838
15	BRX1354	-314.575	-334.284	-331.699
16	BRX1373	-250.981	-267.169	-264.695
17	BRX1373	-251.383	-261.702	-261.389
18	BRX1373	-249.139	-264.302	-264.091
19	BRX830	-317.617	-339.934	-348.247
20	BRX830	-314.362	-337.34	-343.472
21	BRX830	-300.909	-308.245	-308.023
22	BRX857	-203.961	-211.484	-216.227
23	BRX857	-257.17	-279.463	-282.016
24	BRX857	-216.452	-237.716	-239.712
25	BRX931	-313.042	-338.312	-341.901
26	BRX931	-342.429	-361.331	-364.202
27	BRX931	-268.399	-281.601	-280.911
28	FMN	-483.724	-506.348	-512.669
29	FMN	-455.164	-477.185	-486.788
30	FMN	-469.823	-500.19	-505.241
31	FMNH2	-497.07	-529.63	-524.634
32	FMNH2	-491.452	-526.73	-532.271
33	FMNH2	-497.04	-517.272	-534.574
34	Lumiflavin	-220.771	-233.448	-235.685
35	Lumiflavin	-221.88	-234.35	-235.649
36	Lumiflavin	-221.916	-233.897	-234.806
37	P05056767	-195.606	-212.941	-207.677
38	P05056767	-184.93	-199.467	-202.835
39	P05056767	-195.61	-213.966	-213.073
40	P05242674	-311.399	-347.966	-352.211
41	P05242674	-305.243	-313.215	-313.3
42	P05242674	-319.696	-339.626	-345.564
43	P05314242	-294.811	-305.062	-303.125
44	P05314242	-292.225	-307.018	-305.108
45	P05314242	-294.963	-306.439	-304.545
46	P05520828	-294.808	-292.73	-300.099
47	P05520828	-292.761	-301.581	-310.332
48	P05520828	-297.702	-319.107	-315.697
49	P05531451	-249.328	-263.895	-271.065
50	P05531451	-228.339	-243.085	-241.822
51	P05531451	-225.811	-234.992	-236.494
52	P05695100	-197.248	-208.791	-203.117
53	P05695100	-188.784	-196.409	-199.114
54	P05695100	-198.415	-217.993	-212.462
55	P05741367	-208.812	-217.925	-217.383
56	P05741367	-207.698	-215.452	-214.777
