compoundId	compound	AnnapuRNA Score:RF_modern	AnnapuRNA Score:kNN_basic	AnnapuRNA Score:kNN_modern	score:LigandRNA-basic	score:LigandRNA-modern	title	score:rDock-dock_solv	score:rf-score-vs	target	pdb
1	1-deazapurine	-367.425	-411.178	-416.068	-9447.58	-9216.64	1-deazapurine	-55.602	-6	adenine	1Y26
2	1-deazapurine	-365.351	-409.141	-414.215	-9425.28	-9192.8	1-deazapurine	-55.5475	-6	adenine	1Y26
3	1-deazapurine	-364.926	-404.885	-409.341	-9316.1	-9090.55	1-deazapurine	-55.3575	-6	adenine	1Y26
4	1-methyladenine	-268.338	-295.213	-301.13	-8408.93	-8270.23	1-methyladenine	-58.9361	-5	adenine	1Y26
5	1-methyladenine	-266.934	-293.667	-300.215	-8408.93	-8270.23	1-methyladenine	-58.8966	-5	adenine	1Y26
6	1-methyladenine	-270.914	-295.38	-303.308	-8200.88	-8065.63	1-methyladenine	-58.5901	-5	adenine	1Y26
7	2,4,6-triaminopyrimidine	-244.522	-262.728	-271.357	-5973.25	-5935.3	2,4,6-triaminopyrimidine	-63.478	-5	adenine	1Y26
8	2,4,6-triaminopyrimidine	-243.224	-263.485	-272.225	-5942.1	-5907.04	2,4,6-triaminopyrimidine	-63.4101	-5	adenine	1Y26
9	2,4,6-triaminopyrimidine	-267.117	-289.174	-296.206	-5569.41	-5514.33	2,4,6-triaminopyrimidine	-63.2438	-5	adenine	1Y26
10	2,6-diaminopurine	-399.637	-439.38	-442.446	-7180.61	-7081.13	2,6-diaminopurine	-77.7402	-5	adenine	1Y26
11	2,6-diaminopurine	-399.443	-439.082	-441.899	-7223.65	-7126.09	2,6-diaminopurine	-77.5375	-5	adenine	1Y26
12	2,6-diaminopurine	-397.024	-437.129	-440.385	-7169.19	-7071.26	2,6-diaminopurine	-77.303	-5	adenine	1Y26
13	2-aminopurine	-428.495	-461.49	-467.264	-8395.63	-8258.21	2-aminopurine	-72.4986	-5	adenine	1Y26
14	2-aminopurine	-430.087	-463.865	-468.957	-8395.63	-8258.21	2-aminopurine	-72.4413	-5	adenine	1Y26
15	2-aminopurine	-424.159	-458.87	-464.435	-8378.32	-8243.89	2-aminopurine	-72.3301	-5	adenine	1Y26
16	2-chloroadenine	-343.049	-381.974	-385.042	-7362.77	-7229.3	2-chloroadenine	-69.2509	-5	adenine	1Y26
17	2-chloroadenine	-341.956	-383.268	-386.464	-7427.16	-7291.76	2-chloroadenine	-69.0612	-5	adenine	1Y26
18	2-chloroadenine	-339.406	-381.817	-385.292	-7474.7	-7337.66	2-chloroadenine	-68.8304	-5	adenine	1Y26
19	3-methyladenine	-324.675	-363.664	-379.26	-8088.58	-7945.24	3-methyladenine	-57.594	-5	adenine	1Y26
20	3-methyladenine	-311.692	-336.926	-359.812	-8297.74	-8158.15	3-methyladenine	-57.5445	-5	adenine	1Y26
21	3-methyladenine	-323.9	-363.758	-379.82	-8017.24	-7875.43	3-methyladenine	-57.4932	-5	adenine	1Y26
22	6-cyanopurine	-409.454	-452.352	-454.135	-8238.9	-8068.86	6-cyanopurine	-64.4376	-5	adenine	1Y26
23	6-cyanopurine	-413.161	-450.958	-453.523	-8252.0	-8084.44	6-cyanopurine	-64.3933	-5	adenine	1Y26
24	6-cyanopurine	-412.199	-451.754	-454.274	-8252.0	-8084.44	6-cyanopurine	-64.3641	-5	adenine	1Y26
25	6-mercaptopurine	-359.1	-405.568	-410.559	-7984.94	-7815.07	6-mercaptopurine	-56.6863	-6	adenine	1Y26
26	6-mercaptopurine	-360.687	-405.387	-410.539	-8040.4	-7868.62	6-mercaptopurine	-56.2837	-6	adenine	1Y26
27	6-mercaptopurine	-358.102	-404.023	-409.828	-8012.54	-7842.02	6-mercaptopurine	-56.2716	-6	adenine	1Y26
28	8-azaadenine	-348.157	-366.766	-376.835	-8281.19	-8165.82	8-azaadenine	-60.7875	-5	adenine	1Y26
29	8-azaadenine	-349.001	-366.249	-379.512	-8452.36	-8341.3	8-azaadenine	-60.648	-5	adenine	1Y26
30	8-azaadenine	-350.339	-370.137	-379.185	-8257.64	-8143.57	8-azaadenine	-60.44	-5	adenine	1Y26
31	8-chloroadenine	-198.635	-208.294	-217.807	-7434.52	-7317.32	8-chloroadenine	-57.7294	-5	adenine	1Y26
32	8-chloroadenine	-198.883	-207.313	-217.761	-7434.52	-7317.32	8-chloroadenine	-57.7061	-5	adenine	1Y26
33	8-chloroadenine	-197.512	-205.35	-216.417	-7434.52	-7317.32	8-chloroadenine	-57.6936	-5	adenine	1Y26
34	N6,N6-dimethyladenine	-331.43	-355.849	-359.132	-7791.84	-7640.16	N6,N6-dimethyladenine	-63.6709	-5	adenine	1Y26
35	N6,N6-dimethyladenine	-329.6	-354.365	-357.668	-7791.84	-7640.16	N6,N6-dimethyladenine	-63.453	-5	adenine	1Y26
36	N6,N6-dimethyladenine	-332.564	-356.913	-361.151	-7791.84	-7640.16	N6,N6-dimethyladenine	-63.4432	-5	adenine	1Y26
37	N6-methyladenine	-367.402	-399.758	-404.108	-7909.27	-7761.76	N6-methyladenine	-67.9364	-5	adenine	1Y26
38	N6-methyladenine	-364.671	-398.252	-403.685	-7816.02	-7669.08	N6-methyladenine	-67.8725	-5	adenine	1Y26
39	N6-methyladenine	-363.431	-396.256	-400.095	-7884.36	-7734.38	N6-methyladenine	-67.8124	-5	adenine	1Y26
40	P04819452	-144.789	-147.938	-146.51	-91.23	-85.05	P04819452	-53.0443	-5	adenine	1Y26
41	P04819452	-187.789	-186.197	-187.127	-616.92	-576.03	P04819452	-51.992	-5	adenine	1Y26
42	P04819452	-146.421	-150.283	-148.135	-30.69	-26.88	P04819452	-50.5684	-5	adenine	1Y26
43	P05621203	-319.411	-329.786	-336.489	85.7	199.62	P05621203	-57.7032	-5	adenine	1Y26
44	P05621203	-343.88	-359.945	-358.742	67.4	156.5	P05621203	-57.5802	-5	adenine	1Y26
45	P05621203	-313.573	-324.635	-329.497	95.92	206.39	P05621203	-57.0346	-5	adenine	1Y26
46	P06850086	-180.153	-179.289	-184.673	-54.66	-26.75	P06850086	-56.9801	-5	adenine	1Y26
47	P06850086	-180.061	-178.729	-183.761	-58.79	-29.0	P06850086	-56.5428	-5	adenine	1Y26
48	P06850086	-288.249	-309.519	-314.329	-871.35	-827.9	P06850086	-55.7001	-6	adenine	1Y26
49	P07497363	-342.912	-361.776	-362.724	109.55	222.3	P07497363	-54.9379	-5	adenine	1Y26
50	P07497363	-341.345	-358.538	-361.62	115.3	231.41	P07497363	-54.6126	-5	adenine	1Y26
51	P07497363	-341.04	-357.357	-359.796	134.07	248.95	P07497363	-54.4754	-5	adenine	1Y26
52	P08390249	-286.337	-292.331	-301.723	471.91	604.34	P08390249	-52.7136	-5	adenine	1Y26
53	P08390249	-298.066	-301.243	-308.742	414.37	566.74	P08390249	-51.4727	-5	adenine	1Y26
54	P08390249	-289.698	-292.068	-298.72	429.27	579.12	P08390249	-51.2743	-5	adenine	1Y26
55	P09082078	-172.736	-176.759	-178.007	-334.37	-257.56	P09082078	-42.7679	-5	adenine	1Y26
