compoundId	compound	AnnapuRNA Score:RF_modern	AnnapuRNA Score:kNN_basic	AnnapuRNA Score:kNN_modern
1	1-deazapurine	-367.425	-411.178	-416.068
2	1-deazapurine	-365.351	-409.141	-414.215
3	1-deazapurine	-364.926	-404.885	-409.341
4	1-methyladenine	-268.338	-295.213	-301.13
5	1-methyladenine	-266.934	-293.667	-300.215
6	1-methyladenine	-270.914	-295.38	-303.308
7	2,4,6-triaminopyrimidine	-244.522	-262.728	-271.357
8	2,4,6-triaminopyrimidine	-243.224	-263.485	-272.225
9	2,4,6-triaminopyrimidine	-267.117	-289.174	-296.206
10	2,6-diaminopurine	-399.637	-439.38	-442.446
11	2,6-diaminopurine	-399.443	-439.082	-441.899
12	2,6-diaminopurine	-397.024	-437.129	-440.385
13	2-aminopurine	-428.495	-461.49	-467.264
14	2-aminopurine	-430.087	-463.865	-468.957
15	2-aminopurine	-424.159	-458.87	-464.435
16	2-chloroadenine	-343.049	-381.974	-385.042
17	2-chloroadenine	-341.956	-383.268	-386.464
18	2-chloroadenine	-339.406	-381.817	-385.292
19	3-methyladenine	-324.675	-363.664	-379.26
20	3-methyladenine	-311.692	-336.926	-359.812
21	3-methyladenine	-323.9	-363.758	-379.82
22	6-cyanopurine	-409.454	-452.352	-454.135
23	6-cyanopurine	-413.161	-450.958	-453.523
24	6-cyanopurine	-412.199	-451.754	-454.274
25	6-mercaptopurine	-359.1	-405.568	-410.559
26	6-mercaptopurine	-360.687	-405.387	-410.539
27	6-mercaptopurine	-358.102	-404.023	-409.828
28	8-azaadenine	-348.157	-366.766	-376.835
29	8-azaadenine	-349.001	-366.249	-379.512
30	8-azaadenine	-350.339	-370.137	-379.185
31	8-chloroadenine	-198.635	-208.294	-217.807
32	8-chloroadenine	-198.883	-207.313	-217.761
33	8-chloroadenine	-197.512	-205.35	-216.417
34	N6,N6-dimethyladenine	-331.43	-355.849	-359.132
35	N6,N6-dimethyladenine	-329.6	-354.365	-357.668
36	N6,N6-dimethyladenine	-332.564	-356.913	-361.151
37	N6-methyladenine	-367.402	-399.758	-404.108
38	N6-methyladenine	-364.671	-398.252	-403.685
39	N6-methyladenine	-363.431	-396.256	-400.095
40	P04819452	-144.789	-147.938	-146.51
41	P04819452	-187.789	-186.197	-187.127
42	P04819452	-146.421	-150.283	-148.135
43	P05621203	-319.411	-329.786	-336.489
44	P05621203	-343.88	-359.945	-358.742
45	P05621203	-313.573	-324.635	-329.497
46	P06850086	-180.153	-179.289	-184.673
47	P06850086	-180.061	-178.729	-183.761
48	P06850086	-288.249	-309.519	-314.329
49	P07497363	-342.912	-361.776	-362.724
50	P07497363	-341.345	-358.538	-361.62
51	P07497363	-341.04	-357.357	-359.796
52	P08390249	-286.337	-292.331	-301.723
53	P08390249	-298.066	-301.243	-308.742
54	P08390249	-289.698	-292.068	-298.72
55	P09082078	-172.736	-176.759	-178.007
56	P09082078	-172.271	-175.845	-177.411
57	P09082078	-172.488	-176.781	-176.982
58	P09577449	-142.796	-144.858	-144.446
59	P09577449	-153.535	-156.487	-159.834
60	P09577449	-142.174	-142.853	-147.508
61	P101123070	-261.658	-277.117	-279.683
62	P101123070	-263.407	-278.751	-281.684
63	P101123070	-265.762	-283.368	-283.184
64	P101128085	-244.589	-252.695	-256.014
65	P101128085	-280.361	-291.412	-292.573
66	P101128085	-243.074	-253.428	-255.558
67	P105879035	-258.617	-263.364	-260.832
68	P105879035	-257.7	-263.595	-260.703
69	P105879035	-257.988	-264.503	-260.908
70	P107007207	-192.1	-190.729	-197.795
71	P107007207	-194.965	-194.736	-202.475
72	P107007207	-263.172	-276.52	-280.333
73	P107007208	-202.836	-206.642	-214.387
74	P107007208	-212.883	-212.074	-219.295
75	P107007208	-211.761	-218.906	-218.491
76	P107221164	-218.478	-239.492	-238.694
77	P107221164	-221.068	-243.21	-241.897
78	P107221164	-201.15	-213.132	-216.152
79	P107223365	-284.779	-292.759	-296.034
80	P107223365	-274.716	-273.161	-276.714
81	P107223365	-278.789	-296.821	-295.164
82	P107232038	-202.8	-213.527	-218.875
83	P107232038	-202.451	-212.995	-217.537
84	P107232038	-201.215	-208.182	-211.363
85	P107375654	-224.892	-241.037	-239.566
86	P107375654	-223.892	-238.16	-235.883
87	P107375654	-225.641	-239.594	-238.346
88	P107405414	-264.948	-281.244	-278.063
