compoundId	compound	AnnapuRNA Score:RF_modern	AnnapuRNA Score:kNN_basic	AnnapuRNA Score:kNN_modern	score:LigandRNA-basic	score:LigandRNA-modern	title	score:rDock-dock_solv	score:rf-score-vs	target	pdb
1	1-deazapurine	-378.398	-418.908	-422.957	-9329.64	-9108.61	1-deazapurine	-53.9696	-6	adenine	4TZX
2	1-deazapurine	-378.144	-417.74	-422.283	-9293.54	-9073.55	1-deazapurine	-53.8866	-6	adenine	4TZX
3	1-deazapurine	-376.537	-416.523	-420.399	-9285.74	-9065.71	1-deazapurine	-53.8402	-6	adenine	4TZX
4	1-methyladenine	-298.598	-335.486	-338.388	-8142.37	-8006.9	1-methyladenine	-57.0161	-5	adenine	4TZX
5	1-methyladenine	-296.696	-332.391	-335.929	-8234.13	-8096.94	1-methyladenine	-56.8713	-5	adenine	4TZX
6	1-methyladenine	-297.723	-332.965	-337.604	-8060.0	-7925.45	1-methyladenine	-56.8424	-5	adenine	4TZX
7	2,4,6-triaminopyrimidine	-257.542	-271.689	-281.984	-5898.31	-5857.16	2,4,6-triaminopyrimidine	-61.4763	-5	adenine	4TZX
8	2,4,6-triaminopyrimidine	-270.029	-293.907	-296.613	-5470.82	-5414.54	2,4,6-triaminopyrimidine	-61.2539	-5	adenine	4TZX
9	2,4,6-triaminopyrimidine	-258.881	-273.91	-284.53	-5894.05	-5854.58	2,4,6-triaminopyrimidine	-61.142	-5	adenine	4TZX
10	2,6-diaminopurine	-424.871	-461.151	-462.755	-7260.69	-7162.77	2,6-diaminopurine	-77.1567	-5	adenine	4TZX
11	2,6-diaminopurine	-415.416	-453.801	-455.382	-7258.79	-7162.03	2,6-diaminopurine	-76.9886	-5	adenine	4TZX
12	2,6-diaminopurine	-413.665	-450.619	-452.401	-7219.32	-7120.12	2,6-diaminopurine	-76.979	-5	adenine	4TZX
13	2-aminopurine	-436.026	-469.915	-474.945	-8323.39	-8192.96	2-aminopurine	-71.1754	-5	adenine	4TZX
14	2-aminopurine	-434.734	-467.026	-472.182	-8344.78	-8209.73	2-aminopurine	-71.0528	-5	adenine	4TZX
15	2-aminopurine	-437.018	-469.621	-474.403	-8323.39	-8192.96	2-aminopurine	-71.034	-5	adenine	4TZX
16	2-chloroadenine	-353.226	-393.512	-395.675	-7376.73	-7248.55	2-chloroadenine	-67.262	-5	adenine	4TZX
17	2-chloroadenine	-353.372	-396.004	-396.921	-7376.73	-7248.55	2-chloroadenine	-67.1421	-5	adenine	4TZX
18	2-chloroadenine	-351.161	-392.064	-393.597	-7343.41	-7215.47	2-chloroadenine	-67.1222	-5	adenine	4TZX
19	3-methyladenine	-342.319	-385.879	-399.889	-7964.87	-7819.19	3-methyladenine	-57.6612	-5	adenine	4TZX
20	3-methyladenine	-312.47	-342.237	-363.926	-8167.29	-8030.25	3-methyladenine	-57.6137	-5	adenine	4TZX
21	3-methyladenine	-317.408	-355.762	-372.635	-8056.88	-7922.55	3-methyladenine	-57.6055	-5	adenine	4TZX
22	6-cyanopurine	-425.879	-464.076	-464.674	-8114.09	-7953.63	6-cyanopurine	-62.8635	-5	adenine	4TZX
23	6-cyanopurine	-425.747	-463.42	-464.2	-8114.09	-7953.63	6-cyanopurine	-62.8598	-5	adenine	4TZX
24	6-cyanopurine	-425.873	-462.983	-463.757	-8114.09	-7953.63	6-cyanopurine	-62.8556	-5	adenine	4TZX
25	6-mercaptopurine	-362.79	-406.715	-414.406	-8022.47	-7863.37	6-mercaptopurine	-53.6943	-6	adenine	4TZX
26	6-mercaptopurine	-363.818	-409.461	-415.424	-7872.98	-7714.4	6-mercaptopurine	-53.6709	-6	adenine	4TZX
27	6-mercaptopurine	-364.385	-410.293	-415.807	-7907.31	-7746.76	6-mercaptopurine	-53.6545	-6	adenine	4TZX
28	8-azaadenine	-313.309	-339.56	-357.656	-8331.54	-8224.95	8-azaadenine	-59.4732	-5	adenine	4TZX
29	8-azaadenine	-357.193	-395.041	-396.946	-8523.34	-8395.26	8-azaadenine	-59.4452	-5	adenine	4TZX
30	8-azaadenine	-346.352	-367.238	-382.662	-8515.63	-8405.43	8-azaadenine	-59.417	-5	adenine	4TZX
31	8-chloroadenine	-191.943	-196.999	-208.352	-7252.16	-7133.62	8-chloroadenine	-56.1923	-5	adenine	4TZX
32	8-chloroadenine	-192.212	-197.903	-209.268	-7217.59	-7097.19	8-chloroadenine	-55.7219	-5	adenine	4TZX
33	8-chloroadenine	-191.951	-196.421	-209.91	-7291.88	-7174.86	8-chloroadenine	-55.1962	-5	adenine	4TZX
34	N6,N6-dimethyladenine	-341.52	-367.029	-372.713	-7860.81	-7718.18	N6,N6-dimethyladenine	-62.8009	-5	adenine	4TZX
35	N6,N6-dimethyladenine	-343.758	-368.921	-374.345	-7754.9	-7613.77	N6,N6-dimethyladenine	-62.727	-5	adenine	4TZX
36	N6,N6-dimethyladenine	-327.548	-360.007	-363.835	-7831.51	-7690.6	N6,N6-dimethyladenine	-62.717	-5	adenine	4TZX
37	N6-methyladenine	-376.526	-408.023	-411.632	-7785.8	-7638.72	N6-methyladenine	-64.2956	-5	adenine	4TZX
38	N6-methyladenine	-373.595	-402.373	-406.976	-7837.25	-7691.33	N6-methyladenine	-64.2432	-5	adenine	4TZX
39	N6-methyladenine	-371.956	-403.578	-407.866	-7672.29	-7525.04	N6-methyladenine	-64.24	-5	adenine	4TZX
40	P04819452	-277.407	-290.548	-290.711	-1093.61	-1038.04	P04819452	-48.6897	-5	adenine	4TZX
41	P04819452	-276.617	-291.055	-290.429	-1093.61	-1038.04	P04819452	-47.918	-5	adenine	4TZX
42	P04819452	-274.684	-288.85	-288.032	-1119.15	-1063.15	P04819452	-47.5119	-5	adenine	4TZX
43	P05621203	-358.833	-382.458	-386.73	-33.77	76.2	P05621203	-63.2921	-5	adenine	4TZX
44	P05621203	-315.103	-329.694	-333.007	48.72	163.52	P05621203	-61.2635	-5	adenine	4TZX
45	P05621203	-337.478	-347.465	-354.892	-30.88	93.13	P05621203	-59.029	-5	adenine	4TZX
46	P06850086	-298.238	-314.419	-321.344	-888.7	-842.93	P06850086	-55.1274	-6	adenine	4TZX
47	P06850086	-295.136	-312.915	-319.035	-892.96	-848.43	P06850086	-54.0002	-6	adenine	4TZX
48	P06850086	-292.585	-311.042	-316.134	-889.39	-846.17	P06850086	-52.7556	-6	adenine	4TZX
49	P07497363	-340.76	-360.393	-357.892	-27.7	99.54	P07497363	-54.6102	-5	adenine	4TZX
50	P07497363	-337.678	-357.962	-357.042	-27.7	99.54	P07497363	-54.3777	-5	adenine	4TZX
