compoundId	compound	AnnapuRNA Score:RF_modern	AnnapuRNA Score:kNN_basic	AnnapuRNA Score:kNN_modern
1	1-deazapurine	-378.398	-418.908	-422.957
2	1-deazapurine	-378.144	-417.74	-422.283
3	1-deazapurine	-376.537	-416.523	-420.399
4	1-methyladenine	-298.598	-335.486	-338.388
5	1-methyladenine	-296.696	-332.391	-335.929
6	1-methyladenine	-297.723	-332.965	-337.604
7	2,4,6-triaminopyrimidine	-257.542	-271.689	-281.984
8	2,4,6-triaminopyrimidine	-270.029	-293.907	-296.613
9	2,4,6-triaminopyrimidine	-258.881	-273.91	-284.53
10	2,6-diaminopurine	-424.871	-461.151	-462.755
11	2,6-diaminopurine	-415.416	-453.801	-455.382
12	2,6-diaminopurine	-413.665	-450.619	-452.401
13	2-aminopurine	-436.026	-469.915	-474.945
14	2-aminopurine	-434.734	-467.026	-472.182
15	2-aminopurine	-437.018	-469.621	-474.403
16	2-chloroadenine	-353.226	-393.512	-395.675
17	2-chloroadenine	-353.372	-396.004	-396.921
18	2-chloroadenine	-351.161	-392.064	-393.597
19	3-methyladenine	-342.319	-385.879	-399.889
20	3-methyladenine	-312.47	-342.237	-363.926
21	3-methyladenine	-317.408	-355.762	-372.635
22	6-cyanopurine	-425.879	-464.076	-464.674
23	6-cyanopurine	-425.747	-463.42	-464.2
24	6-cyanopurine	-425.873	-462.983	-463.757
25	6-mercaptopurine	-362.79	-406.715	-414.406
26	6-mercaptopurine	-363.818	-409.461	-415.424
27	6-mercaptopurine	-364.385	-410.293	-415.807
28	8-azaadenine	-313.309	-339.56	-357.656
29	8-azaadenine	-357.193	-395.041	-396.946
30	8-azaadenine	-346.352	-367.238	-382.662
31	8-chloroadenine	-191.943	-196.999	-208.352
32	8-chloroadenine	-192.212	-197.903	-209.268
33	8-chloroadenine	-191.951	-196.421	-209.91
34	N6,N6-dimethyladenine	-341.52	-367.029	-372.713
35	N6,N6-dimethyladenine	-343.758	-368.921	-374.345
36	N6,N6-dimethyladenine	-327.548	-360.007	-363.835
37	N6-methyladenine	-376.526	-408.023	-411.632
38	N6-methyladenine	-373.595	-402.373	-406.976
39	N6-methyladenine	-371.956	-403.578	-407.866
40	P04819452	-277.407	-290.548	-290.711
41	P04819452	-276.617	-291.055	-290.429
42	P04819452	-274.684	-288.85	-288.032
43	P05621203	-358.833	-382.458	-386.73
44	P05621203	-315.103	-329.694	-333.007
45	P05621203	-337.478	-347.465	-354.892
46	P06850086	-298.238	-314.419	-321.344
47	P06850086	-295.136	-312.915	-319.035
48	P06850086	-292.585	-311.042	-316.134
49	P07497363	-340.76	-360.393	-357.892
50	P07497363	-337.678	-357.962	-357.042
51	P07497363	-338.971	-358.958	-357.102
52	P08390249	-298.215	-305.345	-312.312
53	P08390249	-296.66	-300.382	-305.68
54	P08390249	-288.726	-298.343	-305.402
55	P09082078	-173.336	-179.086	-178.633
56	P09082078	-176.918	-182.071	-183.512
57	P09082078	-178.152	-183.298	-183.941
58	P09577449	-128.972	-128.53	-138.104
59	P09577449	-168.034	-175.912	-178.017
60	P09577449	-160.666	-164.135	-166.869
61	P101123070	-267.274	-283.073	-286.694
62	P101123070	-268.75	-282.653	-288.868
63	P101123070	-268.3	-283.473	-285.786
64	P101128085	-257.79	-270.28	-275.377
65	P101128085	-255.514	-268.308	-273.029
66	P101128085	-251.485	-263.575	-265.128
67	P105879035	-259.411	-265.843	-262.252
68	P105879035	-258.849	-266.16	-264.047
69	P105879035	-259.521	-266.595	-264.555
70	P107007207	-203.021	-214.002	-217.358
71	P107007207	-204.809	-214.035	-216.251
72	P107007207	-191.371	-188.722	-196.851
73	P107007208	-206.378	-204.714	-212.347
74	P107007208	-206.909	-204.353	-211.164
75	P107007208	-172.586	-183.65	-178.043
76	P107221164	-114.584	-119.5	-120.508
