compoundId	compound	AnnapuRNA Score:RF_modern	AnnapuRNA Score:kNN_basic	AnnapuRNA Score:kNN_modern	score:LigandRNA-basic	score:LigandRNA-modern	title	score:rDock-dock_solv	score:rf-score-vs	target	pdb
1	1-deazapurine	-375.427	-414.056	-419.391	-9418.95	-9191.62	1-deazapurine	-54.2368	-6	adenine	4XNR
2	1-deazapurine	-374.701	-411.968	-417.02	-9437.3	-9211.6	1-deazapurine	-54.2235	-6	adenine	4XNR
3	1-deazapurine	-375.672	-414.669	-419.591	-9418.95	-9191.62	1-deazapurine	-54.2007	-6	adenine	4XNR
4	1-methyladenine	-296.349	-331.203	-335.704	-8211.29	-8070.96	1-methyladenine	-58.4033	-5	adenine	4XNR
5	1-methyladenine	-297.727	-332.835	-337.534	-8211.29	-8070.96	1-methyladenine	-58.3569	-5	adenine	4XNR
6	1-methyladenine	-297.127	-333.985	-338.91	-8211.29	-8070.96	1-methyladenine	-58.3429	-5	adenine	4XNR
7	2,4,6-triaminopyrimidine	-248.652	-261.431	-269.835	-5889.6	-5854.01	2,4,6-triaminopyrimidine	-61.0875	-5	adenine	4XNR
8	2,4,6-triaminopyrimidine	-251.441	-265.098	-275.881	-5863.46	-5829.81	2,4,6-triaminopyrimidine	-60.9824	-5	adenine	4XNR
9	2,4,6-triaminopyrimidine	-266.586	-289.226	-296.122	-5538.83	-5476.84	2,4,6-triaminopyrimidine	-60.6436	-5	adenine	4XNR
10	2,6-diaminopurine	-414.647	-453.24	-455.908	-7032.24	-6942.58	2,6-diaminopurine	-77.0504	-5	adenine	4XNR
11	2,6-diaminopurine	-413.629	-452.151	-455.292	-6988.1	-6890.98	2,6-diaminopurine	-76.8242	-5	adenine	4XNR
12	2,6-diaminopurine	-419.817	-456.114	-458.532	-7073.63	-6978.83	2,6-diaminopurine	-76.5103	-5	adenine	4XNR
13	2-aminopurine	-441.743	-473.239	-477.884	-8167.71	-8039.67	2-aminopurine	-71.1365	-5	adenine	4XNR
14	2-aminopurine	-437.79	-469.682	-474.981	-8190.85	-8057.21	2-aminopurine	-70.6865	-5	adenine	4XNR
15	2-aminopurine	-439.019	-470.104	-474.691	-8224.95	-8093.21	2-aminopurine	-70.5342	-5	adenine	4XNR
16	2-chloroadenine	-360.789	-399.037	-401.952	-7485.44	-7352.74	2-chloroadenine	-66.2572	-5	adenine	4XNR
17	2-chloroadenine	-360.236	-400.031	-402.316	-7485.44	-7352.74	2-chloroadenine	-66.2367	-5	adenine	4XNR
18	2-chloroadenine	-361.949	-399.893	-403.461	-7450.62	-7320.32	2-chloroadenine	-66.1497	-5	adenine	4XNR
19	3-methyladenine	-317.197	-343.205	-361.981	-8178.46	-8039.1	3-methyladenine	-60.252	-5	adenine	4XNR
20	3-methyladenine	-314.526	-341.217	-358.776	-8178.46	-8039.1	3-methyladenine	-60.2183	-5	adenine	4XNR
21	3-methyladenine	-316.425	-342.03	-360.678	-8178.46	-8039.1	3-methyladenine	-60.2177	-5	adenine	4XNR
22	6-cyanopurine	-419.219	-457.571	-460.16	-8145.12	-7973.64	6-cyanopurine	-62.3389	-5	adenine	4XNR
23	6-cyanopurine	-424.067	-462.74	-464.242	-8264.78	-8096.42	6-cyanopurine	-62.3338	-5	adenine	4XNR
24	6-cyanopurine	-425.325	-462.555	-463.987	-8186.13	-8018.86	6-cyanopurine	-62.3333	-5	adenine	4XNR
25	6-mercaptopurine	-333.551	-373.305	-382.912	-7967.54	-7802.41	6-mercaptopurine	-52.7466	-6	adenine	4XNR
26	6-mercaptopurine	-334.217	-374.173	-383.341	-7967.54	-7802.41	6-mercaptopurine	-52.6539	-6	adenine	4XNR
27	6-mercaptopurine	-333.61	-373.331	-382.756	-7967.54	-7802.41	6-mercaptopurine	-52.6162	-6	adenine	4XNR
28	8-azaadenine	-313.291	-333.499	-351.535	-8264.51	-8153.06	8-azaadenine	-62.0504	-5	adenine	4XNR
29	8-azaadenine	-310.474	-332.302	-349.766	-8252.87	-8140.85	8-azaadenine	-61.9856	-5	adenine	4XNR
30	8-azaadenine	-313.91	-335.097	-352.082	-8264.51	-8153.06	8-azaadenine	-61.4858	-5	adenine	4XNR
31	8-chloroadenine	-186.842	-192.998	-207.57	-7331.38	-7215.33	8-chloroadenine	-60.7764	-5	adenine	4XNR
32	8-chloroadenine	-187.094	-193.054	-206.268	-7331.35	-7215.3	8-chloroadenine	-60.7375	-5	adenine	4XNR
33	8-chloroadenine	-185.648	-191.386	-205.209	-7332.77	-7216.67	8-chloroadenine	-60.3399	-5	adenine	4XNR
34	N6,N6-dimethyladenine	-333.424	-362.267	-365.529	-7930.71	-7780.73	N6,N6-dimethyladenine	-62.4746	-5	adenine	4XNR
35	N6,N6-dimethyladenine	-334.133	-361.621	-367.41	-7854.05	-7705.48	N6,N6-dimethyladenine	-62.2126	-5	adenine	4XNR
36	N6,N6-dimethyladenine	-330.44	-359.439	-364.382	-7892.97	-7745.46	N6,N6-dimethyladenine	-62.1589	-5	adenine	4XNR
37	N6-methyladenine	-366.805	-393.892	-398.906	-7889.52	-7746.7	N6-methyladenine	-65.6594	-5	adenine	4XNR
38	N6-methyladenine	-363.193	-392.323	-396.425	-7890.08	-7746.29	N6-methyladenine	-65.6556	-5	adenine	4XNR
39	N6-methyladenine	-366.685	-394.036	-398.133	-7890.08	-7746.29	N6-methyladenine	-65.4986	-5	adenine	4XNR
40	P04819452	-267.459	-279.542	-277.166	-989.13	-935.73	P04819452	-50.0031	-5	adenine	4XNR
41	P04819452	-161.065	-157.176	-161.204	105.52	114.86	P04819452	-49.209	-5	adenine	4XNR
42	P04819452	-275.048	-292.885	-292.589	-1089.95	-1038.53	P04819452	-48.6087	-5	adenine	4XNR
43	P05621203	-346.989	-372.631	-374.604	72.4	176.74	P05621203	-61.6167	-6	adenine	4XNR
44	P05621203	-352.253	-376.087	-379.725	49.64	159.84	P05621203	-61.137	-6	adenine	4XNR
45	P05621203	-356.518	-384.732	-390.822	51.81	161.94	P05621203	-59.5967	-6	adenine	4XNR
46	P06850086	-298.399	-312.563	-318.238	-882.71	-843.54	P06850086	-56.4229	-6	adenine	4XNR
47	P06850086	-301.719	-315.075	-321.857	-904.22	-865.58	P06850086	-56.0849	-6	adenine	4XNR
48	P06850086	-301.65	-316.255	-320.487	-833.11	-787.99	P06850086	-55.3234	-6	adenine	4XNR
49	P07497363	-331.95	-352.368	-351.036	56.89	175.71	P07497363	-56.9232	-5	adenine	4XNR
50	P07497363	-333.095	-353.196	-351.623	73.32	193.15	P07497363	-56.9038	-5	adenine	4XNR
51	P07497363	-332.139	-353.476	-351.102	61.27	180.46	P07497363	-56.8417	-5	adenine	4XNR
