compoundId	compound	AnnapuRNA Score:RF_modern	AnnapuRNA Score:kNN_basic	AnnapuRNA Score:kNN_modern
1	1-deazapurine	-375.427	-414.056	-419.391
2	1-deazapurine	-374.701	-411.968	-417.02
3	1-deazapurine	-375.672	-414.669	-419.591
4	1-methyladenine	-296.349	-331.203	-335.704
5	1-methyladenine	-297.727	-332.835	-337.534
6	1-methyladenine	-297.127	-333.985	-338.91
7	2,4,6-triaminopyrimidine	-248.652	-261.431	-269.835
8	2,4,6-triaminopyrimidine	-251.441	-265.098	-275.881
9	2,4,6-triaminopyrimidine	-266.586	-289.226	-296.122
10	2,6-diaminopurine	-414.647	-453.24	-455.908
11	2,6-diaminopurine	-413.629	-452.151	-455.292
12	2,6-diaminopurine	-419.817	-456.114	-458.532
13	2-aminopurine	-441.743	-473.239	-477.884
14	2-aminopurine	-437.79	-469.682	-474.981
15	2-aminopurine	-439.019	-470.104	-474.691
16	2-chloroadenine	-360.789	-399.037	-401.952
17	2-chloroadenine	-360.236	-400.031	-402.316
18	2-chloroadenine	-361.949	-399.893	-403.461
19	3-methyladenine	-317.197	-343.205	-361.981
20	3-methyladenine	-314.526	-341.217	-358.776
21	3-methyladenine	-316.425	-342.03	-360.678
22	6-cyanopurine	-419.219	-457.571	-460.16
23	6-cyanopurine	-424.067	-462.74	-464.242
24	6-cyanopurine	-425.325	-462.555	-463.987
25	6-mercaptopurine	-333.551	-373.305	-382.912
26	6-mercaptopurine	-334.217	-374.173	-383.341
27	6-mercaptopurine	-333.61	-373.331	-382.756
28	8-azaadenine	-313.291	-333.499	-351.535
29	8-azaadenine	-310.474	-332.302	-349.766
30	8-azaadenine	-313.91	-335.097	-352.082
31	8-chloroadenine	-186.842	-192.998	-207.57
32	8-chloroadenine	-187.094	-193.054	-206.268
33	8-chloroadenine	-185.648	-191.386	-205.209
34	N6,N6-dimethyladenine	-333.424	-362.267	-365.529
35	N6,N6-dimethyladenine	-334.133	-361.621	-367.41
36	N6,N6-dimethyladenine	-330.44	-359.439	-364.382
37	N6-methyladenine	-366.805	-393.892	-398.906
38	N6-methyladenine	-363.193	-392.323	-396.425
39	N6-methyladenine	-366.685	-394.036	-398.133
40	P04819452	-267.459	-279.542	-277.166
41	P04819452	-161.065	-157.176	-161.204
42	P04819452	-275.048	-292.885	-292.589
43	P05621203	-346.989	-372.631	-374.604
44	P05621203	-352.253	-376.087	-379.725
45	P05621203	-356.518	-384.732	-390.822
46	P06850086	-298.399	-312.563	-318.238
47	P06850086	-301.719	-315.075	-321.857
48	P06850086	-301.65	-316.255	-320.487
49	P07497363	-331.95	-352.368	-351.036
50	P07497363	-333.095	-353.196	-351.623
51	P07497363	-332.139	-353.476	-351.102
52	P08390249	-299.139	-304.564	-313.092
53	P08390249	-289.728	-295.534	-301.446
54	P08390249	-286.416	-293.71	-299.685
55	P09082078	-202.311	-208.697	-210.386
56	P09082078	-203.273	-208.935	-210.641
57	P09082078	-202.13	-208.259	-209.593
58	P09577449	-160.548	-160.437	-165.173
59	P09577449	-157.08	-163.899	-165.404
60	P09577449	-129.331	-130.139	-139.215
61	P101123070	-263.015	-276.404	-277.755
62	P101123070	-264.46	-278.793	-280.701
63	P101123070	-262.466	-278.405	-277.962
64	P101128085	-219.904	-228.561	-228.83
65	P101128085	-248.159	-255.222	-259.206
66	P101128085	-242.813	-249.291	-249.654
67	P105879035	-254.855	-257.679	-256.236
68	P105879035	-255.706	-258.482	-256.75
69	P105879035	-256.067	-258.153	-256.903
70	P107007207	-192.426	-195.836	-201.055
71	P107007207	-187.496	-187.585	-191.324
72	P107007207	-184.012	-185.103	-192.259
73	P107007208	-207.834	-215.039	-216.495
74	P107007208	-203.774	-204.175	-209.584
75	P107007208	-181.36	-186.237	-184.309
76	P107221164	-109.222	-115.219	-117.309
77	P107221164	-108.375	-115.166	-117.244
