compoundId	compound	AnnapuRNA Score:RF_modern	AnnapuRNA Score:kNN_basic	AnnapuRNA Score:kNN_modern	score:LigandRNA-basic	score:LigandRNA-modern	title	score:rDock-dock_solv	score:rf-score-vs	target	pdb
1	1-methylxanthine	-390.257	-449.419	-442.323	-6391.68	-6235.35	1-methylxanthine	-56.0637	-6	guanine	3GAO
2	1-methylxanthine	-389.19	-448.492	-441.217	-6391.68	-6235.35	1-methylxanthine	-56.0435	-6	guanine	3GAO
3	1-methylxanthine	-392.474	-450.572	-443.868	-6386.78	-6230.86	1-methylxanthine	-56.0423	-6	guanine	3GAO
4	14	-378.635	-421.868	-424.996	-6016.58	-5932.21	14	-65.0936	-5	guanine	3GAO
5	14	-380.277	-422.466	-426.795	-6016.58	-5932.21	14	-65.0501	-5	guanine	3GAO
6	14	-379.114	-422.666	-426.252	-6016.58	-5932.21	14	-65.0381	-5	guanine	3GAO
7	16	-389.827	-420.233	-422.151	-7575.05	-7475.07	16	-69.9452	-6	guanine	3GAO
8	16	-384.375	-415.973	-418.003	-7572.21	-7469.05	16	-69.9392	-6	guanine	3GAO
9	16	-387.419	-418.607	-420.905	-7572.21	-7469.05	16	-69.9143	-6	guanine	3GAO
10	2,6-diaminopurine	-425.68	-459.32	-462.416	-6903.09	-6819.17	2,6-diaminopurine	-73.7641	-5	guanine	3GAO
11	2,6-diaminopurine	-430.093	-461.592	-464.76	-6861.39	-6778.5	2,6-diaminopurine	-73.5935	-5	guanine	3GAO
12	2,6-diaminopurine	-399.542	-450.502	-451.285	-6838.46	-6751.22	2,6-diaminopurine	-73.0646	-5	guanine	3GAO
13	2-aminopurine	-446.486	-475.412	-479.767	-8018.92	-7893.25	2-aminopurine	-68.8465	-5	guanine	3GAO
14	2-aminopurine	-444.041	-475.701	-480.054	-8124.64	-7999.95	2-aminopurine	-68.7951	-5	guanine	3GAO
15	2-aminopurine	-446.389	-475.914	-480.518	-8067.05	-7941.0	2-aminopurine	-68.7534	-5	guanine	3GAO
16	23d	-520.977	-565.584	-564.629	-4245.99	-4160.04	23d	-58.747	-6	guanine	3GAO
17	23d	-521.926	-563.661	-563.013	-4265.53	-4179.68	23d	-57.681	-6	guanine	3GAO
18	23d	-523.396	-567.11	-565.612	-4218.57	-4130.03	23d	-56.6016	-6	guanine	3GAO
19	23g	-268.299	-282.35	-284.533	-601.53	-520.17	23g	-50.882	-6	guanine	3GAO
20	23g	-269.046	-259.451	-271.577	-1540.65	-1471.2	23g	-50.2313	-5	guanine	3GAO
21	23g	-270.199	-257.967	-270.674	-1562.09	-1492.71	23g	-47.8466	-5	guanine	3GAO
22	25d	-479.512	-523.829	-526.937	-4799.47	-4704.89	25d	-56.7316	-6	guanine	3GAO
23	25d	-483.163	-524.636	-528.972	-4806.36	-4712.81	25d	-55.9222	-6	guanine	3GAO
24	25d	-478.575	-523.278	-526.386	-4767.73	-4673.97	25d	-53.9934	-6	guanine	3GAO
25	25e	-192.423	-197.52	-199.833	-1369.41	-1252.2	25e	-57.0451	-6	guanine	3GAO
26	25e	-192.954	-198.963	-200.12	-1369.41	-1252.2	25e	-56.8097	-5	guanine	3GAO
27	25e	-427.588	-470.294	-472.346	-4997.5	-4883.08	25e	-56.5175	-6	guanine	3GAO
28	25i	-300.268	-333.04	-336.262	-2775.41	-2634.13	25i	-58.6054	-6	guanine	3GAO
29	25i	-288.275	-320.248	-326.602	-2516.13	-2379.79	25i	-55.5647	-6	guanine	3GAO
30	25i	-321.251	-342.329	-341.0	-2910.1	-2770.76	25i	-55.5296	-6	guanine	3GAO
31	27b	-423.705	-466.72	-467.706	-5213.98	-5138.42	27b	-86.5658	-5	guanine	3GAO
32	27b	-422.815	-467.858	-467.429	-5227.85	-5150.84	27b	-85.67	-5	guanine	3GAO
33	27b	-421.407	-464.683	-464.438	-5254.62	-5180.14	27b	-84.6952	-5	guanine	3GAO
34	27c	-419.901	-465.465	-463.377	-4890.03	-4817.46	27c	-85.7488	-5	guanine	3GAO
35	27c	-419.256	-463.927	-462.633	-4906.35	-4832.87	27c	-85.6263	-5	guanine	3GAO
36	27c	-448.714	-474.866	-477.622	-4905.97	-4836.91	27c	-85.4731	-5	guanine	3GAO
37	27i	-402.716	-441.651	-441.305	-5238.96	-5103.97	27i	-79.8254	-6	guanine	3GAO
38	27i	-404.225	-444.351	-443.516	-5192.56	-5056.75	27i	-79.6467	-6	guanine	3GAO
39	27i	-406.054	-444.194	-443.1	-5184.75	-5046.87	27i	-78.9956	-6	guanine	3GAO
40	28	-490.725	-539.538	-542.931	-7531.04	-7406.15	28	-69.1109	-5	guanine	3GAO
41	28	-490.845	-539.817	-542.798	-7531.04	-7406.15	28	-69.0992	-5	guanine	3GAO
42	28	-492.077	-540.882	-543.421	-7531.04	-7406.15	28	-69.0688	-5	guanine	3GAO
43	3-methylxanthine	-422.72	-475.047	-479.472	-6697.01	-6550.32	3-methylxanthine	-59.6402	-6	guanine	3GAO
44	3-methylxanthine	-424.126	-475.463	-480.249	-6616.47	-6470.85	3-methylxanthine	-59.607	-6	guanine	3GAO
45	3-methylxanthine	-423.258	-474.567	-479.628	-6627.66	-6482.96	3-methylxanthine	-59.59	-6	guanine	3GAO
46	30	-318.536	-357.884	-357.326	-4989.18	-4838.52	30	-46.2888	-6	guanine	3GAO
47	30	-213.093	-208.271	-209.919	-4124.78	-4001.72	30	-45.9239	-6	guanine	3GAO
48	30	-212.607	-210.107	-209.857	-4133.9	-4009.25	30	-45.8426	-6	guanine	3GAO
49	6-chloroguanine	-390.01	-432.39	-434.58	-7434.75	-7317.87	6-chloroguanine	-70.5922	-5	guanine	3GAO
50	6-chloroguanine	-389.527	-428.894	-431.907	-7463.97	-7345.66	6-chloroguanine	-70.4669	-5	guanine	3GAO
