compoundId	compound	AnnapuRNA Score:RF_modern	AnnapuRNA Score:kNN_basic	AnnapuRNA Score:kNN_modern
1	1-methylxanthine	-390.257	-449.419	-442.323
2	1-methylxanthine	-389.19	-448.492	-441.217
3	1-methylxanthine	-392.474	-450.572	-443.868
4	14	-378.635	-421.868	-424.996
5	14	-380.277	-422.466	-426.795
6	14	-379.114	-422.666	-426.252
7	16	-389.827	-420.233	-422.151
8	16	-384.375	-415.973	-418.003
9	16	-387.419	-418.607	-420.905
10	2,6-diaminopurine	-425.68	-459.32	-462.416
11	2,6-diaminopurine	-430.093	-461.592	-464.76
12	2,6-diaminopurine	-399.542	-450.502	-451.285
13	2-aminopurine	-446.486	-475.412	-479.767
14	2-aminopurine	-444.041	-475.701	-480.054
15	2-aminopurine	-446.389	-475.914	-480.518
16	23d	-520.977	-565.584	-564.629
17	23d	-521.926	-563.661	-563.013
18	23d	-523.396	-567.11	-565.612
19	23g	-268.299	-282.35	-284.533
20	23g	-269.046	-259.451	-271.577
21	23g	-270.199	-257.967	-270.674
22	25d	-479.512	-523.829	-526.937
23	25d	-483.163	-524.636	-528.972
24	25d	-478.575	-523.278	-526.386
25	25e	-192.423	-197.52	-199.833
26	25e	-192.954	-198.963	-200.12
27	25e	-427.588	-470.294	-472.346
28	25i	-300.268	-333.04	-336.262
29	25i	-288.275	-320.248	-326.602
30	25i	-321.251	-342.329	-341.0
31	27b	-423.705	-466.72	-467.706
32	27b	-422.815	-467.858	-467.429
33	27b	-421.407	-464.683	-464.438
34	27c	-419.901	-465.465	-463.377
35	27c	-419.256	-463.927	-462.633
36	27c	-448.714	-474.866	-477.622
37	27i	-402.716	-441.651	-441.305
38	27i	-404.225	-444.351	-443.516
39	27i	-406.054	-444.194	-443.1
40	28	-490.725	-539.538	-542.931
41	28	-490.845	-539.817	-542.798
42	28	-492.077	-540.882	-543.421
43	3-methylxanthine	-422.72	-475.047	-479.472
44	3-methylxanthine	-424.126	-475.463	-480.249
45	3-methylxanthine	-423.258	-474.567	-479.628
46	30	-318.536	-357.884	-357.326
47	30	-213.093	-208.271	-209.919
48	30	-212.607	-210.107	-209.857
49	6-chloroguanine	-390.01	-432.39	-434.58
50	6-chloroguanine	-389.527	-428.894	-431.907
51	6-chloroguanine	-391.685	-430.176	-432.662
52	7-deazaguanine	-463.344	-499.975	-501.054
53	7-deazaguanine	-456.756	-496.738	-496.731
54	7-deazaguanine	-460.511	-497.698	-499.638
55	8	-425.009	-469.555	-468.718
56	8	-423.087	-466.076	-465.759
57	8	-423.38	-469.281	-469.285
58	8-methylxanthine	-440.279	-489.948	-494.366
59	8-methylxanthine	-449.64	-495.627	-500.601
60	8-methylxanthine	-439.621	-487.562	-493.004
61	G1	-386.14	-425.486	-425.176
62	G1	-387.073	-427.571	-427.422
63	G1	-371.751	-419.254	-420.278
64	G10	-442.596	-474.972	-475.689
65	G10	-444.814	-474.085	-472.929
66	G10	-437.084	-474.005	-476.458
67	G11	-434.582	-473.943	-479.721
68	G11	-440.954	-481.34	-485.657
69	G11	-437.743	-479.142	-483.59
70	G12	-352.734	-383.645	-391.322
71	G12	-367.669	-405.268	-413.49
72	G12	-366.553	-398.846	-408.893
73	G13	-417.98	-461.468	-462.49
74	G13	-414.517	-460.765	-462.347
75	G13	-413.697	-458.489	-460.429
76	G14	-430.904	-470.439	-469.898
77	G14	-424.889	-464.381	-463.84
78	G14	-423.197	-456.029	-460.298
79	G15	-359.648	-406.307	-410.437
80	G15	-406.601	-449.971	-452.642
81	G15	-406.973	-439.878	-444.778
82	G3	-413.148	-441.429	-450.601
83	G3	-413.404	-446.052	-455.301
84	G3	-418.993	-449.001	-454.44
85	G4	-506.04	-538.736	-542.972
86	G4	-506.22	-539.34	-542.908
87	G4	-505.713	-538.699	-542.929
88	G6	-435.901	-481.446	-487.493
89	G6	-428.791	-478.652	-480.695
90	G6	-427.639	-474.261	-475.749
91	G8	-392.505	-432.219	-435.514
92	G8	-405.539	-441.025	-445.957
93	G8	-409.56	-443.563	-447.813
94	O6-methylguanine	-430.488	-453.59	-459.684
95	O6-methylguanine	-426.656	-451.558	-457.86
96	O6-methylguanine	-427.946	-451.043	-457.044
97	P04510763	-213.335	-214.792	-218.83
98	P04510763	-214.818	-215.417	-218.775
99	P04510763	-214.505	-215.462	-220.96
100	P04878919	-367.476	-377.244	-392.232
