compoundId	compound	AnnapuRNA Score:RF_modern	AnnapuRNA Score:kNN_basic	AnnapuRNA Score:kNN_modern	score:LigandRNA-basic	score:LigandRNA-modern	title	score:rDock-dock_solv	score:rf-score-vs	target	pdb
1	1-methylxanthine	-395.853	-453.666	-453.626	-6556.73	-6394.61	1-methylxanthine	-56.7127	-6	guanine	3GER
2	1-methylxanthine	-388.277	-449.489	-446.342	-6352.28	-6182.56	1-methylxanthine	-56.2834	-6	guanine	3GER
3	1-methylxanthine	-390.004	-451.05	-448.373	-6361.54	-6192.83	1-methylxanthine	-56.2577	-6	guanine	3GER
4	14	-388.553	-426.152	-426.532	-6076.91	-5987.27	14	-65.5705	-5	guanine	3GER
5	14	-380.249	-420.829	-423.913	-5996.18	-5910.43	14	-65.4904	-5	guanine	3GER
6	14	-377.362	-420.258	-423.075	-5996.18	-5910.43	14	-65.407	-5	guanine	3GER
7	16	-390.375	-422.544	-424.394	-7593.47	-7489.47	16	-69.6858	-6	guanine	3GER
8	16	-392.521	-423.365	-426.019	-7584.8	-7481.81	16	-69.635	-6	guanine	3GER
9	16	-388.648	-421.434	-423.293	-7581.43	-7479.61	16	-69.1102	-6	guanine	3GER
10	2,6-diaminopurine	-432.436	-466.567	-468.114	-6858.09	-6762.81	2,6-diaminopurine	-73.6819	-5	guanine	3GER
11	2,6-diaminopurine	-405.779	-454.322	-457.088	-6797.88	-6694.47	2,6-diaminopurine	-73.5697	-5	guanine	3GER
12	2,6-diaminopurine	-404.967	-455.012	-456.708	-6763.82	-6662.26	2,6-diaminopurine	-73.4891	-5	guanine	3GER
13	2-aminopurine	-450.077	-478.434	-484.157	-8091.35	-7959.29	2-aminopurine	-68.0952	-5	guanine	3GER
14	2-aminopurine	-446.003	-474.035	-481.32	-8161.03	-8030.33	2-aminopurine	-67.9083	-5	guanine	3GER
15	2-aminopurine	-448.615	-474.671	-480.154	-8179.17	-8039.93	2-aminopurine	-67.6958	-5	guanine	3GER
16	23d	-259.453	-275.84	-277.916	-1211.2	-1137.8	23d	-51.1693	-6	guanine	3GER
17	23d	-253.565	-275.39	-275.165	-1228.14	-1155.14	23d	-50.1179	-6	guanine	3GER
18	23d	-237.328	-256.993	-252.419	-1167.82	-1093.96	23d	-49.4416	-6	guanine	3GER
19	23g	-504.8	-565.38	-561.061	-3909.56	-3812.04	23g	-43.2265	-6	guanine	3GER
20	23g	-507.617	-563.775	-562.467	-4000.23	-3905.03	23g	-42.628	-6	guanine	3GER
21	23g	-496.974	-557.495	-555.325	-3819.92	-3720.47	23g	-42.116	-6	guanine	3GER
