compoundId	compound	AnnapuRNA Score:RF_modern	AnnapuRNA Score:kNN_basic	AnnapuRNA Score:kNN_modern
1	1-methylxanthine	-395.853	-453.666	-453.626
2	1-methylxanthine	-388.277	-449.489	-446.342
3	1-methylxanthine	-390.004	-451.05	-448.373
4	14	-388.553	-426.152	-426.532
5	14	-380.249	-420.829	-423.913
6	14	-377.362	-420.258	-423.075
7	16	-390.375	-422.544	-424.394
8	16	-392.521	-423.365	-426.019
9	16	-388.648	-421.434	-423.293
10	2,6-diaminopurine	-432.436	-466.567	-468.114
11	2,6-diaminopurine	-405.779	-454.322	-457.088
12	2,6-diaminopurine	-404.967	-455.012	-456.708
13	2-aminopurine	-450.077	-478.434	-484.157
14	2-aminopurine	-446.003	-474.035	-481.32
15	2-aminopurine	-448.615	-474.671	-480.154
16	23d	-259.453	-275.84	-277.916
17	23d	-253.565	-275.39	-275.165
18	23d	-237.328	-256.993	-252.419
19	23g	-504.8	-565.38	-561.061
20	23g	-507.617	-563.775	-562.467
21	23g	-496.974	-557.495	-555.325
22	25d	-205.192	-216.811	-209.973
23	25d	-473.75	-514.852	-514.013
24	25d	-206.119	-215.389	-211.191
25	25e	-436.22	-479.587	-476.873
26	25e	-436.085	-485.319	-479.799
27	25e	-438.97	-487.221	-481.542
28	25i	-313.096	-336.743	-346.296
29	25i	-323.343	-356.874	-359.37
30	25i	-361.686	-388.368	-391.923
31	27b	-439.014	-479.126	-479.193
32	27b	-431.397	-469.446	-467.709
33	27b	-433.815	-472.135	-470.796
34	27c	-454.941	-481.575	-481.022
35	27c	-421.012	-456.891	-458.041
36	27c	-434.673	-473.265	-470.792
37	27i	-440.463	-473.946	-475.217
38	27i	-372.253	-424.954	-427.401
39	27i	-441.727	-476.302	-476.64
40	28	-499.491	-545.589	-548.09
41	28	-501.212	-545.633	-548.555
42	28	-497.128	-544.33	-546.478
43	3-methylxanthine	-433.816	-477.333	-483.378
44	3-methylxanthine	-433.376	-476.851	-482.695
45	3-methylxanthine	-433.406	-476.281	-482.715
46	30	-323.221	-365.367	-364.545
47	30	-326.469	-366.393	-365.977
48	30	-333.008	-372.928	-372.187
49	6-chloroguanine	-411.086	-442.76	-444.144
50	6-chloroguanine	-411.02	-442.861	-443.26
51	6-chloroguanine	-398.698	-433.882	-436.073
52	7-deazaguanine	-460.067	-497.837	-500.522
53	7-deazaguanine	-466.86	-502.477	-505.654
54	7-deazaguanine	-463.01	-498.535	-501.291
55	8	-419.448	-466.141	-467.327
56	8	-409.984	-458.214	-458.333
57	8	-419.863	-466.71	-467.391
58	8-methylxanthine	-450.59	-494.295	-498.077
59	8-methylxanthine	-448.324	-492.213	-496.337
60	8-methylxanthine	-450.438	-493.811	-498.122
61	G1	-368.58	-422.922	-422.695
62	G1	-363.493	-419.242	-421.346
63	G1	-372.915	-425.301	-424.51
64	G10	-441.755	-482.133	-481.898
65	G10	-423.719	-470.155	-470.811
66	G10	-436.121	-475.355	-476.018
67	G11	-463.785	-501.862	-505.906
68	G11	-444.311	-482.525	-485.053
69	G11	-442.002	-487.003	-488.285
70	G12	-366.772	-395.506	-408.124
71	G12	-364.699	-393.389	-403.991
72	G12	-379.508	-418.532	-424.919
73	G13	-448.119	-493.334	-498.926
74	G13	-419.805	-468.023	-474.493
75	G13	-446.726	-492.663	-499.923
76	G14	-430.725	-470.649	-473.976
77	G14	-429.288	-467.375	-467.689
78	G14	-428.258	-469.674	-471.756
79	G15	-406.27	-452.69	-456.603
80	G15	-413.372	-446.314	-452.021
81	G15	-407.473	-458.161	-461.448
82	G3	-440.602	-462.65	-466.022
83	G3	-433.333	-458.656	-463.523
84	G3	-377.333	-410.42	-419.097
85	G4	-226.613	-237.471	-233.741
86	G4	-469.449	-514.527	-514.978
87	G4	-424.455	-454.68	-457.771
88	G6	-439.145	-470.237	-470.527
89	G6	-440.021	-469.986	-469.23
90	G6	-442.328	-469.628	-470.37
91	G8	-410.769	-442.745	-448.515
92	G8	-404.629	-439.597	-445.216
93	G8	-397.244	-439.011	-444.697
94	O6-methylguanine	-434.586	-459.549	-466.125
95	O6-methylguanine	-435.746	-459.946	-466.647
96	O6-methylguanine	-436.953	-458.479	-463.167
97	P04510763	-239.072	-235.929	-239.752
98	P04510763	-237.71	-235.721	-238.536
99	P04510763	-239.656	-237.864	-240.311
100	P04878919	-361.081	-369.617	-382.442
101	P04878919	-351.884	-357.203	-367.747
102	P04878919	-356.775	-370.026	-381.303
103	P05160426	-335.572	-343.075	-355.731
104	P05160426	-339.847	-348.218	-362.816
105	P05160426	-321.837	-340.393	-350.838
106	P05169006	-295.36	-313.369	-318.234
107	P05169006	-295.862	-314.793	-316.626
108	P05169006	-294.887	-312.678	-316.041
109	P05203552	-392.464	-427.752	-436.904
110	P05203552	-401.455	-436.768	-439.893
111	P05203552	-389.603	-425.152	-435.281
112	P05458189	-219.2	-224.465	-228.75
113	P05458189	-219.979	-223.89	-230.151
114	P05458189	-220.297	-224.745	-230.189
115	P05653762	-161.905	-160.247	-167.184
116	P05653762	-203.492	-197.998	-200.671
117	P05653762	-300.673	-314.884	-319.896
118	P06144602	-396.138	-405.055	-411.567
119	P06144602	-390.525	-401.511	-410.417
120	P06144602	-416.755	-422.394	-425.053
121	P06168283	-465.601	-479.634	-480.833
122	P06168283	-475.052	-488.452	-496.353
123	P06168283	-470.235	-483.1	-484.023
124	P06191806	-209.477	-226.218	-229.854
125	P06191806	-209.202	-225.799	-229.466
126	P06191806	-207.041	-209.523	-217.964
127	P06323680	-399.704	-413.79	-419.395
128	P06323680	-398.207	-414.234	-418.544
129	P06323680	-399.751	-413.743	-418.966
130	P06375344	-272.595	-270.097	-286.816
131	P06375344	-273.446	-270.881	-287.337
132	P06375344	-269.238	-264.986	-281.587
133	P06387406	-364.367	-388.989	-387.353
134	P06387406	-379.697	-401.234	-405.703
135	P06387406	-379.218	-398.152	-397.684
136	P06660819	-288.514	-298.031	-301.432
137	P06660819	-300.462	-306.224	-309.539
138	P06660819	-322.249	-351.043	-358.248
139	P06747469	-263.607	-280.12	-274.533
140	P06747469	-260.792	-278.051	-270.143
141	P06747469	-218.535	-220.55	-226.99
142	P06776811	-413.59	-422.603	-434.119
143	P06776811	-415.209	-426.124	-434.828
144	P06776811	-410.524	-420.997	-434.707
145	P06880560	-159.888	-164.848	-167.796
146	P06880560	-234.243	-242.417	-246.656
147	P06880560	-248.255	-247.945	-248.888
148	P07004269	-221.388	-219.344	-224.089
149	P07004269	-224.301	-224.355	-227.623
150	P07004269	-223.769	-221.704	-227.89
151	P07497395	-220.403	-228.277	-228.624
152	P07497395	-179.31	-186.165	-189.856
153	P07497395	-196.424	-192.945	-190.468
154	P07862578	-451.666	-470.888	-482.325
155	P07862578	-452.824	-477.416	-484.111
156	P07862578	-468.05	-485.262	-496.407
157	P07919128	-480.812	-503.836	-501.772
158	P07919128	-460.086	-475.364	-479.217
159	P07919128	-472.919	-502.204	-497.176
160	P07956841	-334.783	-366.732	-370.032
161	P07956841	-332.968	-364.108	-368.784
162	P07956841	-335.309	-366.489	-370.483
163	P08165825	-231.457	-231.127	-229.249
164	P08165825	-231.035	-232.602	-229.061
165	P08165825	-251.38	-258.373	-258.935
166	P08190549	-417.06	-425.427	-428.862
167	P08190549	-382.5	-391.196	-385.138
168	P08190549	-411.818	-423.454	-427.911
169	P08215567	-254.277	-264.932	-267.25
170	P08215567	-251.539	-262.036	-265.191
171	P08215567	-249.724	-261.174	-262.76
172	P08456800	-428.996	-458.19	-463.156
173	P08456800	-436.045	-459.861	-463.66
174	P08456800	-435.25	-458.884	-461.35
175	P08757744	-336.529	-348.745	-353.396
176	P08757744	-339.79	-349.987	-355.545
177	P08757744	-338.328	-349.761	-354.59
178	P09911675	-211.826	-219.045	-219.347
179	P09911675	-212.331	-217.665	-218.831
180	P09911675	-215.376	-215.225	-219.241
181	P101141853	-426.859	-436.439	-445.813
182	P101141853	-427.301	-436.583	-444.297
183	P101141853	-425.993	-435.846	-444.622
184	P101623589	-328.594	-352.051	-353.529
185	P101623589	-333.387	-355.742	-358.701
186	P101623589	-328.633	-352.564	-353.987
187	P101624250	-265.679	-272.294	-270.42
188	P101624250	-261.451	-269.109	-268.059
189	P101624250	-265.221	-270.563	-269.573
190	P101755291	-297.995	-320.605	-317.307
191	P101755291	-292.257	-313.935	-311.702
192	P101755291	-293.427	-313.403	-310.861
193	P102050597	-223.509	-244.604	-248.183
194	P102050597	-227.864	-242.551	-247.967
195	P102050597	-227.288	-245.791	-250.339
196	P10219034	-263.793	-270.472	-271.783
197	P10219034	-276.821	-273.137	-282.966
198	P10219034	-279.454	-272.152	-282.695
199	P103445670	-174.037	-189.424	-189.674
200	P103445670	-174.014	-189.611	-189.431
201	P103445670	-172.907	-190.208	-189.633
202	P103549664	-256.722	-261.857	-261.427
203	P103549664	-258.479	-264.727	-264.094
204	P103549664	-225.276	-221.433	-224.111
205	P104360884	-191.966	-194.069	-198.584
206	P104360884	-192.436	-194.515	-200.016
207	P104360884	-192.836	-194.689	-199.142
208	P104360888	-153.192	-157.24	-156.003
209	P104360888	-158.538	-164.734	-163.616
210	P104360888	-158.804	-165.181	-163.659
211	P104367367	-232.838	-249.674	-253.687
212	P104367367	-232.588	-249.385	-253.843
213	P104367367	-231.981	-247.849	-253.03
214	P10470480	-386.039	-412.471	-414.559
215	P10470480	-412.411	-435.492	-433.458
216	P10470480	-410.855	-438.409	-437.045
217	P105251863	-233.248	-259.311	-256.814
218	P105251863	-242.584	-268.865	-263.987
219	P105251863	-233.828	-261.147	-256.45
220	P105253445	-334.297	-365.087	-367.774
221	P105253445	-334.168	-365.504	-367.903
222	P105253445	-336.41	-370.784	-374.129
223	P105275513	-239.063	-246.111	-254.606
224	P105275513	-236.95	-245.434	-251.758
225	P105275513	-255.686	-268.747	-273.717
226	P105279502	-306.65	-308.695	-318.905
227	P105279502	-296.283	-304.237	-314.595
228	P105279502	-293.354	-303.85	-314.684
229	P105550806	-369.357	-401.118	-399.964
230	P105550806	-374.689	-402.224	-402.683
231	P105550806	-371.42	-400.438	-399.42
232	P105620882	-382.416	-417.256	-432.847
233	P105620882	-386.925	-423.919	-439.105
234	P105620882	-382.512	-420.087	-433.504
235	P105948661	-127.838	-150.77	-143.896
236	P105948661	-129.806	-152.545	-146.103
237	P105948661	-127.822	-133.158	-134.057
238	P105994133	-145.035	-149.419	-149.873
239	P105994133	-139.472	-144.237	-142.581
240	P105994133	-141.83	-148.735	-148.488
241	P106975142	-272.152	-271.742	-280.241
242	P106975142	-274.787	-273.992	-284.899
243	P106975142	-274.23	-270.304	-281.062
244	P107050660	-289.27	-291.162	-293.051
245	P107050660	-289.494	-291.718	-293.836
246	P107050660	-228.007	-228.596	-230.256
247	P107063757	-179.186	-177.601	-178.621
248	P107063757	-282.798	-293.887	-300.793
249	P107063757	-280.075	-289.571	-299.589
250	P107199644	-232.188	-246.483	-252.866
251	P107199644	-235.148	-251.143	-256.349
252	P107199644	-253.832	-277.336	-289.479
253	P107232255	-226.706	-227.537	-221.964
254	P107232255	-250.732	-256.354	-254.093
255	P107232255	-263.53	-265.687	-270.347
256	P107271708	-294.743	-308.729	-309.391
257	P107271708	-289.084	-303.945	-306.991
258	P107271708	-228.684	-238.152	-238.946
259	P107290233	-180.37	-187.52	-194.563
260	P107290233	-179.212	-187.848	-194.258
261	P107290233	-178.837	-187.239	-192.914
262	P107335604	-244.1	-252.685	-252.51
263	P107335604	-245.019	-253.437	-252.81
264	P107335604	-258.633	-268.951	-268.62
265	P107411719	-205.883	-208.447	-203.566
266	P107411719	-207.507	-210.208	-204.657
267	P107411719	-177.543	-180.839	-186.721
268	P107411723	-228.231	-243.93	-244.533
269	P107411723	-217.011	-223.551	-233.836
270	P107411723	-211.49	-222.258	-224.886
271	P107460269	-263.159	-277.644	-275.671
272	P107460269	-223.616	-232.394	-229.699
273	P107460269	-245.266	-261.491	-262.504
274	P107604042	-232.143	-239.715	-240.078
275	P107604042	-228.215	-235.586	-236.94
276	P107604042	-220.087	-216.95	-216.941
277	P107706077	-343.337	-355.503	-356.784
278	P107706077	-342.502	-355.061	-354.777
279	P107706077	-346.45	-360.341	-360.683
280	P107707661	-235.93	-255.791	-249.41
281	P107707661	-236.93	-257.078	-250.289
282	P107707661	-237.614	-257.029	-251.589
283	P107707728	-170.694	-173.721	-175.054
284	P107707728	-184.216	-191.475	-192.206
285	P107707728	-176.682	-180.302	-181.37
286	P107727468	-261.441	-279.532	-292.049
287	P107727468	-261.444	-279.184	-291.259
288	P107727468	-262.254	-279.45	-291.494
289	P107727470	-181.987	-183.954	-178.613
290	P107727470	-187.052	-191.697	-184.155
291	P107727470	-186.311	-191.92	-184.659
292	P107741174	-236.092	-247.601	-251.378
293	P107741174	-236.344	-250.308	-259.376
294	P107741174	-235.661	-247.34	-255.506
295	P107741416	-202.481	-199.678	-204.051
296	P107741416	-222.455	-227.595	-233.401
297	P107741416	-345.723	-372.206	-375.784
298	P107806497	-208.094	-216.864	-225.245
299	P107806497	-210.031	-220.809	-227.162
300	P107806497	-209.898	-219.81	-227.746
301	P107834496	-321.946	-349.11	-359.676
302	P107834496	-310.966	-316.106	-326.258
303	P107834496	-326.572	-335.641	-339.197
304	P107842522	-218.16	-220.898	-222.121
305	P107842522	-219.591	-220.097	-222.871
306	P107842522	-217.455	-220.588	-223.588
307	P107842526	-193.949	-196.207	-201.696
308	P107842526	-190.382	-196.792	-199.472
309	P107842526	-188.925	-196.036	-198.173
310	P107869074	-213.959	-218.533	-212.469
311	P107869074	-236.569	-232.707	-243.775
312	P107869074	-212.52	-214.984	-212.196
