compoundId	compound	AnnapuRNA Score:RF_modern	AnnapuRNA Score:kNN_basic	AnnapuRNA Score:kNN_modern	score:LigandRNA-basic	score:LigandRNA-modern	title	score:rDock-dock_solv	score:rf-score-vs	target	pdb
1	1-methylxanthine	-372.191	-436.774	-438.621	-6394.63	-6231.99	1-methylxanthine	-52.7987	-6	guanine	4FE5
2	1-methylxanthine	-373.841	-438.831	-440.789	-6393.14	-6231.1	1-methylxanthine	-52.6532	-6	guanine	4FE5
3	1-methylxanthine	-372.804	-436.908	-438.474	-6394.63	-6231.99	1-methylxanthine	-52.3757	-6	guanine	4FE5
4	14	-385.741	-424.833	-426.615	-6118.54	-6038.0	14	-64.8036	-5	guanine	4FE5
5	14	-382.748	-424.725	-425.982	-6097.99	-6019.27	14	-64.6862	-5	guanine	4FE5
6	14	-382.576	-424.804	-425.994	-6118.54	-6038.0	14	-64.5929	-5	guanine	4FE5
7	16	-370.724	-405.31	-407.18	-7738.1	-7632.78	16	-69.7251	-6	guanine	4FE5
8	16	-382.127	-415.464	-417.588	-7779.29	-7678.49	16	-69.6202	-6	guanine	4FE5
9	16	-383.674	-416.043	-417.79	-7779.29	-7678.49	16	-69.593	-6	guanine	4FE5
10	2,6-diaminopurine	-429.738	-466.651	-468.694	-6909.93	-6812.99	2,6-diaminopurine	-74.876	-5	guanine	4FE5
11	2,6-diaminopurine	-429.866	-465.362	-467.449	-6936.7	-6842.71	2,6-diaminopurine	-73.7852	-5	guanine	4FE5
12	2,6-diaminopurine	-432.737	-467.79	-469.379	-6901.58	-6805.46	2,6-diaminopurine	-73.7262	-5	guanine	4FE5
13	2-aminopurine	-454.295	-482.319	-487.427	-8120.7	-7984.31	2-aminopurine	-69.5108	-5	guanine	4FE5
14	2-aminopurine	-451.194	-478.269	-484.403	-8082.38	-7945.07	2-aminopurine	-68.577	-5	guanine	4FE5
15	2-aminopurine	-449.344	-478.887	-484.893	-8182.74	-8046.69	2-aminopurine	-68.5287	-5	guanine	4FE5
16	23d	-229.44	-243.012	-234.785	-1058.78	-969.84	23d	-43.7541	-6	guanine	4FE5
17	23d	-533.054	-568.421	-569.565	-4246.71	-4156.34	23d	-42.1736	-6	guanine	4FE5
18	23d	-197.292	-197.541	-196.524	-813.86	-727.07	23d	-41.992	-6	guanine	4FE5
19	23g	-275.651	-281.816	-281.967	-740.36	-664.16	23g	-37.031	-6	guanine	4FE5
20	23g	-427.937	-473.796	-472.584	-4126.26	-4045.6	23g	-36.9821	-6	guanine	4FE5
21	23g	-275.908	-292.945	-291.069	-731.53	-652.87	23g	-34.3168	-6	guanine	4FE5
22	25d	-224.985	-235.152	-236.504	-1252.9	-1135.08	25d	-52.6407	-6	guanine	4FE5
23	25d	-461.889	-511.581	-507.513	-4558.69	-4449.93	25d	-50.8961	-6	guanine	4FE5
24	25d	-208.274	-219.919	-215.597	-1190.9	-1073.88	25d	-50.5344	-6	guanine	4FE5
25	25e	-432.201	-477.867	-478.018	-5046.27	-4927.55	25e	-57.5967	-6	guanine	4FE5
26	25e	-193.493	-199.699	-199.874	-1343.18	-1233.78	25e	-57.2727	-6	guanine	4FE5
27	25e	-432.613	-478.172	-476.611	-5059.68	-4941.55	25e	-56.4028	-6	guanine	4FE5
28	25i	-305.145	-336.421	-337.75	-3201.35	-3054.97	25i	-52.1275	-6	guanine	4FE5
29	25i	-301.586	-322.893	-334.654	-2947.41	-2791.69	25i	-48.7503	-6	guanine	4FE5
30	25i	-313.328	-352.708	-354.622	-2762.37	-2616.12	25i	-48.6511	-6	guanine	4FE5
31	27b	-439.916	-471.109	-473.127	-5283.83	-5204.59	27b	-85.1983	-5	guanine	4FE5
32	27b	-439.687	-472.112	-474.346	-5286.85	-5207.09	27b	-84.6981	-5	guanine	4FE5
33	27b	-432.457	-465.33	-472.248	-5336.28	-5262.48	27b	-83.8747	-5	guanine	4FE5
34	27c	-438.666	-470.165	-470.071	-4986.36	-4919.81	27c	-90.2943	-5	guanine	4FE5
35	27c	-434.214	-463.565	-467.427	-4878.31	-4802.1	27c	-86.6349	-5	guanine	4FE5
36	27c	-432.065	-469.668	-473.646	-4969.63	-4899.15	27c	-84.8498	-5	guanine	4FE5
37	27i	-433.653	-464.287	-465.402	-5242.75	-5111.22	27i	-78.3735	-6	guanine	4FE5
38	27i	-418.147	-459.54	-457.319	-5147.4	-5017.38	27i	-75.7559	-6	guanine	4FE5
39	27i	-415.306	-458.332	-455.836	-5169.39	-5036.18	27i	-75.5921	-6	guanine	4FE5
40	28	-483.119	-528.334	-531.113	-7463.57	-7327.94	28	-68.7388	-5	guanine	4FE5
41	28	-484.678	-530.309	-533.652	-7473.39	-7338.2	28	-68.2721	-6	guanine	4FE5
42	28	-488.272	-532.316	-536.52	-7463.57	-7327.94	28	-68.1432	-5	guanine	4FE5
43	3-methylxanthine	-424.297	-475.364	-480.024	-6880.61	-6728.87	3-methylxanthine	-57.5267	-6	guanine	4FE5
44	3-methylxanthine	-428.776	-478.892	-482.982	-6874.28	-6721.02	3-methylxanthine	-57.2325	-6	guanine	4FE5
45	3-methylxanthine	-425.197	-475.98	-480.562	-6880.61	-6728.87	3-methylxanthine	-57.2139	-6	guanine	4FE5
46	30	-179.163	-192.526	-196.737	-3821.97	-3667.49	30	-50.6046	-6	guanine	4FE5
47	30	-324.377	-364.521	-361.545	-4997.88	-4841.83	30	-48.6924	-6	guanine	4FE5
48	30	-323.371	-361.789	-361.138	-5023.74	-4866.9	30	-47.9091	-6	guanine	4FE5
49	6-chloroguanine	-394.268	-433.789	-437.723	-7715.86	-7591.9	6-chloroguanine	-71.4201	-5	guanine	4FE5
50	6-chloroguanine	-390.347	-431.163	-434.672	-7757.76	-7632.99	6-chloroguanine	-71.2563	-5	guanine	4FE5
51	6-chloroguanine	-391.033	-431.893	-434.934	-7605.7	-7477.43	6-chloroguanine	-71.2139	-5	guanine	4FE5
52	7-deazaguanine	-462.587	-497.916	-500.342	-7114.87	-6986.52	7-deazaguanine	-75.5269	-6	guanine	4FE5
53	7-deazaguanine	-462.757	-498.273	-500.828	-7071.91	-6944.17	7-deazaguanine	-75.4097	-6	guanine	4FE5
54	7-deazaguanine	-460.912	-497.109	-498.777	-7071.91	-6944.17	7-deazaguanine	-75.2177	-6	guanine	4FE5
55	8	-412.422	-461.954	-462.781	-6928.49	-6814.61	8	-78.8758	-6	guanine	4FE5
