compoundId	compound	AnnapuRNA Score:RF_modern	AnnapuRNA Score:kNN_basic	AnnapuRNA Score:kNN_modern
1	1-methylxanthine	-372.191	-436.774	-438.621
2	1-methylxanthine	-373.841	-438.831	-440.789
3	1-methylxanthine	-372.804	-436.908	-438.474
4	14	-385.741	-424.833	-426.615
5	14	-382.748	-424.725	-425.982
6	14	-382.576	-424.804	-425.994
7	16	-370.724	-405.31	-407.18
8	16	-382.127	-415.464	-417.588
9	16	-383.674	-416.043	-417.79
10	2,6-diaminopurine	-429.738	-466.651	-468.694
11	2,6-diaminopurine	-429.866	-465.362	-467.449
12	2,6-diaminopurine	-432.737	-467.79	-469.379
13	2-aminopurine	-454.295	-482.319	-487.427
14	2-aminopurine	-451.194	-478.269	-484.403
15	2-aminopurine	-449.344	-478.887	-484.893
16	23d	-229.44	-243.012	-234.785
17	23d	-533.054	-568.421	-569.565
18	23d	-197.292	-197.541	-196.524
19	23g	-275.651	-281.816	-281.967
20	23g	-427.937	-473.796	-472.584
21	23g	-275.908	-292.945	-291.069
22	25d	-224.985	-235.152	-236.504
23	25d	-461.889	-511.581	-507.513
24	25d	-208.274	-219.919	-215.597
25	25e	-432.201	-477.867	-478.018
26	25e	-193.493	-199.699	-199.874
27	25e	-432.613	-478.172	-476.611
28	25i	-305.145	-336.421	-337.75
29	25i	-301.586	-322.893	-334.654
30	25i	-313.328	-352.708	-354.622
31	27b	-439.916	-471.109	-473.127
32	27b	-439.687	-472.112	-474.346
33	27b	-432.457	-465.33	-472.248
34	27c	-438.666	-470.165	-470.071
35	27c	-434.214	-463.565	-467.427
36	27c	-432.065	-469.668	-473.646
37	27i	-433.653	-464.287	-465.402
38	27i	-418.147	-459.54	-457.319
39	27i	-415.306	-458.332	-455.836
40	28	-483.119	-528.334	-531.113
41	28	-484.678	-530.309	-533.652
42	28	-488.272	-532.316	-536.52
43	3-methylxanthine	-424.297	-475.364	-480.024
44	3-methylxanthine	-428.776	-478.892	-482.982
45	3-methylxanthine	-425.197	-475.98	-480.562
46	30	-179.163	-192.526	-196.737
47	30	-324.377	-364.521	-361.545
48	30	-323.371	-361.789	-361.138
49	6-chloroguanine	-394.268	-433.789	-437.723
50	6-chloroguanine	-390.347	-431.163	-434.672
51	6-chloroguanine	-391.033	-431.893	-434.934
52	7-deazaguanine	-462.587	-497.916	-500.342
53	7-deazaguanine	-462.757	-498.273	-500.828
54	7-deazaguanine	-460.912	-497.109	-498.777
55	8	-412.422	-461.954	-462.781
56	8	-415.677	-464.161	-464.463
57	8	-413.205	-463.328	-463.242
58	8-methylxanthine	-455.504	-495.31	-501.943
59	8-methylxanthine	-448.371	-495.112	-499.552
60	8-methylxanthine	-449.096	-495.074	-499.049
61	G1	-379.984	-421.413	-421.166
62	G1	-365.087	-418.18	-420.375
63	G1	-367.919	-419.95	-422.654
64	G10	-433.822	-470.397	-473.627
65	G10	-434.896	-470.975	-475.182
66	G10	-433.43	-472.393	-475.42
67	G11	-449.504	-494.298	-497.558
68	G11	-445.096	-482.47	-487.396
69	G11	-438.31	-477.378	-481.613
70	G12	-379.033	-414.122	-421.475
71	G12	-391.025	-424.44	-432.648
72	G12	-387.84	-422.332	-430.663
73	G13	-452.646	-507.412	-504.675
74	G13	-468.127	-510.073	-510.803
75	G13	-438.342	-474.71	-483.185
76	G14	-424.662	-461.483	-462.503
77	G14	-421.492	-461.806	-463.42
78	G14	-422.297	-456.687	-462.76
79	G15	-410.845	-456.677	-456.442
80	G15	-409.522	-457.405	-457.51
81	G15	-406.687	-452.288	-451.707
82	G3	-347.783	-378.483	-390.745
83	G3	-448.406	-495.236	-499.83
84	G3	-442.595	-488.012	-489.634
85	G4	-212.081	-222.626	-218.282
86	G4	-209.452	-219.341	-214.883
87	G4	-216.482	-216.542	-218.517
88	G6	-456.197	-505.757	-506.71
89	G6	-414.212	-468.417	-464.652
90	G6	-321.733	-356.814	-363.459
91	G8	-386.593	-428.539	-436.511
92	G8	-408.21	-441.934	-446.287
93	G8	-386.795	-427.419	-430.965
94	O6-methylguanine	-432.813	-453.005	-460.585
95	O6-methylguanine	-431.856	-454.409	-461.189
96	O6-methylguanine	-434.18	-453.23	-460.716
97	P04510763	-228.396	-226.824	-236.101
98	P04510763	-227.846	-226.94	-235.368
99	P04510763	-225.973	-228.395	-236.927
100	P04878919	-358.596	-365.279	-378.186
101	P04878919	-361.552	-369.225	-380.374
102	P04878919	-356.118	-363.133	-372.798
103	P05160426	-330.634	-328.285	-344.871
104	P05160426	-325.635	-326.577	-338.924
105	P05160426	-338.205	-345.753	-356.326
106	P05169006	-303.747	-324.136	-330.515
107	P05169006	-303.26	-324.068	-330.425
108	P05169006	-303.597	-324.248	-330.131
109	P05203552	-386.68	-415.264	-424.27
110	P05203552	-377.769	-408.928	-416.198
111	P05203552	-383.037	-414.448	-423.782
112	P05458189	-221.143	-225.108	-229.805
113	P05458189	-221.879	-225.78	-230.044
114	P05458189	-221.874	-225.152	-226.927
115	P05653762	-164.872	-167.765	-172.098
116	P05653762	-207.493	-200.664	-202.165
117	P05653762	-205.825	-203.532	-209.046
118	P06144602	-423.451	-434.298	-438.662
119	P06144602	-428.16	-436.769	-441.4
120	P06144602	-409.091	-416.268	-418.136
