compoundId	compound	AnnapuRNA Score:RF_modern	AnnapuRNA Score:kNN_basic	AnnapuRNA Score:kNN_modern	score:LigandRNA-basic	score:LigandRNA-modern	title	score:rDock-dock_solv	score:rf-score-vs	target	pdb
1	19	-260.847	-283.057	-281.381	-6697.66	-6574.44	19	-56.4881	-6	guanineC74U	2XNW
2	19	-260.516	-283.913	-281.459	-6644.01	-6521.5	19	-56.3005	-6	guanineC74U	2XNW
3	19	-280.916	-297.987	-295.933	-6663.21	-6535.89	19	-56.257	-6	guanineC74U	2XNW
4	2,4,5,6-tetraaminopyrimidine	-327.442	-352.01	-360.136	-5356.02	-5328.74	2,4,5,6-tetraaminopyrimidine	-76.607	-5	guanineC74U	2XNW
5	2,4,5,6-tetraaminopyrimidine	-327.161	-348.691	-354.834	-5412.55	-5382.63	2,4,5,6-tetraaminopyrimidine	-76.5397	-5	guanineC74U	2XNW
6	2,4,5,6-tetraaminopyrimidine	-321.58	-344.804	-350.118	-5431.21	-5399.45	2,4,5,6-tetraaminopyrimidine	-75.9701	-5	guanineC74U	2XNW
7	2,4,6-triamino-1,3,5-triazine	-247.695	-261.794	-264.382	-6014.21	-5973.96	2,4,6-triamino-1,3,5-triazine	-71.4084	-5	guanineC74U	2XNW
8	2,4,6-triamino-1,3,5-triazine	-232.867	-251.17	-256.39	-5969.38	-5931.88	2,4,6-triamino-1,3,5-triazine	-71.0014	-5	guanineC74U	2XNW
9	2,4,6-triamino-1,3,5-triazine	-246.725	-261.739	-264.698	-6051.72	-6010.25	2,4,6-triamino-1,3,5-triazine	-70.8733	-5	guanineC74U	2XNW
10	2,4,6-triaminopyrimidine	-291.698	-307.689	-311.513	-5941.76	-5893.23	2,4,6-triaminopyrimidine	-73.021	-5	guanineC74U	2XNW
11	2,4,6-triaminopyrimidine	-299.934	-318.092	-321.561	-5941.76	-5893.23	2,4,6-triaminopyrimidine	-73.0182	-5	guanineC74U	2XNW
12	2,4,6-triaminopyrimidine	-291.735	-307.054	-311.87	-5971.49	-5922.62	2,4,6-triaminopyrimidine	-72.9451	-5	guanineC74U	2XNW
13	2,4-diaminopyrimidine	-282.671	-301.157	-308.477	-7098.04	-7019.89	2,4-diaminopyrimidine	-66.9846	-5	guanineC74U	2XNW
14	2,4-diaminopyrimidine	-285.371	-303.544	-308.52	-6886.66	-6809.37	2,4-diaminopyrimidine	-66.8345	-5	guanineC74U	2XNW
15	2,4-diaminopyrimidine	-286.361	-303.979	-308.824	-6906.78	-6830.09	2,4-diaminopyrimidine	-66.7712	-5	guanineC74U	2XNW
16	2,6-diaminopurine	-423.163	-459.522	-461.143	-7064.48	-6961.93	2,6-diaminopurine	-81.5489	-5	guanineC74U	2XNW
17	2,6-diaminopurine	-418.764	-459.09	-461.221	-7081.37	-6978.76	2,6-diaminopurine	-81.5262	-5	guanineC74U	2XNW
18	2,6-diaminopurine	-418.703	-456.568	-458.221	-7017.76	-6916.09	2,6-diaminopurine	-81.3877	-5	guanineC74U	2XNW
19	2-aminopurine	-439.299	-472.695	-476.892	-8155.85	-8016.3	2-aminopurine	-75.7811	-5	guanineC74U	2XNW
20	2-aminopurine	-439.066	-472.482	-476.458	-8142.14	-8004.06	2-aminopurine	-75.7744	-5	guanineC74U	2XNW
21	2-aminopurine	-441.679	-474.832	-477.895	-8142.14	-8004.06	2-aminopurine	-75.7698	-5	guanineC74U	2XNW
22	2-fluoroadenine	-362.884	-403.181	-403.58	-7462.47	-7324.71	2-fluoroadenine	-70.5829	-5	guanineC74U	2XNW
23	2-fluoroadenine	-355.377	-398.871	-400.515	-7479.68	-7341.65	2-fluoroadenine	-70.3583	-5	guanineC74U	2XNW
24	2-fluoroadenine	-363.601	-403.05	-403.877	-7462.47	-7324.71	2-fluoroadenine	-70.3061	-5	guanineC74U	2XNW
25	20	-288.956	-303.023	-307.427	-6736.35	-6562.21	20	-56.0814	-6	guanineC74U	2XNW
26	20	-291.826	-305.201	-308.443	-6787.85	-6611.19	20	-53.4058	-6	guanineC74U	2XNW
27	20	-292.027	-304.781	-308.226	-6787.85	-6611.19	20	-53.381	-6	guanineC74U	2XNW
28	21	-296.357	-313.415	-322.13	-5939.25	-5769.21	21	-52.5353	-6	guanineC74U	2XNW
29	21	-297.095	-313.827	-322.663	-5939.25	-5769.21	21	-52.3743	-6	guanineC74U	2XNW
30	21	-294.05	-311.955	-320.741	-5939.25	-5769.21	21	-52.3126	-6	guanineC74U	2XNW
31	24	-351.539	-388.572	-387.397	-7005.83	-6932.2	24	-74.249	-5	guanineC74U	2XNW
32	24	-348.532	-386.11	-384.219	-7005.83	-6932.2	24	-73.4933	-5	guanineC74U	2XNW
33	24	-350.518	-387.244	-386.08	-7005.18	-6934.42	24	-73.3479	-5	guanineC74U	2XNW
34	25	-201.897	-211.599	-214.171	-6617.13	-6557.85	25	-68.8226	-5	guanineC74U	2XNW
35	25	-202.6	-211.402	-214.0	-6617.13	-6557.85	25	-68.6162	-5	guanineC74U	2XNW
36	25	-205.442	-211.214	-214.955	-6639.94	-6581.32	25	-68.1709	-5	guanineC74U	2XNW
37	26	-238.22	-245.052	-258.354	-6552.21	-6485.78	26	-67.7547	-5	guanineC74U	2XNW
38	26	-239.43	-246.728	-259.148	-6523.08	-6455.05	26	-67.494	-5	guanineC74U	2XNW
39	26	-239.748	-246.532	-259.504	-6523.08	-6455.05	26	-67.3653	-5	guanineC74U	2XNW
40	27	-232.51	-249.667	-255.009	-7009.37	-6946.93	27	-65.768	-5	guanineC74U	2XNW
41	27	-229.584	-248.568	-253.291	-7018.43	-6956.25	27	-65.3878	-5	guanineC74U	2XNW
42	27	-230.624	-249.631	-254.959	-7009.37	-6946.93	27	-65.3785	-5	guanineC74U	2XNW
43	28	-97.279	-107.244	-110.141	-6273.1	-6212.22	28	-62.6154	-6	guanineC74U	2XNW
44	28	-91.736	-103.15	-107.34	-6242.22	-6181.26	28	-62.609	-6	guanineC74U	2XNW
45	28	-99.284	-109.991	-112.514	-6221.76	-6160.74	28	-62.5286	-6	guanineC74U	2XNW
46	6-bromoguanine	-397.533	-432.822	-434.466	-7645.99	-7515.33	6-bromoguanine	-80.221	-5	guanineC74U	2XNW
47	6-bromoguanine	-398.222	-433.553	-435.135	-7633.26	-7503.96	6-bromoguanine	-80.187	-5	guanineC74U	2XNW
48	6-bromoguanine	-399.397	-433.378	-435.606	-7647.11	-7517.08	6-bromoguanine	-80.1557	-5	guanineC74U	2XNW
49	6-chloroguanine	-319.768	-362.389	-363.59	-5006.09	-4984.25	6-chloroguanine	-66.4523	-5	guanineC74U	2XNW
50	6-chloroguanine	-322.767	-368.157	-370.688	-5044.51	-5030.64	6-chloroguanine	-65.8442	-5	guanineC74U	2XNW
51	6-chloroguanine	-320.036	-363.684	-364.39	-5031.5	-5013.29	6-chloroguanine	-65.5407	-5	guanineC74U	2XNW
