compoundId	compound	AnnapuRNA Score:RF_modern	AnnapuRNA Score:kNN_basic	AnnapuRNA Score:kNN_modern
1	19	-260.847	-283.057	-281.381
2	19	-260.516	-283.913	-281.459
3	19	-280.916	-297.987	-295.933
4	2,4,5,6-tetraaminopyrimidine	-327.442	-352.01	-360.136
5	2,4,5,6-tetraaminopyrimidine	-327.161	-348.691	-354.834
6	2,4,5,6-tetraaminopyrimidine	-321.58	-344.804	-350.118
7	2,4,6-triamino-1,3,5-triazine	-247.695	-261.794	-264.382
8	2,4,6-triamino-1,3,5-triazine	-232.867	-251.17	-256.39
9	2,4,6-triamino-1,3,5-triazine	-246.725	-261.739	-264.698
10	2,4,6-triaminopyrimidine	-291.698	-307.689	-311.513
11	2,4,6-triaminopyrimidine	-299.934	-318.092	-321.561
12	2,4,6-triaminopyrimidine	-291.735	-307.054	-311.87
13	2,4-diaminopyrimidine	-282.671	-301.157	-308.477
14	2,4-diaminopyrimidine	-285.371	-303.544	-308.52
15	2,4-diaminopyrimidine	-286.361	-303.979	-308.824
16	2,6-diaminopurine	-423.163	-459.522	-461.143
17	2,6-diaminopurine	-418.764	-459.09	-461.221
18	2,6-diaminopurine	-418.703	-456.568	-458.221
19	2-aminopurine	-439.299	-472.695	-476.892
20	2-aminopurine	-439.066	-472.482	-476.458
21	2-aminopurine	-441.679	-474.832	-477.895
22	2-fluoroadenine	-362.884	-403.181	-403.58
23	2-fluoroadenine	-355.377	-398.871	-400.515
24	2-fluoroadenine	-363.601	-403.05	-403.877
25	20	-288.956	-303.023	-307.427
26	20	-291.826	-305.201	-308.443
27	20	-292.027	-304.781	-308.226
28	21	-296.357	-313.415	-322.13
29	21	-297.095	-313.827	-322.663
30	21	-294.05	-311.955	-320.741
31	24	-351.539	-388.572	-387.397
32	24	-348.532	-386.11	-384.219
33	24	-350.518	-387.244	-386.08
34	25	-201.897	-211.599	-214.171
35	25	-202.6	-211.402	-214.0
36	25	-205.442	-211.214	-214.955
37	26	-238.22	-245.052	-258.354
38	26	-239.43	-246.728	-259.148
39	26	-239.748	-246.532	-259.504
40	27	-232.51	-249.667	-255.009
41	27	-229.584	-248.568	-253.291
42	27	-230.624	-249.631	-254.959
43	28	-97.279	-107.244	-110.141
44	28	-91.736	-103.15	-107.34
45	28	-99.284	-109.991	-112.514
46	6-bromoguanine	-397.533	-432.822	-434.466
47	6-bromoguanine	-398.222	-433.553	-435.135
48	6-bromoguanine	-399.397	-433.378	-435.606
49	6-chloroguanine	-319.768	-362.389	-363.59
50	6-chloroguanine	-322.767	-368.157	-370.688
51	6-chloroguanine	-320.036	-363.684	-364.39
52	6-methylaminopurine	-380.399	-405.02	-405.868
53	6-methylaminopurine	-381.318	-404.097	-406.015
54	6-methylaminopurine	-378.765	-403.778	-405.415
55	O6-methylguanine	-422.616	-445.521	-449.569
56	O6-methylguanine	-425.783	-447.65	-451.649
57	O6-methylguanine	-422.96	-445.665	-449.618
