compoundId	compound	AnnapuRNA Score:RF_modern	AnnapuRNA Score:kNN_basic	AnnapuRNA Score:kNN_modern	score:LigandRNA-basic	score:LigandRNA-modern	title	score:rDock-dock_solv	score:rf-score-vs	target	pdb
1	19	-268.029	-293.451	-295.191	-6658.87	-6534.31	19	-55.861	-6	guanineC74U	2XNZ
2	19	-268.011	-291.522	-294.281	-6667.44	-6545.45	19	-55.8067	-6	guanineC74U	2XNZ
3	19	-267.287	-292.005	-294.219	-6623.42	-6503.41	19	-55.5008	-6	guanineC74U	2XNZ
4	2,4,5,6-tetraaminopyrimidine	-337.439	-355.982	-364.419	-5421.07	-5384.16	2,4,5,6-tetraaminopyrimidine	-80.4475	-5	guanineC74U	2XNZ
5	2,4,5,6-tetraaminopyrimidine	-336.608	-362.486	-369.744	-5419.3	-5385.67	2,4,5,6-tetraaminopyrimidine	-79.6726	-5	guanineC74U	2XNZ
6	2,4,5,6-tetraaminopyrimidine	-339.969	-360.944	-369.744	-5371.76	-5341.42	2,4,5,6-tetraaminopyrimidine	-79.1974	-5	guanineC74U	2XNZ
7	2,4,6-triamino-1,3,5-triazine	-241.874	-256.025	-262.663	-6068.94	-6031.66	2,4,6-triamino-1,3,5-triazine	-73.1893	-5	guanineC74U	2XNZ
8	2,4,6-triamino-1,3,5-triazine	-240.941	-257.085	-261.371	-6094.85	-6054.77	2,4,6-triamino-1,3,5-triazine	-71.931	-5	guanineC74U	2XNZ
9	2,4,6-triamino-1,3,5-triazine	-240.4	-253.822	-261.199	-6093.69	-6056.74	2,4,6-triamino-1,3,5-triazine	-71.4435	-5	guanineC74U	2XNZ
10	2,4,6-triaminopyrimidine	-297.206	-315.119	-321.189	-6091.26	-6040.29	2,4,6-triaminopyrimidine	-75.9921	-5	guanineC74U	2XNZ
11	2,4,6-triaminopyrimidine	-298.723	-316.477	-321.956	-6091.26	-6040.29	2,4,6-triaminopyrimidine	-75.7261	-5	guanineC74U	2XNZ
12	2,4,6-triaminopyrimidine	-288.532	-304.76	-311.716	-6068.72	-6014.45	2,4,6-triaminopyrimidine	-75.5099	-5	guanineC74U	2XNZ
13	2,4-diaminopyrimidine	-280.631	-297.009	-304.985	-7041.18	-6960.07	2,4-diaminopyrimidine	-66.6352	-5	guanineC74U	2XNZ
14	2,4-diaminopyrimidine	-278.285	-295.821	-303.124	-7136.8	-7053.44	2,4-diaminopyrimidine	-66.2903	-5	guanineC74U	2XNZ
15	2,4-diaminopyrimidine	-278.27	-295.764	-303.514	-7057.14	-6975.95	2,4-diaminopyrimidine	-66.2451	-5	guanineC74U	2XNZ
16	2,6-diaminopurine	-409.434	-452.404	-455.472	-7168.71	-7071.98	2,6-diaminopurine	-80.5286	-5	guanineC74U	2XNZ
17	2,6-diaminopurine	-413.129	-454.465	-458.18	-7168.71	-7071.98	2,6-diaminopurine	-80.4988	-5	guanineC74U	2XNZ
18	2,6-diaminopurine	-412.499	-452.416	-455.829	-7168.71	-7071.98	2,6-diaminopurine	-80.465	-5	guanineC74U	2XNZ
19	2-aminopurine	-433.366	-467.726	-474.372	-8300.47	-8163.02	2-aminopurine	-75.2783	-5	guanineC74U	2XNZ
20	2-aminopurine	-430.977	-465.977	-473.5	-8311.05	-8175.27	2-aminopurine	-75.0336	-5	guanineC74U	2XNZ
21	2-aminopurine	-431.729	-466.292	-473.345	-8311.05	-8175.27	2-aminopurine	-74.9559	-5	guanineC74U	2XNZ
22	2-fluoroadenine	-369.327	-406.103	-408.133	-7718.33	-7589.12	2-fluoroadenine	-70.306	-5	guanineC74U	2XNZ
23	2-fluoroadenine	-370.383	-407.835	-409.0	-7753.92	-7620.81	2-fluoroadenine	-69.865	-5	guanineC74U	2XNZ
24	2-fluoroadenine	-375.343	-408.511	-409.768	-7713.75	-7584.73	2-fluoroadenine	-69.7473	-5	guanineC74U	2XNZ
25	20	-293.532	-306.474	-311.593	-6965.17	-6804.0	20	-51.5653	-6	guanineC74U	2XNZ
26	20	-293.731	-306.784	-312.195	-6965.17	-6804.0	20	-51.5256	-6	guanineC74U	2XNZ
27	20	-294.541	-307.673	-312.643	-7006.68	-6847.78	20	-51.5167	-6	guanineC74U	2XNZ
28	21	-312.278	-329.543	-337.55	-6239.58	-6072.04	21	-52.0102	-6	guanineC74U	2XNZ
29	21	-289.263	-308.439	-312.474	-6334.25	-6163.74	21	-51.8675	-6	guanineC74U	2XNZ
30	21	-288.261	-307.574	-311.55	-6334.25	-6163.74	21	-51.8644	-6	guanineC74U	2XNZ
31	24	-369.274	-398.479	-402.371	-7154.93	-7081.56	24	-71.2424	-5	guanineC74U	2XNZ
32	24	-359.028	-389.7	-391.078	-6967.04	-6892.64	24	-71.1138	-5	guanineC74U	2XNZ
33	24	-370.897	-400.276	-404.212	-7179.15	-7108.94	24	-71.0767	-5	guanineC74U	2XNZ
34	25	-201.187	-206.013	-211.757	-6617.13	-6554.7	25	-69.0049	-5	guanineC74U	2XNZ
35	25	-188.216	-202.17	-205.778	-6556.7	-6489.17	25	-68.8606	-5	guanineC74U	2XNZ
36	25	-202.186	-205.584	-212.878	-6713.41	-6653.41	25	-68.8574	-5	guanineC74U	2XNZ
37	26	-243.219	-246.06	-261.115	-6504.77	-6437.41	26	-67.5168	-5	guanineC74U	2XNZ
38	26	-241.237	-246.067	-259.971	-6523.55	-6454.54	26	-66.788	-5	guanineC74U	2XNZ
39	26	-243.607	-244.647	-261.285	-6578.15	-6511.4	26	-66.4385	-5	guanineC74U	2XNZ
40	27	-232.245	-243.229	-250.354	-7063.52	-6998.37	27	-65.9596	-5	guanineC74U	2XNZ
41	27	-233.977	-246.474	-252.756	-7059.0	-6994.8	27	-65.4439	-5	guanineC74U	2XNZ
42	27	-241.66	-253.149	-258.834	-7069.03	-7007.06	27	-65.1544	-5	guanineC74U	2XNZ
43	28	-66.648	-83.769	-91.338	-5857.79	-5808.17	28	-63.1228	-6	guanineC74U	2XNZ
44	28	-68.148	-85.147	-91.761	-5862.4	-5811.04	28	-63.1151	-6	guanineC74U	2XNZ
45	28	-76.392	-90.816	-96.509	-5854.22	-5805.01	28	-63.1141	-6	guanineC74U	2XNZ
46	6-bromoguanine	-388.684	-428.113	-432.035	-7695.04	-7571.64	6-bromoguanine	-79.3634	-5	guanineC74U	2XNZ
47	6-bromoguanine	-388.873	-427.584	-431.634	-7704.73	-7579.94	6-bromoguanine	-79.2812	-5	guanineC74U	2XNZ
48	6-bromoguanine	-387.833	-427.24	-431.33	-7657.29	-7533.41	6-bromoguanine	-78.913	-5	guanineC74U	2XNZ
49	6-chloroguanine	-236.256	-250.713	-257.694	-5160.68	-5172.61	6-chloroguanine	-62.0609	-5	guanineC74U	2XNZ
50	6-chloroguanine	-239.169	-251.124	-258.376	-5173.33	-5185.88	6-chloroguanine	-62.0093	-5	guanineC74U	2XNZ
51	6-chloroguanine	-240.664	-252.799	-260.423	-5173.33	-5185.88	6-chloroguanine	-62.0059	-5	guanineC74U	2XNZ
52	6-methylaminopurine	-376.027	-403.532	-406.426	-8149.17	-7999.75	6-methylaminopurine	-71.7128	-5	guanineC74U	2XNZ
53	6-methylaminopurine	-375.113	-401.818	-405.422	-8110.94	-7962.59	6-methylaminopurine	-71.6962	-5	guanineC74U	2XNZ
54	6-methylaminopurine	-375.886	-402.573	-405.953	-8105.61	-7957.99	6-methylaminopurine	-71.6334	-5	guanineC74U	2XNZ
55	O6-methylguanine	-420.369	-448.433	-454.036	-7314.85	-7171.35	O6-methylguanine	-76.1981	-5	guanineC74U	2XNZ
56	O6-methylguanine	-420.511	-447.806	-453.914	-7314.85	-7171.35	O6-methylguanine	-74.0493	-5	guanineC74U	2XNZ
57	O6-methylguanine	-414.368	-443.627	-450.216	-7271.53	-7128.77	O6-methylguanine	-73.9637	-5	guanineC74U	2XNZ
58	P04526248	-237.215	-258.088	-252.122	727.5	735.81	P04526248	-49.1583	-5	guanineC74U	2XNZ
59	P04526248	-275.34	-285.258	-286.126	422.53	462.72	P04526248	-49.0897	-5	guanineC74U	2XNZ
60	P04526248	-389.702	-400.133	-395.425	273.88	393.88	P04526248	-46.9772	-5	guanineC74U	2XNZ
61	P05147970	-437.269	-453.791	-463.523	114.87	246.4	P05147970	-55.858	-6	guanineC74U	2XNZ
62	P05147970	-439.17	-455.264	-462.734	49.55	177.22	P05147970	-55.0432	-6	guanineC74U	2XNZ
63	P05147970	-434.253	-449.042	-457.494	96.37	226.19	P05147970	-54.9436	-6	guanineC74U	2XNZ
64	P05147973	-428.131	-443.0	-446.445	-12.59	94.51	P05147973	-57.9951	-6	guanineC74U	2XNZ
65	P05147973	-429.274	-443.958	-446.322	-9.54	103.89	P05147973	-57.7353	-6	guanineC74U	2XNZ
66	P05147973	-425.103	-441.776	-443.27	-12.59	94.51	P05147973	-54.9824	-6	guanineC74U	2XNZ
67	P05160873	-287.237	-284.336	-298.4	827.78	867.8	P05160873	-46.5017	-5	guanineC74U	2XNZ
68	P05160873	-376.237	-374.018	-374.327	272.09	425.88	P05160873	-42.4407	-5	guanineC74U	2XNZ
69	P05160873	-372.617	-370.538	-370.97	272.09	425.88	P05160873	-42.416	-5	guanineC74U	2XNZ
70	P05622710	-321.786	-324.018	-330.203	-1298.11	-1265.97	P05622710	-54.776	-6	guanineC74U	2XNZ
71	P05622710	-323.002	-324.709	-330.53	-1338.21	-1308.29	P05622710	-54.6541	-6	guanineC74U	2XNZ
72	P05622710	-290.063	-299.228	-303.863	-918.98	-895.37	P05622710	-54.5713	-5	guanineC74U	2XNZ
73	P05730549	-309.936	-324.528	-329.669	313.68	461.93	P05730549	-57.4768	-5	guanineC74U	2XNZ
74	P05730549	-298.554	-315.627	-319.816	22.77	174.57	P05730549	-57.3852	-5	guanineC74U	2XNZ
75	P05730549	-311.283	-325.353	-328.795	325.95	475.89	P05730549	-56.8512	-5	guanineC74U	2XNZ
