compoundId	compound	AnnapuRNA Score:RF_modern	AnnapuRNA Score:kNN_basic	AnnapuRNA Score:kNN_modern
1	19	-268.029	-293.451	-295.191
2	19	-268.011	-291.522	-294.281
3	19	-267.287	-292.005	-294.219
4	2,4,5,6-tetraaminopyrimidine	-337.439	-355.982	-364.419
5	2,4,5,6-tetraaminopyrimidine	-336.608	-362.486	-369.744
6	2,4,5,6-tetraaminopyrimidine	-339.969	-360.944	-369.744
7	2,4,6-triamino-1,3,5-triazine	-241.874	-256.025	-262.663
8	2,4,6-triamino-1,3,5-triazine	-240.941	-257.085	-261.371
9	2,4,6-triamino-1,3,5-triazine	-240.4	-253.822	-261.199
10	2,4,6-triaminopyrimidine	-297.206	-315.119	-321.189
11	2,4,6-triaminopyrimidine	-298.723	-316.477	-321.956
12	2,4,6-triaminopyrimidine	-288.532	-304.76	-311.716
13	2,4-diaminopyrimidine	-280.631	-297.009	-304.985
14	2,4-diaminopyrimidine	-278.285	-295.821	-303.124
15	2,4-diaminopyrimidine	-278.27	-295.764	-303.514
16	2,6-diaminopurine	-409.434	-452.404	-455.472
17	2,6-diaminopurine	-413.129	-454.465	-458.18
18	2,6-diaminopurine	-412.499	-452.416	-455.829
19	2-aminopurine	-433.366	-467.726	-474.372
20	2-aminopurine	-430.977	-465.977	-473.5
21	2-aminopurine	-431.729	-466.292	-473.345
22	2-fluoroadenine	-369.327	-406.103	-408.133
23	2-fluoroadenine	-370.383	-407.835	-409.0
24	2-fluoroadenine	-375.343	-408.511	-409.768
25	20	-293.532	-306.474	-311.593
26	20	-293.731	-306.784	-312.195
27	20	-294.541	-307.673	-312.643
28	21	-312.278	-329.543	-337.55
29	21	-289.263	-308.439	-312.474
30	21	-288.261	-307.574	-311.55
31	24	-369.274	-398.479	-402.371
32	24	-359.028	-389.7	-391.078
33	24	-370.897	-400.276	-404.212
34	25	-201.187	-206.013	-211.757
35	25	-188.216	-202.17	-205.778
36	25	-202.186	-205.584	-212.878
37	26	-243.219	-246.06	-261.115
38	26	-241.237	-246.067	-259.971
39	26	-243.607	-244.647	-261.285
40	27	-232.245	-243.229	-250.354
41	27	-233.977	-246.474	-252.756
42	27	-241.66	-253.149	-258.834
43	28	-66.648	-83.769	-91.338
44	28	-68.148	-85.147	-91.761
45	28	-76.392	-90.816	-96.509
46	6-bromoguanine	-388.684	-428.113	-432.035
47	6-bromoguanine	-388.873	-427.584	-431.634
48	6-bromoguanine	-387.833	-427.24	-431.33
49	6-chloroguanine	-236.256	-250.713	-257.694
50	6-chloroguanine	-239.169	-251.124	-258.376
51	6-chloroguanine	-240.664	-252.799	-260.423
52	6-methylaminopurine	-376.027	-403.532	-406.426
53	6-methylaminopurine	-375.113	-401.818	-405.422
54	6-methylaminopurine	-375.886	-402.573	-405.953
55	O6-methylguanine	-420.369	-448.433	-454.036
56	O6-methylguanine	-420.511	-447.806	-453.914
57	O6-methylguanine	-414.368	-443.627	-450.216
58	P04526248	-237.215	-258.088	-252.122
59	P04526248	-275.34	-285.258	-286.126
60	P04526248	-389.702	-400.133	-395.425
61	P05147970	-437.269	-453.791	-463.523
62	P05147970	-439.17	-455.264	-462.734
63	P05147970	-434.253	-449.042	-457.494
64	P05147973	-428.131	-443.0	-446.445
65	P05147973	-429.274	-443.958	-446.322
66	P05147973	-425.103	-441.776	-443.27
67	P05160873	-287.237	-284.336	-298.4
68	P05160873	-376.237	-374.018	-374.327
69	P05160873	-372.617	-370.538	-370.97
70	P05622710	-321.786	-324.018	-330.203
71	P05622710	-323.002	-324.709	-330.53
72	P05622710	-290.063	-299.228	-303.863
73	P05730549	-309.936	-324.528	-329.669
74	P05730549	-298.554	-315.627	-319.816
75	P05730549	-311.283	-325.353	-328.795
76	P06003582	-223.554	-246.287	-244.867
77	P06003582	-223.637	-245.834	-244.139
78	P06003582	-223.461	-246.928	-244.763
79	P06162918	-283.189	-301.519	-299.724
80	P06162918	-284.514	-302.478	-301.928
81	P06162918	-327.861	-328.742	-336.482
82	P06162920	-288.927	-297.729	-299.503
83	P06162920	-291.031	-296.749	-299.208
84	P06162920	-326.84	-330.781	-344.538
85	P06379833	-182.459	-187.822	-192.38
86	P06379833	-182.144	-186.562	-192.736
87	P06379833	-182.761	-187.849	-192.93
88	P06708473	-199.112	-209.179	-211.322
89	P06708473	-211.294	-221.687	-226.408
90	P06708473	-175.529	-179.977	-184.046
91	P06864458	-144.691	-142.911	-146.571
92	P06864458	-140.851	-141.187	-145.425
93	P06864458	-141.853	-142.209	-146.342
94	P06873249	-141.058	-141.886	-145.426
95	P06873249	-140.228	-141.77	-145.683
96	P06873249	-141.534	-142.517	-145.692
97	P06940431	-225.741	-234.771	-231.192
98	P06940431	-175.595	-176.961	-182.117
99	P06940431	-220.751	-228.886	-227.561
100	P07267247	-248.332	-258.459	-258.691
101	P07267247	-250.885	-255.837	-259.223
102	P07267247	-185.47	-185.606	-190.914
103	P07275946	-168.488	-166.834	-166.201
104	P07275946	-343.986	-357.405	-364.779
105	P07275946	-176.906	-171.51	-171.214
106	P07321143	-221.056	-225.921	-225.703
107	P07321143	-159.512	-164.442	-161.731
108	P07321143	-264.068	-282.73	-286.974
109	P07499278	-302.121	-330.258	-331.76
110	P07499278	-302.475	-330.181	-331.754
111	P07499278	-287.954	-317.844	-321.838
112	P07509428	-356.301	-364.931	-362.368
113	P07509428	-349.588	-360.478	-362.545
114	P07509428	-316.017	-314.825	-319.423
115	P07587534	-296.194	-309.173	-314.49
116	P07587534	-292.884	-309.94	-315.056
117	P07587534	-297.563	-308.805	-314.91
118	P07587628	-179.704	-178.181	-181.634
119	P07587628	-180.703	-177.831	-183.368
120	P07587628	-174.492	-171.171	-176.798
121	P08236010	-387.764	-412.56	-415.315
122	P08236010	-387.72	-408.865	-413.845
123	P08236010	-241.058	-245.49	-246.334
124	P08281619	-265.296	-272.272	-272.656
125	P08281619	-257.902	-258.998	-258.539
126	P08281619	-256.709	-254.198	-257.957
127	P08502090	-381.29	-410.767	-411.156
128	P08502090	-428.25	-463.02	-465.575
129	P08502090	-428.467	-459.437	-461.64
130	P08504266	-164.695	-177.145	-176.014
131	P08504266	-164.454	-177.754	-174.302
132	P08504266	-165.401	-178.612	-175.508
133	P08509442	-208.142	-216.598	-219.731
134	P08509442	-239.61	-231.596	-238.859
135	P08509442	-258.675	-267.77	-269.321
136	P08543123	-276.914	-283.451	-293.565
137	P08543123	-172.691	-168.619	-170.538
138	P08543123	-161.091	-161.121	-163.738
139	P08565280	-285.743	-300.124	-306.521
140	P08565280	-288.49	-301.416	-309.08
141	P08565280	-284.556	-297.834	-303.607
