compoundId	compound	AnnapuRNA Score:RF_modern	AnnapuRNA Score:kNN_basic	AnnapuRNA Score:kNN_modern	score:LigandRNA-basic	score:LigandRNA-modern	title	score:rDock-dock_solv	score:rf-score-vs	target	pdb
1	19	-283.154	-301.021	-297.098	-6739.27	-6614.33	19	-54.3027	-6	guanineC74U	2XO1
2	19	-282.73	-299.595	-296.125	-6869.23	-6742.18	19	-54.2611	-6	guanineC74U	2XO1
3	19	-238.639	-256.106	-259.524	-7305.82	-7192.3	19	-54.1869	-5	guanineC74U	2XO1
4	2,4,5,6-tetraaminopyrimidine	-325.552	-350.137	-357.33	-5493.36	-5455.05	2,4,5,6-tetraaminopyrimidine	-77.2477	-5	guanineC74U	2XO1
5	2,4,5,6-tetraaminopyrimidine	-324.851	-349.752	-356.587	-5500.79	-5462.38	2,4,5,6-tetraaminopyrimidine	-75.2966	-5	guanineC74U	2XO1
6	2,4,5,6-tetraaminopyrimidine	-327.501	-349.629	-355.524	-5539.84	-5502.26	2,4,5,6-tetraaminopyrimidine	-75.0808	-5	guanineC74U	2XO1
7	2,4,6-triamino-1,3,5-triazine	-236.3	-255.463	-257.143	-6039.97	-6001.23	2,4,6-triamino-1,3,5-triazine	-68.3933	-5	guanineC74U	2XO1
8	2,4,6-triamino-1,3,5-triazine	-224.628	-242.775	-247.312	-6249.63	-6207.83	2,4,6-triamino-1,3,5-triazine	-67.7054	-5	guanineC74U	2XO1
9	2,4,6-triamino-1,3,5-triazine	-236.426	-257.847	-260.006	-6039.97	-6001.23	2,4,6-triamino-1,3,5-triazine	-67.647	-5	guanineC74U	2XO1
10	2,4,6-triaminopyrimidine	-281.016	-311.102	-314.297	-6135.7	-6078.33	2,4,6-triaminopyrimidine	-71.0419	-5	guanineC74U	2XO1
11	2,4,6-triaminopyrimidine	-293.524	-309.836	-315.423	-6170.43	-6116.34	2,4,6-triaminopyrimidine	-70.9673	-5	guanineC74U	2XO1
12	2,4,6-triaminopyrimidine	-280.082	-304.738	-309.171	-6103.65	-6044.91	2,4,6-triaminopyrimidine	-70.4935	-5	guanineC74U	2XO1
13	2,4-diaminopyrimidine	-280.993	-303.263	-311.951	-7267.78	-7184.05	2,4-diaminopyrimidine	-64.1634	-5	guanineC74U	2XO1
14	2,4-diaminopyrimidine	-282.316	-303.854	-312.731	-7141.87	-7058.8	2,4-diaminopyrimidine	-64.0404	-5	guanineC74U	2XO1
15	2,4-diaminopyrimidine	-276.3	-300.521	-309.963	-7170.09	-7085.02	2,4-diaminopyrimidine	-63.7246	-5	guanineC74U	2XO1
16	2,6-diaminopurine	-418.767	-457.955	-459.104	-7181.59	-7075.53	2,6-diaminopurine	-79.2292	-5	guanineC74U	2XO1
17	2,6-diaminopurine	-417.182	-458.144	-459.242	-7165.79	-7059.49	2,6-diaminopurine	-78.8979	-5	guanineC74U	2XO1
18	2,6-diaminopurine	-416.263	-459.101	-459.755	-7105.03	-6999.72	2,6-diaminopurine	-78.8375	-5	guanineC74U	2XO1
19	2-aminopurine	-438.213	-469.251	-472.284	-8348.33	-8203.59	2-aminopurine	-73.7117	-5	guanineC74U	2XO1
20	2-aminopurine	-439.08	-470.687	-474.416	-8348.33	-8203.59	2-aminopurine	-73.6567	-5	guanineC74U	2XO1
21	2-aminopurine	-438.431	-470.165	-473.823	-8348.33	-8203.59	2-aminopurine	-73.6551	-5	guanineC74U	2XO1
22	2-fluoroadenine	-375.037	-409.254	-410.266	-7704.78	-7564.77	2-fluoroadenine	-69.4562	-5	guanineC74U	2XO1
23	2-fluoroadenine	-375.383	-408.266	-408.542	-7647.24	-7507.46	2-fluoroadenine	-69.4104	-5	guanineC74U	2XO1
24	2-fluoroadenine	-376.033	-409.317	-409.654	-7651.13	-7512.93	2-fluoroadenine	-69.3428	-5	guanineC74U	2XO1
25	20	-291.228	-304.101	-308.585	-6871.97	-6692.34	20	-53.233	-6	guanineC74U	2XO1
26	20	-295.281	-307.974	-311.727	-6930.53	-6748.45	20	-52.2269	-6	guanineC74U	2XO1
27	20	-293.925	-306.824	-311.007	-6869.87	-6689.02	20	-52.1974	-6	guanineC74U	2XO1
28	21	-289.326	-303.927	-312.937	-6436.91	-6271.61	21	-46.788	-6	guanineC74U	2XO1
29	21	-295.949	-314.598	-321.901	-6138.86	-5962.57	21	-46.7387	-6	guanineC74U	2XO1
30	21	-296.399	-314.275	-322.086	-6117.86	-5942.93	21	-46.7341	-6	guanineC74U	2XO1
31	24	-360.093	-390.864	-392.501	-6948.06	-6875.46	24	-71.5811	-5	guanineC74U	2XO1
32	24	-361.896	-392.869	-394.73	-6916.57	-6844.6	24	-71.5558	-5	guanineC74U	2XO1
33	24	-346.565	-382.318	-379.666	-6923.44	-6849.69	24	-71.1965	-5	guanineC74U	2XO1
34	25	-198.326	-210.773	-213.171	-6714.37	-6653.12	25	-65.9737	-5	guanineC74U	2XO1
35	25	-194.852	-211.568	-213.71	-6739.45	-6676.19	25	-65.8899	-5	guanineC74U	2XO1
36	25	-176.523	-190.346	-194.881	-6900.72	-6835.6	25	-65.7244	-5	guanineC74U	2XO1
37	26	-236.209	-248.973	-260.539	-6537.36	-6466.04	26	-65.5594	-5	guanineC74U	2XO1
38	26	-217.186	-227.448	-240.824	-6757.32	-6682.76	26	-64.9807	-5	guanineC74U	2XO1
39	26	-237.416	-247.67	-259.82	-6571.44	-6500.79	26	-64.9058	-5	guanineC74U	2XO1
40	27	-236.941	-254.748	-260.08	-7047.93	-6984.31	27	-62.2821	-5	guanineC74U	2XO1
41	27	-239.881	-258.51	-263.683	-7077.74	-7011.72	27	-62.0657	-5	guanineC74U	2XO1
42	27	-239.328	-254.071	-258.838	-7031.11	-6966.73	27	-62.0114	-5	guanineC74U	2XO1
43	28	-98.007	-108.506	-111.904	-6223.91	-6153.8	28	-61.4319	-6	guanineC74U	2XO1
44	28	-96.615	-107.923	-111.052	-6218.43	-6148.43	28	-61.3079	-6	guanineC74U	2XO1
45	28	-92.906	-106.586	-109.3	-6220.02	-6150.0	28	-60.8486	-6	guanineC74U	2XO1
46	6-bromoguanine	-396.218	-429.962	-431.478	-7805.22	-7669.22	6-bromoguanine	-77.4532	-5	guanineC74U	2XO1
47	6-bromoguanine	-394.228	-428.401	-429.01	-7706.93	-7575.92	6-bromoguanine	-77.3056	-5	guanineC74U	2XO1
48	6-bromoguanine	-394.794	-430.161	-430.131	-7736.49	-7604.79	6-bromoguanine	-77.2724	-5	guanineC74U	2XO1
49	6-chloroguanine	-319.058	-363.873	-364.84	-5041.09	-5019.06	6-chloroguanine	-69.6237	-5	guanineC74U	2XO1
50	6-chloroguanine	-318.351	-362.672	-363.246	-5125.28	-5103.72	6-chloroguanine	-69.3157	-5	guanineC74U	2XO1
51	6-chloroguanine	-319.245	-365.005	-365.176	-5011.47	-4985.94	6-chloroguanine	-69.3016	-5	guanineC74U	2XO1
52	6-methylaminopurine	-382.045	-404.74	-404.67	-7840.5	-7690.01	6-methylaminopurine	-71.5314	-5	guanineC74U	2XO1
53	6-methylaminopurine	-380.393	-401.593	-402.329	-7871.2	-7719.0	6-methylaminopurine	-71.5035	-5	guanineC74U	2XO1
54	6-methylaminopurine	-382.474	-404.418	-404.167	-7826.89	-7676.29	6-methylaminopurine	-71.4988	-5	guanineC74U	2XO1
55	O6-methylguanine	-417.803	-446.483	-450.696	-7177.79	-7026.33	O6-methylguanine	-75.7532	-5	guanineC74U	2XO1
56	O6-methylguanine	-413.376	-440.316	-445.576	-7149.02	-7002.88	O6-methylguanine	-75.6521	-5	guanineC74U	2XO1
