compoundId	compound	AnnapuRNA Score:RF_modern	AnnapuRNA Score:kNN_basic	AnnapuRNA Score:kNN_modern
1	19	-283.154	-301.021	-297.098
2	19	-282.73	-299.595	-296.125
3	19	-238.639	-256.106	-259.524
4	2,4,5,6-tetraaminopyrimidine	-325.552	-350.137	-357.33
5	2,4,5,6-tetraaminopyrimidine	-324.851	-349.752	-356.587
6	2,4,5,6-tetraaminopyrimidine	-327.501	-349.629	-355.524
7	2,4,6-triamino-1,3,5-triazine	-236.3	-255.463	-257.143
8	2,4,6-triamino-1,3,5-triazine	-224.628	-242.775	-247.312
9	2,4,6-triamino-1,3,5-triazine	-236.426	-257.847	-260.006
10	2,4,6-triaminopyrimidine	-281.016	-311.102	-314.297
11	2,4,6-triaminopyrimidine	-293.524	-309.836	-315.423
12	2,4,6-triaminopyrimidine	-280.082	-304.738	-309.171
13	2,4-diaminopyrimidine	-280.993	-303.263	-311.951
14	2,4-diaminopyrimidine	-282.316	-303.854	-312.731
15	2,4-diaminopyrimidine	-276.3	-300.521	-309.963
16	2,6-diaminopurine	-418.767	-457.955	-459.104
17	2,6-diaminopurine	-417.182	-458.144	-459.242
18	2,6-diaminopurine	-416.263	-459.101	-459.755
19	2-aminopurine	-438.213	-469.251	-472.284
20	2-aminopurine	-439.08	-470.687	-474.416
21	2-aminopurine	-438.431	-470.165	-473.823
22	2-fluoroadenine	-375.037	-409.254	-410.266
23	2-fluoroadenine	-375.383	-408.266	-408.542
24	2-fluoroadenine	-376.033	-409.317	-409.654
25	20	-291.228	-304.101	-308.585
26	20	-295.281	-307.974	-311.727
27	20	-293.925	-306.824	-311.007
28	21	-289.326	-303.927	-312.937
29	21	-295.949	-314.598	-321.901
30	21	-296.399	-314.275	-322.086
31	24	-360.093	-390.864	-392.501
32	24	-361.896	-392.869	-394.73
33	24	-346.565	-382.318	-379.666
34	25	-198.326	-210.773	-213.171
35	25	-194.852	-211.568	-213.71
36	25	-176.523	-190.346	-194.881
37	26	-236.209	-248.973	-260.539
38	26	-217.186	-227.448	-240.824
39	26	-237.416	-247.67	-259.82
40	27	-236.941	-254.748	-260.08
41	27	-239.881	-258.51	-263.683
42	27	-239.328	-254.071	-258.838
43	28	-98.007	-108.506	-111.904
44	28	-96.615	-107.923	-111.052
45	28	-92.906	-106.586	-109.3
46	6-bromoguanine	-396.218	-429.962	-431.478
47	6-bromoguanine	-394.228	-428.401	-429.01
48	6-bromoguanine	-394.794	-430.161	-430.131
49	6-chloroguanine	-319.058	-363.873	-364.84
50	6-chloroguanine	-318.351	-362.672	-363.246
51	6-chloroguanine	-319.245	-365.005	-365.176
52	6-methylaminopurine	-382.045	-404.74	-404.67
53	6-methylaminopurine	-380.393	-401.593	-402.329
54	6-methylaminopurine	-382.474	-404.418	-404.167
55	O6-methylguanine	-417.803	-446.483	-450.696
56	O6-methylguanine	-413.376	-440.316	-445.576
57	O6-methylguanine	-414.997	-440.395	-445.999
58	P04526248	-366.746	-376.952	-377.43
59	P04526248	-374.338	-383.946	-382.048
60	P04526248	-366.945	-379.271	-378.721
61	P05147970	-423.253	-443.613	-446.939
62	P05147970	-392.901	-408.732	-415.974
63	P05147970	-440.985	-461.753	-464.071
64	P05147973	-441.34	-457.832	-464.113
65	P05147973	-450.266	-487.152	-482.688
66	P05147973	-450.676	-487.996	-482.783
67	P05160873	-388.188	-382.594	-384.624
68	P05160873	-388.507	-389.395	-389.499
69	P05160873	-382.623	-379.643	-384.657
70	P05622710	-297.373	-309.195	-312.584
71	P05622710	-291.318	-306.618	-308.734
72	P05622710	-280.87	-291.461	-293.715
73	P05730549	-304.417	-316.837	-319.975
74	P05730549	-295.669	-306.072	-311.419
75	P05730549	-296.378	-305.593	-311.456
76	P06003582	-208.08	-224.66	-229.413
77	P06003582	-207.4	-225.522	-229.229
78	P06003582	-208.833	-223.307	-229.999
79	P06162918	-338.85	-344.155	-346.441
80	P06162918	-331.116	-334.538	-337.961
81	P06162918	-334.074	-337.431	-340.093
82	P06162920	-328.606	-329.643	-338.39
83	P06162920	-325.714	-323.734	-334.961
84	P06162920	-328.088	-329.423	-338.915
85	P06379833	-183.75	-187.005	-193.688
86	P06379833	-180.983	-183.221	-190.389
87	P06379833	-187.268	-186.352	-192.433
88	P06708473	-185.43	-191.55	-192.564
89	P06708473	-177.351	-178.145	-179.187
90	P06708473	-180.169	-186.6	-191.453
91	P06864458	-143.54	-143.12	-146.005
92	P06864458	-147.268	-145.628	-149.787
93	P06864458	-176.511	-175.107	-183.244
94	P06873249	-139.367	-141.391	-145.981
95	P06873249	-96.195	-96.714	-98.529
96	P06873249	-148.827	-152.584	-157.414
97	P06940431	-207.574	-212.4	-211.916
98	P06940431	-206.653	-212.371	-211.729
99	P06940431	-210.715	-214.603	-213.119
100	P07267247	-183.46	-181.857	-186.795
101	P07267247	-269.662	-287.936	-288.959
102	P07267247	-248.075	-252.874	-254.008
103	P07275946	-370.343	-399.319	-404.094
104	P07275946	-370.512	-401.008	-405.342
105	P07275946	-328.152	-341.786	-346.69
106	P07321143	-260.822	-269.782	-274.796
107	P07321143	-259.649	-272.636	-278.412
108	P07321143	-262.442	-274.826	-281.312
109	P07499278	-294.226	-319.572	-316.708
110	P07499278	-296.263	-321.014	-318.213
111	P07499278	-295.631	-319.988	-318.799
112	P07509428	-355.63	-369.642	-369.522
113	P07509428	-357.939	-372.772	-372.897
114	P07509428	-348.484	-362.805	-359.72
115	P07587534	-298.267	-314.761	-319.303
116	P07587534	-298.096	-315.436	-319.617
117	P07587534	-297.628	-314.319	-318.783
118	P07587628	-175.503	-171.608	-176.613
119	P07587628	-174.54	-172.107	-176.159
120	P07587628	-174.466	-172.427	-176.516
121	P08236010	-404.705	-433.815	-436.114
122	P08236010	-404.251	-437.719	-435.823
123	P08236010	-404.408	-437.265	-434.916
124	P08281619	-273.532	-284.368	-284.519
125	P08281619	-189.122	-191.836	-191.58
126	P08281619	-188.067	-190.299	-191.379
127	P08502090	-419.382	-458.785	-461.754
128	P08502090	-418.495	-458.98	-460.916
129	P08502090	-417.501	-457.234	-459.534
130	P08504266	-172.519	-192.515	-195.663
131	P08504266	-175.321	-193.988	-197.033
132	P08504266	-167.297	-179.322	-177.714
133	P08509442	-233.063	-230.154	-238.769
134	P08509442	-239.219	-234.774	-244.229
135	P08509442	-231.253	-228.943	-240.971
136	P08543123	-255.144	-268.284	-270.663
137	P08543123	-268.989	-279.191	-281.863
138	P08543123	-252.25	-264.199	-266.93
139	P08565280	-290.978	-299.722	-305.411
140	P08565280	-291.993	-300.985	-306.726
141	P08565280	-287.726	-298.067	-301.532
142	P08648168	-360.674	-393.45	-397.703
143	P08648168	-381.477	-395.828	-399.04
144	P08648168	-357.155	-389.681	-395.977
145	P08736860	-81.374	-82.95	-83.888
146	P08736860	-80.73	-83.15	-83.37
147	P08736860	-82.365	-83.935	-83.619
148	P08806353	-135.966	-138.48	-140.358
149	P08806353	-217.406	-232.128	-238.644
150	P08806353	-205.968	-214.784	-219.396
151	P08807601	-184.065	-190.784	-193.611
152	P08807601	-185.621	-191.977	-192.931
153	P08807601	-132.232	-132.397	-132.919
