compoundId	compound	AnnapuRNA Score:RF_modern	AnnapuRNA Score:kNN_basic	AnnapuRNA Score:kNN_modern	score:LigandRNA-basic	score:LigandRNA-modern	title	score:rDock-dock_solv	score:rf-score-vs	target	pdb
1	14b	-115.852	-127.3	-134.76	-895.17	-868.11	14b	-21.1397	-6	hiv	1UTS
2	14b	-125.96	-145.265	-143.632	-684.82	-678.09	14b	-20.7792	-6	hiv	1UTS
3	14b	-108.317	-120.578	-129.009	-503.36	-500.43	14b	-17.8758	-6	hiv	1UTS
4	6b	-223.871	-225.611	-231.864	-1776.38	-1699.18	6b	-35.4601	-6	hiv	1UTS
5	6b	-227.039	-229.185	-235.448	-1767.13	-1691.54	6b	-33.1282	-6	hiv	1UTS
6	6b	-218.619	-223.451	-225.782	-1986.35	-1913.84	6b	-28.1189	-6	hiv	1UTS
7	9d	-225.328	-234.339	-235.939	-909.14	-861.34	9d	-27.9783	-6	hiv	1UTS
8	9d	-217.266	-220.607	-224.116	-1036.33	-992.96	9d	-27.5264	-6	hiv	1UTS
9	9d	-199.252	-200.746	-208.664	-1486.5	-1439.1	9d	-27.2524	-6	hiv	1UTS
10	Amiloride_19	-139.597	-148.814	-144.017	-1519.38	-1507.91	Amiloride_19	-34.1599	-6	hiv	1UTS
11	Amiloride_19	-146.533	-152.957	-159.401	-1784.83	-1784.09	Amiloride_19	-34.0495	-6	hiv	1UTS
12	Amiloride_19	-141.459	-151.321	-146.726	-1543.99	-1532.55	Amiloride_19	-33.4928	-6	hiv	1UTS
13	Amiloride_20	-110.457	-111.703	-112.732	-1889.93	-1902.17	Amiloride_20	-41.009	-5	hiv	1UTS
14	Amiloride_20	-129.216	-139.793	-140.418	-2132.5	-2139.38	Amiloride_20	-38.7134	-5	hiv	1UTS
15	Amiloride_20	-111.645	-112.344	-113.706	-1984.23	-1992.04	Amiloride_20	-38.4989	-5	hiv	1UTS
16	Amiloride_22d	-168.383	-179.812	-185.717	-2311.44	-2292.17	Amiloride_22d	-29.9954	-6	hiv	1UTS
17	Amiloride_22d	-169.299	-181.058	-187.488	-2303.94	-2286.04	Amiloride_22d	-28.038	-6	hiv	1UTS
18	Amiloride_22d	-162.388	-165.407	-174.174	-2097.26	-2071.04	Amiloride_22d	-27.5563	-6	hiv	1UTS
19	Amiloride_24	-166.454	-181.448	-192.037	-1979.51	-1959.26	Amiloride_24	-36.4569	-6	hiv	1UTS
20	Amiloride_24	-157.887	-171.847	-185.024	-1946.42	-1923.57	Amiloride_24	-34.5255	-6	hiv	1UTS
21	Amiloride_24	-188.215	-198.998	-199.533	-1855.27	-1836.9	Amiloride_24	-33.5699	-6	hiv	1UTS
22	Amiloride_4d	-129.013	-137.682	-138.514	-1821.7	-1811.16	Amiloride_4d	-34.186	-6	hiv	1UTS
23	Amiloride_4d	-164.766	-174.135	-178.106	-1654.93	-1626.15	Amiloride_4d	-32.4221	-6	hiv	1UTS
24	Amiloride_4d	-128.51	-142.351	-142.938	-1483.97	-1486.18	Amiloride_4d	-31.9039	-6	hiv	1UTS
25	Amiloride_4g	-134.488	-148.061	-143.77	-1190.87	-1205.69	Amiloride_4g	-35.4189	-6	hiv	1UTS
26	Amiloride_4g	-120.704	-120.327	-129.599	-1154.86	-1148.23	Amiloride_4g	-34.9094	-6	hiv	1UTS
27	Amiloride_4g	-136.435	-144.75	-148.454	-1486.16	-1486.85	Amiloride_4g	-34.338	-6	hiv	1UTS
28	Amiloride_4h	-140.61	-151.625	-154.374	-1651.14	-1636.18	Amiloride_4h	-29.2328	-5	hiv	1UTS
29	Amiloride_4h	-168.786	-176.56	-175.635	-1462.9	-1455.58	Amiloride_4h	-28.1967	-5	hiv	1UTS
30	Amiloride_4h	-166.162	-176.872	-177.685	-1152.61	-1157.64	Amiloride_4h	-26.9296	-5	hiv	1UTS
31	Amiloride_4k	-158.837	-174.742	-173.908	-1904.91	-1875.11	Amiloride_4k	-29.8079	-6	hiv	1UTS
32	Amiloride_4k	-150.77	-161.242	-156.735	-1873.72	-1843.54	Amiloride_4k	-29.5412	-6	hiv	1UTS
33	Amiloride_4k	-150.619	-158.639	-160.939	-2037.43	-2028.82	Amiloride_4k	-29.1384	-5	hiv	1UTS
34	Amiloride_4l	-154.879	-165.42	-164.525	-1589.66	-1551.7	Amiloride_4l	-44.1796	-6	hiv	1UTS
35	Amiloride_4l	-168.119	-178.941	-182.369	-1537.6	-1490.32	Amiloride_4l	-40.5211	-6	hiv	1UTS
