compoundId	compound	AnnapuRNA Score:RF_modern	AnnapuRNA Score:kNN_basic	AnnapuRNA Score:kNN_modern
1	14b	-115.852	-127.3	-134.76
2	14b	-125.96	-145.265	-143.632
3	14b	-108.317	-120.578	-129.009
4	6b	-223.871	-225.611	-231.864
5	6b	-227.039	-229.185	-235.448
6	6b	-218.619	-223.451	-225.782
7	9d	-225.328	-234.339	-235.939
8	9d	-217.266	-220.607	-224.116
9	9d	-199.252	-200.746	-208.664
10	Amiloride_19	-139.597	-148.814	-144.017
11	Amiloride_19	-146.533	-152.957	-159.401
12	Amiloride_19	-141.459	-151.321	-146.726
13	Amiloride_20	-110.457	-111.703	-112.732
14	Amiloride_20	-129.216	-139.793	-140.418
15	Amiloride_20	-111.645	-112.344	-113.706
16	Amiloride_22d	-168.383	-179.812	-185.717
17	Amiloride_22d	-169.299	-181.058	-187.488
18	Amiloride_22d	-162.388	-165.407	-174.174
19	Amiloride_24	-166.454	-181.448	-192.037
20	Amiloride_24	-157.887	-171.847	-185.024
21	Amiloride_24	-188.215	-198.998	-199.533
22	Amiloride_4d	-129.013	-137.682	-138.514
23	Amiloride_4d	-164.766	-174.135	-178.106
24	Amiloride_4d	-128.51	-142.351	-142.938
25	Amiloride_4g	-134.488	-148.061	-143.77
26	Amiloride_4g	-120.704	-120.327	-129.599
27	Amiloride_4g	-136.435	-144.75	-148.454
28	Amiloride_4h	-140.61	-151.625	-154.374
29	Amiloride_4h	-168.786	-176.56	-175.635
30	Amiloride_4h	-166.162	-176.872	-177.685
31	Amiloride_4k	-158.837	-174.742	-173.908
32	Amiloride_4k	-150.77	-161.242	-156.735
33	Amiloride_4k	-150.619	-158.639	-160.939
34	Amiloride_4l	-154.879	-165.42	-164.525
35	Amiloride_4l	-168.119	-178.941	-182.369
36	Amiloride_4l	-164.31	-171.019	-176.845
37	Amiloride_9	-146.016	-159.799	-168.683
38	Amiloride_9	-147.563	-158.965	-164.124
39	Amiloride_9	-150.419	-161.422	-167.231
40	Dimethyl_amiloride	-137.167	-141.249	-145.858
41	Dimethyl_amiloride	-102.246	-110.693	-113.165
42	Dimethyl_amiloride	-134.729	-140.936	-145.73
43	Lys	-185.867	-186.536	-190.943
44	Lys	-184.799	-186.426	-188.078
45	Lys	-178.464	-181.081	-185.702
46	MV1346	-114.334	-117.299	-122.619
47	MV1346	-116.403	-122.342	-127.658
48	MV1346	-116.151	-123.038	-127.966
49	MV2003	-178.813	-186.537	-198.282
50	MV2003	-103.395	-113.001	-117.96
51	MV2003	-111.597	-124.157	-123.938
52	MV2005	-91.987	-88.341	-89.289
53	MV2005	-91.435	-89.383	-90.331
54	MV2005	-91.73	-88.152	-89.305
55	MV2017	-86.032	-96.373	-94.542
56	MV2017	-80.743	-84.34	-86.917
57	MV2017	-85.654	-95.105	-92.246
58	Mitoxantrone	-276.634	-288.509	-297.48
59	Mitoxantrone	-276.574	-299.299	-297.334
60	Mitoxantrone	-287.461	-309.561	-309.159
61	P04500145	-287.136	-292.57	-298.699
62	P04500145	-296.455	-303.542	-307.678
63	P04500145	-268.712	-269.313	-270.219
64	P04500176	-214.009	-226.467	-224.701
65	P04500176	-216.338	-216.495	-228.733
66	P04500176	-213.052	-225.058	-224.869
67	P04500242	-225.257	-232.634	-234.302
68	P04500242	-236.725	-240.45	-245.889
69	P04500242	-243.04	-258.462	-255.971
70	P04500263	-276.182	-277.953	-284.88
71	P04500263	-273.808	-275.924	-284.374
72	P04500263	-270.931	-274.819	-279.914
73	P04500274	-259.292	-260.074	-263.899
74	P04500274	-258.255	-264.308	-264.004
75	P04500274	-256.863	-259.684	-261.684
76	P04501273	-213.035	-213.358	-219.38
77	P04501273	-246.948	-242.789	-253.718
78	P04501273	-244.467	-240.954	-249.716
79	P04501692	-257.435	-259.215	-260.427
80	P04501692	-248.451	-258.308	-260.13
81	P04501692	-239.777	-248.376	-247.714
82	P04501819	-236.667	-244.315	-254.425
83	P04501819	-250.148	-253.429	-260.696
84	P04501819	-245.26	-249.91	-259.006
85	P04501857	-286.095	-297.728	-306.09
86	P04501857	-268.095	-290.962	-286.772
87	P04501857	-275.682	-271.165	-287.33
