compoundId	compound	AnnapuRNA Score:RF_modern	AnnapuRNA Score:kNN_basic	AnnapuRNA Score:kNN_modern	score:LigandRNA-basic	score:LigandRNA-modern	title	score:rDock-dock_solv	score:rf-score-vs	target	pdb
1	14b	-34.691	-33.529	-39.876	-388.99	-417.49	14b	10.5999	-6	hiv	1UUI
2	14b	-46.169	-59.936	-60.355	-487.71	-492.26	14b	13.8015	-6	hiv	1UUI
3	14b	-38.657	-47.328	-59.558	-525.49	-537.73	14b	14.3556	-6	hiv	1UUI
4	6b	-178.353	-175.053	-183.903	-1002.11	-940.24	6b	-18.3306	-6	hiv	1UUI
5	6b	-163.88	-165.93	-172.657	-740.77	-672.24	6b	-18.0703	-6	hiv	1UUI
6	6b	-168.846	-175.009	-179.467	-724.72	-652.66	6b	-17.9176	-6	hiv	1UUI
7	9d	-164.761	-169.107	-167.144	-873.3	-822.72	9d	-21.956	-6	hiv	1UUI
8	9d	-141.964	-136.674	-141.504	-314.08	-276.75	9d	-18.5619	-6	hiv	1UUI
9	9d	-170.127	-172.177	-179.011	-477.36	-448.74	9d	-16.3946	-6	hiv	1UUI
10	Amiloride_19	-102.648	-112.056	-113.69	-1098.36	-1062.53	Amiloride_19	-33.5595	-6	hiv	1UUI
11	Amiloride_19	-104.828	-114.163	-115.027	-1081.79	-1044.76	Amiloride_19	-33.1054	-6	hiv	1UUI
12	Amiloride_19	-103.185	-118.419	-116.278	-1098.95	-1062.32	Amiloride_19	-32.9649	-6	hiv	1UUI
13	Amiloride_20	-87.224	-86.652	-85.244	-930.47	-941.23	Amiloride_20	-35.4864	-5	hiv	1UUI
14	Amiloride_20	-86.195	-84.849	-83.486	-940.81	-950.11	Amiloride_20	-35.1414	-5	hiv	1UUI
15	Amiloride_20	-87.92	-86.769	-83.983	-969.27	-977.5	Amiloride_20	-35.1009	-5	hiv	1UUI
16	Amiloride_22d	-111.934	-120.869	-123.418	-1363.4	-1322.41	Amiloride_22d	-23.1959	-6	hiv	1UUI
17	Amiloride_22d	-111.103	-119.921	-123.378	-1383.34	-1339.94	Amiloride_22d	-22.7159	-6	hiv	1UUI
18	Amiloride_22d	-110.195	-119.53	-123.778	-1370.43	-1327.1	Amiloride_22d	-22.6575	-6	hiv	1UUI
19	Amiloride_24	-134.192	-140.893	-142.471	-832.1	-797.9	Amiloride_24	-32.0983	-6	hiv	1UUI
20	Amiloride_24	-142.765	-147.803	-148.189	-817.88	-776.97	Amiloride_24	-31.9615	-6	hiv	1UUI
21	Amiloride_24	-154.84	-167.515	-168.229	-982.61	-936.22	Amiloride_24	-31.7589	-6	hiv	1UUI
22	Amiloride_4d	-100.94	-108.194	-103.011	-987.91	-964.6	Amiloride_4d	-30.547	-6	hiv	1UUI
23	Amiloride_4d	-104.549	-110.425	-109.579	-1129.32	-1108.51	Amiloride_4d	-29.8533	-6	hiv	1UUI
24	Amiloride_4d	-98.411	-102.248	-108.428	-638.8	-620.94	Amiloride_4d	-28.3839	-6	hiv	1UUI
25	Amiloride_4g	-148.313	-155.428	-152.236	-1072.72	-1086.81	Amiloride_4g	-31.9313	-5	hiv	1UUI
26	Amiloride_4g	-97.823	-102.188	-103.524	-888.86	-895.13	Amiloride_4g	-31.5671	-5	hiv	1UUI
27	Amiloride_4g	-97.294	-101.797	-104.077	-939.17	-944.03	Amiloride_4g	-30.806	-5	hiv	1UUI
28	Amiloride_4h	-113.204	-112.239	-114.894	-1026.69	-1015.89	Amiloride_4h	-36.6875	-5	hiv	1UUI
29	Amiloride_4h	-111.094	-111.374	-113.775	-1067.62	-1060.82	Amiloride_4h	-35.6587	-5	hiv	1UUI
30	Amiloride_4h	-113.858	-111.171	-113.018	-1016.34	-1005.64	Amiloride_4h	-33.1469	-5	hiv	1UUI
31	Amiloride_4k	-107.87	-111.756	-112.587	-1157.53	-1141.28	Amiloride_4k	-29.6083	-6	hiv	1UUI
32	Amiloride_4k	-106.392	-107.699	-106.093	-1120.48	-1105.36	Amiloride_4k	-28.9166	-6	hiv	1UUI
