compoundId	compound	AnnapuRNA Score:RF_modern	AnnapuRNA Score:kNN_basic	AnnapuRNA Score:kNN_modern
1	14b	-34.691	-33.529	-39.876
2	14b	-46.169	-59.936	-60.355
3	14b	-38.657	-47.328	-59.558
4	6b	-178.353	-175.053	-183.903
5	6b	-163.88	-165.93	-172.657
6	6b	-168.846	-175.009	-179.467
7	9d	-164.761	-169.107	-167.144
8	9d	-141.964	-136.674	-141.504
9	9d	-170.127	-172.177	-179.011
10	Amiloride_19	-102.648	-112.056	-113.69
11	Amiloride_19	-104.828	-114.163	-115.027
12	Amiloride_19	-103.185	-118.419	-116.278
13	Amiloride_20	-87.224	-86.652	-85.244
14	Amiloride_20	-86.195	-84.849	-83.486
15	Amiloride_20	-87.92	-86.769	-83.983
16	Amiloride_22d	-111.934	-120.869	-123.418
17	Amiloride_22d	-111.103	-119.921	-123.378
18	Amiloride_22d	-110.195	-119.53	-123.778
19	Amiloride_24	-134.192	-140.893	-142.471
20	Amiloride_24	-142.765	-147.803	-148.189
21	Amiloride_24	-154.84	-167.515	-168.229
22	Amiloride_4d	-100.94	-108.194	-103.011
23	Amiloride_4d	-104.549	-110.425	-109.579
24	Amiloride_4d	-98.411	-102.248	-108.428
25	Amiloride_4g	-148.313	-155.428	-152.236
26	Amiloride_4g	-97.823	-102.188	-103.524
27	Amiloride_4g	-97.294	-101.797	-104.077
28	Amiloride_4h	-113.204	-112.239	-114.894
29	Amiloride_4h	-111.094	-111.374	-113.775
30	Amiloride_4h	-113.858	-111.171	-113.018
31	Amiloride_4k	-107.87	-111.756	-112.587
32	Amiloride_4k	-106.392	-107.699	-106.093
33	Amiloride_4k	-103.935	-106.275	-104.868
34	Amiloride_4l	-95.286	-100.317	-99.623
35	Amiloride_4l	-108.228	-112.761	-117.093
36	Amiloride_4l	-103.007	-104.55	-101.422
37	Amiloride_9	-123.215	-121.611	-118.166
38	Amiloride_9	-100.086	-104.617	-106.671
39	Amiloride_9	-101.008	-98.872	-103.013
40	Dimethyl_amiloride	-120.46	-125.154	-123.931
41	Dimethyl_amiloride	-121.614	-121.716	-122.459
42	Dimethyl_amiloride	-94.825	-102.15	-107.277
43	Lys	-181.228	-187.968	-192.678
44	Lys	-174.485	-180.894	-180.833
45	Lys	-187.254	-190.264	-192.681
46	MV1346	-143.818	-155.829	-160.903
47	MV1346	-143.852	-156.147	-160.902
48	MV1346	-142.975	-154.925	-159.818
49	MV2003	-98.766	-99.4	-101.617
50	MV2003	-100.506	-106.037	-107.342
51	MV2003	-102.61	-103.587	-103.097
52	MV2005	-102.656	-102.175	-103.958
53	MV2005	-102.724	-101.64	-103.874
54	MV2005	-102.74	-102.174	-103.877
55	MV2017	-82.096	-84.538	-87.183
56	MV2017	-81.977	-84.935	-88.126
57	MV2017	-82.356	-84.427	-87.529
58	Mitoxantrone	-187.033	-193.555	-187.188
59	Mitoxantrone	-200.981	-207.344	-205.92
60	Mitoxantrone	-191.836	-188.999	-190.483
61	P04500145	-212.781	-230.307	-222.669
62	P04500145	-205.958	-220.286	-214.824
63	P04500145	-210.307	-224.942	-218.051
64	P04500176	-216.528	-222.204	-223.175
65	P04500176	-220.115	-226.575	-227.369
66	P04500176	-215.87	-221.051	-223.183
67	P04500242	-213.608	-211.965	-216.466
68	P04500242	-213.561	-208.806	-216.513
69	P04500242	-217.43	-216.666	-219.491
70	P04500263	-219.59	-224.191	-224.833
71	P04500263	-222.694	-222.026	-226.483
72	P04500263	-208.845	-212.623	-211.237
73	P04500274	-228.261	-236.258	-235.771
74	P04500274	-223.697	-234.963	-230.96
75	P04500274	-209.696	-210.322	-216.277
76	P04501273	-212.391	-209.082	-219.593
77	P04501273	-216.942	-207.428	-217.157
78	P04501273	-208.119	-209.157	-214.408
79	P04501692	-244.82	-244.887	-252.982
80	P04501692	-249.614	-252.218	-256.971
81	P04501692	-242.259	-249.309	-255.657
82	P04501819	-234.344	-236.912	-239.597
83	P04501819	-237.817	-250.887	-248.551
84	P04501819	-232.242	-236.158	-237.138
85	P04501857	-208.306	-215.701	-213.275
86	P04501857	-205.591	-211.843	-211.808
87	P04501857	-204.521	-210.617	-210.486
88	P04545838	-244.637	-256.565	-259.371
89	P04545838	-163.501	-158.077	-159.606
90	P04545838	-158.738	-155.372	-158.897
91	P04754398	-255.918	-258.637	-260.187
92	P04754398	-224.317	-217.755	-221.96
93	P04754398	-264.867	-266.606	-267.435
94	P04819314	-202.422	-201.358	-202.787
95	P04819314	-202.301	-203.752	-209.159
96	P04819314	-201.688	-199.53	-201.312
97	P04966396	-227.242	-239.773	-248.217
98	P04966396	-221.085	-232.353	-243.603
99	P04966396	-221.951	-239.89	-245.385
100	P04982231	-254.629	-266.628	-263.54
101	P04982231	-262.472	-270.82	-269.083
102	P04982231	-259.626	-271.792	-270.384
103	P05160259	-157.9	-164.681	-169.543
104	P05160259	-137.807	-138.22	-144.903
105	P05160259	-154.092	-159.588	-163.421
106	P05375011	-150.186	-155.241	-155.774
107	P05375011	-148.338	-154.541	-155.068
108	P05375011	-150.362	-155.335	-156.141
109	P05407736	-113.292	-123.874	-126.118
110	P05407736	-113.768	-124.226	-126.601
111	P05407736	-114.029	-124.155	-126.446
112	P05454129	-225.007	-230.417	-233.507
113	P05454129	-226.767	-226.886	-230.162
114	P05454129	-220.45	-226.155	-229.37
115	P05498331	-137.97	-141.087	-142.097
116	P05498331	-138.784	-140.146	-142.714
117	P05498331	-139.335	-138.903	-142.633
118	P05549510	-230.095	-230.392	-230.564
119	P05549510	-233.411	-248.441	-241.816
120	P05549510	-227.445	-226.544	-227.399
121	P05622709	-212.809	-221.32	-225.232
122	P05622709	-211.99	-219.533	-220.845
123	P05622709	-212.55	-220.536	-220.529
124	P05798951	-273.479	-270.281	-276.341
125	P05798951	-244.85	-250.545	-252.913
126	P05798951	-260.693	-271.126	-278.363
127	P05865749	-177.447	-171.903	-174.319
128	P05865749	-178.955	-173.067	-177.539
129	P05865749	-174.714	-173.635	-181.049
130	P05892028	-210.524	-218.012	-214.737
131	P05892028	-193.669	-197.441	-195.749
132	P05892028	-199.785	-206.504	-203.09
133	P05972320	-237.66	-258.209	-250.499
134	P05972320	-230.96	-234.599	-231.246
135	P05972320	-251.637	-256.449	-251.88
136	P06168530	-206.261	-207.954	-205.382
137	P06168530	-165.166	-176.912	-174.274
138	P06168530	-211.839	-221.533	-219.537
139	P06219489	-304.93	-318.059	-315.209
140	P06219489	-285.504	-298.963	-306.011
141	P06219489	-283.095	-291.58	-294.695
142	P06282721	-265.196	-276.192	-278.065
143	P06282721	-249.131	-259.671	-256.183
144	P06282721	-254.781	-271.495	-270.745
145	P06413841	-204.455	-217.325	-215.945
146	P06413841	-200.737	-213.478	-211.658
147	P06413841	-203.68	-215.297	-215.074
148	P06666378	-291.144	-309.696	-299.084
149	P06666378	-286.977	-305.447	-299.905
150	P06666378	-279.694	-295.46	-290.719
151	P06702309	-143.885	-138.972	-148.122
152	P06702309	-156.21	-160.808	-160.269
153	P06702309	-144.348	-140.729	-149.992
154	P06768307	-241.874	-236.99	-242.719
155	P06768307	-278.214	-280.476	-282.853
156	P06768307	-282.352	-283.487	-288.283
157	P06771401	-172.361	-189.488	-182.298
158	P06771401	-172.223	-188.736	-177.959
159	P06771401	-170.843	-190.157	-178.906
160	P07136692	-189.2	-190.057	-189.274
161	P07136692	-169.859	-175.76	-174.888
162	P07136692	-168.971	-174.917	-173.655
163	P07138396	-222.7	-229.309	-227.148
164	P07138396	-211.571	-215.273	-213.323
165	P07138396	-220.416	-218.152	-218.963
166	P07174041	-212.872	-212.813	-214.666
167	P07174041	-191.573	-194.481	-192.946
168	P07174041	-205.377	-201.274	-204.887
169	P07569050	-129.862	-127.242	-126.829
170	P07569050	-132.378	-129.937	-127.51
171	P07569050	-131.168	-130.315	-127.188
172	P07583861	-242.629	-253.28	-259.091
173	P07583861	-251.351	-263.938	-261.33
174	P07583861	-246.097	-254.906	-258.738
175	P07715533	-212.017	-220.198	-222.734
176	P07715533	-206.636	-208.237	-211.7
177	P07715533	-205.798	-211.739	-212.179
178	P07782977	-318.853	-328.192	-329.515
179	P07782977	-295.326	-304.561	-307.37
180	P07782977	-309.752	-315.483	-308.376
181	P07839198	-221.306	-223.038	-227.023
182	P07839198	-240.389	-240.349	-245.454
183	P07839198	-239.961	-237.5	-244.605
184	P08011852	-249.578	-255.195	-252.709
185	P08011852	-256.856	-254.826	-255.088
186	P08011852	-250.237	-258.783	-257.578
187	P08011872	-251.045	-257.106	-254.225
188	P08011872	-245.842	-246.223	-248.029
189	P08011872	-242.161	-244.578	-248.138
190	P08103884	-240.802	-244.241	-247.342
191	P08103884	-241.168	-243.388	-247.38
192	P08103884	-233.788	-240.406	-233.874
193	P08179997	-146.606	-144.926	-145.253
194	P08179997	-145.101	-142.714	-144.716
195	P08179997	-145.244	-142.987	-144.92
196	P08182707	-209.117	-225.872	-226.163
197	P08182707	-203.341	-221.082	-222.08
198	P08182707	-206.081	-219.644	-217.292
199	P08192944	-188.099	-185.899	-193.193
200	P08192944	-188.83	-187.249	-194.607
201	P08192944	-188.009	-186.93	-194.203
202	P08287941	-200.032	-195.363	-204.212
203	P08287941	-220.941	-234.134	-234.928
204	P08287941	-188.534	-198.124	-203.454
205	P08904802	-260.93	-277.69	-281.212
206	P08904802	-264.86	-279.23	-278.436
207	P08904802	-256.032	-264.083	-264.622
208	P08977643	-156.867	-165.348	-165.682
209	P08977643	-172.699	-176.538	-178.572
210	P08977643	-125.108	-122.505	-122.378
211	P09338548	-16.393	-25.788	-24.242
212	P09338548	-34.392	-44.923	-48.216
213	P09338548	-13.567	-22.417	-22.359
214	P09461762	-147.532	-145.628	-148.047
215	P09461762	-147.559	-147.211	-148.797
216	P09461762	-143.172	-146.06	-148.715
217	P09524617	-279.781	-279.318	-280.703
218	P09524617	-269.309	-274.605	-278.957
219	P09524617	-285.946	-282.387	-280.911
220	P09781598	-100.367	-98.627	-102.143
221	P09781598	-95.18	-101.22	-99.021
222	P09781598	-94.485	-101.665	-99.471
223	P09845720	-205.874	-220.528	-217.163
224	P09845720	-208.99	-214.123	-218.191
225	P09845720	-227.415	-234.516	-239.593
226	P100636508	-184.411	-184.36	-185.911
227	P100636508	-158.718	-164.764	-170.111
228	P100636508	-205.881	-207.662	-205.123
229	P100669881	-156.565	-158.135	-160.932
230	P100669881	-151.885	-158.592	-158.94
231	P100669881	-153.087	-156.272	-157.448
232	P101126751	-337.754	-347.594	-349.548
233	P101126751	-333.024	-335.857	-341.161
234	P101126751	-335.479	-345.677	-346.252
235	P101126773	-221.053	-226.941	-235.168
236	P101126773	-216.333	-222.155	-230.222
237	P101126773	-217.258	-223.892	-231.901
238	P101151117	-197.416	-195.284	-197.85
239	P101151117	-198.328	-195.095	-198.945
240	P101151117	-182.615	-180.077	-190.111
241	P101151122	-192.131	-204.069	-205.463
242	P101151122	-160.273	-163.649	-161.75
243	P101151122	-161.637	-169.125	-162.537
244	P101915148	-221.242	-214.407	-222.681
245	P101915148	-220.152	-219.369	-221.945
246	P101915148	-215.466	-213.531	-216.465
247	P10241372	-56.135	-66.213	-66.352
248	P10241372	-56.129	-66.834	-66.791
249	P10241372	-57.704	-62.903	-63.189
250	P10368605	165.369	163.753	168.722
251	P10368605	163.254	158.801	164.797
252	P10368605	167.242	166.092	169.0
