compoundId	compound	AnnapuRNA Score:RF_modern	AnnapuRNA Score:kNN_basic	AnnapuRNA Score:kNN_modern	score:LigandRNA-basic	score:LigandRNA-modern	title	score:rDock-dock_solv	score:rf-score-vs	target	pdb
1	14b	105.148	98.113	99.297	398.0	353.99	14b	0.971628	-6	hiv	6MCE
2	14b	96.278	93.969	94.938	336.01	285.66	14b	0.971802	-6	hiv	6MCE
3	14b	94.015	89.029	93.971	351.48	317.2	14b	1.05418	-6	hiv	6MCE
4	6b	-60.799	-63.501	-62.43	766.54	799.38	6b	-14.7514	-6	hiv	6MCE
5	6b	-51.066	-56.292	-53.485	826.81	860.35	6b	-14.053	-6	hiv	6MCE
6	6b	-56.697	-60.822	-58.281	833.16	866.1	6b	-13.6768	-6	hiv	6MCE
7	9d	-52.791	-56.592	-56.846	664.69	676.59	9d	-12.05	-6	hiv	6MCE
8	9d	-53.783	-63.153	-58.804	695.93	711.6	9d	-11.8254	-6	hiv	6MCE
9	9d	-48.796	-51.503	-47.72	643.68	658.03	9d	-11.7387	-6	hiv	6MCE
10	Amiloride_19	-32.333	-40.003	-40.576	493.77	497.14	Amiloride_19	-16.2605	-6	hiv	6MCE
11	Amiloride_19	-37.598	-41.925	-43.462	511.57	515.24	Amiloride_19	-16.192	-6	hiv	6MCE
12	Amiloride_19	-36.234	-44.151	-43.951	466.22	462.68	Amiloride_19	-16.1109	-6	hiv	6MCE
13	Amiloride_20	-24.013	-24.726	-23.867	363.84	349.33	Amiloride_20	-22.7557	-6	hiv	6MCE
14	Amiloride_20	-23.467	-24.884	-24.236	359.32	346.11	Amiloride_20	-22.6439	-6	hiv	6MCE
15	Amiloride_20	-25.525	-26.09	-25.856	363.95	349.45	Amiloride_20	-22.123	-6	hiv	6MCE
16	Amiloride_22d	-25.975	-32.247	-26.867	602.84	600.11	Amiloride_22d	-17.5134	-6	hiv	6MCE
17	Amiloride_22d	-28.05	-35.897	-30.33	692.54	690.91	Amiloride_22d	-15.6494	-6	hiv	6MCE
18	Amiloride_22d	-29.334	-36.924	-30.625	701.39	701.51	Amiloride_22d	-15.0656	-6	hiv	6MCE
19	Amiloride_24	-26.759	-35.167	-32.056	742.28	763.9	Amiloride_24	-15.6498	-6	hiv	6MCE
20	Amiloride_24	-30.035	-33.891	-30.977	667.34	687.12	Amiloride_24	-14.3227	-6	hiv	6MCE
21	Amiloride_24	-26.544	-32.337	-29.3	778.72	800.08	Amiloride_24	-14.2803	-6	hiv	6MCE
22	Amiloride_4d	-28.453	-32.085	-31.626	549.57	549.18	Amiloride_4d	-19.4358	-6	hiv	6MCE
23	Amiloride_4d	-26.538	-29.567	-30.008	548.79	548.1	Amiloride_4d	-18.5169	-6	hiv	6MCE
24	Amiloride_4d	-27.178	-31.059	-31.654	564.41	562.19	Amiloride_4d	-18.5018	-6	hiv	6MCE
25	Amiloride_4g	-22.813	-28.373	-27.531	489.83	453.27	Amiloride_4g	-20.1376	-6	hiv	6MCE
26	Amiloride_4g	-19.695	-16.451	-16.43	555.9	513.44	Amiloride_4g	-18.2416	-6	hiv	6MCE
27	Amiloride_4g	-14.386	-19.119	-18.261	495.26	461.68	Amiloride_4g	-17.8559	-6	hiv	6MCE
28	Amiloride_4h	-18.959	-15.899	-15.766	441.1	404.39	Amiloride_4h	-15.2086	-6	hiv	6MCE
29	Amiloride_4h	-18.657	-16.404	-16.048	434.27	396.56	Amiloride_4h	-14.7707	-6	hiv	6MCE
30	Amiloride_4h	-19.237	-26.896	-24.643	387.19	357.71	Amiloride_4h	-14.767	-6	hiv	6MCE
31	Amiloride_4k	-27.632	-31.853	-28.766	536.3	541.65	Amiloride_4k	-13.7025	-6	hiv	6MCE
32	Amiloride_4k	-24.703	-20.906	-20.599	571.98	568.01	Amiloride_4k	-13.2092	-6	hiv	6MCE
33	Amiloride_4k	-25.787	-31.698	-31.434	490.89	500.25	Amiloride_4k	-12.8315	-6	hiv	6MCE
34	Amiloride_4l	-19.211	-25.055	-19.742	602.82	598.5	Amiloride_4l	-22.8179	-6	hiv	6MCE
35	Amiloride_4l	-24.921	-29.288	-25.473	581.41	587.61	Amiloride_4l	-22.582	-6	hiv	6MCE
36	Amiloride_4l	-26.532	-32.866	-27.546	598.73	603.86	Amiloride_4l	-21.1548	-6	hiv	6MCE
37	Amiloride_9	-17.491	-21.171	-18.616	344.51	324.81	Amiloride_9	-23.389	-6	hiv	6MCE
38	Amiloride_9	-12.663	-19.512	-17.684	354.65	323.47	Amiloride_9	-22.3879	-6	hiv	6MCE
39	Amiloride_9	-15.624	-17.96	-17.409	328.73	308.32	Amiloride_9	-22.2884	-6	hiv	6MCE
40	Dimethyl_amiloride	-19.943	-23.241	-21.548	398.36	376.88	Dimethyl_amiloride	-21.6414	-6	hiv	6MCE
41	Dimethyl_amiloride	-20.552	-23.281	-21.542	395.12	375.58	Dimethyl_amiloride	-21.4268	-6	hiv	6MCE
42	Dimethyl_amiloride	-21.987	-24.578	-22.847	413.99	392.52	Dimethyl_amiloride	-20.6665	-6	hiv	6MCE
43	Lys	-101.064	-101.154	-100.973	302.53	262.26	Lys	-23.0731	-6	hiv	6MCE
44	Lys	-104.688	-102.585	-104.003	351.81	312.83	Lys	-21.194	-6	hiv	6MCE
45	Lys	-88.922	-87.528	-87.033	357.41	298.63	Lys	-20.4447	-6	hiv	6MCE
46	MV1346	-43.475	-46.768	-41.973	784.97	826.12	MV1346	-4.52575	-6	hiv	6MCE
47	MV1346	-43.003	-46.164	-41.85	782.61	823.22	MV1346	-4.48734	-6	hiv	6MCE
48	MV1346	-42.793	-45.292	-41.131	773.29	814.21	MV1346	-4.48129	-6	hiv	6MCE
49	MV2003	-27.54	-28.819	-26.9	535.75	505.66	MV2003	-19.8957	-6	hiv	6MCE
50	MV2003	-25.288	-26.042	-23.463	491.84	460.29	MV2003	-16.2584	-6	hiv	6MCE
51	MV2003	-9.593	-14.462	-12.41	635.86	605.03	MV2003	-11.6969	-6	hiv	6MCE
52	MV2005	-60.028	-61.412	-60.994	999.67	879.96	MV2005	-5.16975	-6	hiv	6MCE
53	MV2005	-60.001	-61.444	-61.022	999.67	879.96	MV2005	-5.16684	-6	hiv	6MCE
54	MV2005	-56.767	-56.192	-55.426	939.06	837.8	MV2005	-5.16294	-6	hiv	6MCE
55	MV2017	-18.912	-19.112	-18.445	462.64	459.98	MV2017	-21.1922	-6	hiv	6MCE
56	MV2017	-18.729	-18.715	-18.374	462.64	459.98	MV2017	-21.1884	-6	hiv	6MCE
57	MV2017	-18.522	-18.85	-18.391	462.64	459.98	MV2017	-21.1767	-6	hiv	6MCE
58	Mitoxantrone	-78.059	-86.868	-84.317	730.32	704.77	Mitoxantrone	-5.53878	-6	hiv	6MCE
59	Mitoxantrone	-71.802	-80.227	-75.966	686.42	660.87	Mitoxantrone	-5.41016	-6	hiv	6MCE
60	Mitoxantrone	-79.852	-83.848	-80.227	728.17	700.46	Mitoxantrone	-5.3452	-6	hiv	6MCE
61	P04500145	-86.437	-88.374	-85.238	699.85	619.77	P04500145	-18.7639	-6	hiv	6MCE
62	P04500145	-90.813	-90.874	-89.262	719.08	639.28	P04500145	-15.6068	-6	hiv	6MCE
63	P04500145	-88.987	-92.358	-87.754	705.84	626.45	P04500145	-15.5599	-6	hiv	6MCE
64	P04500176	-75.891	-74.328	-72.756	659.0	617.89	P04500176	-15.9672	-6	hiv	6MCE
65	P04500176	-78.301	-78.615	-76.261	643.92	602.74	P04500176	-14.9502	-6	hiv	6MCE
66	P04500176	-77.95	-78.217	-74.437	648.85	610.02	P04500176	-14.3069	-6	hiv	6MCE
67	P04500242	-101.304	-97.441	-96.34	883.66	844.98	P04500242	-12.1957	-6	hiv	6MCE
68	P04500242	-87.175	-88.11	-83.839	844.25	790.82	P04500242	-10.1642	-6	hiv	6MCE
69	P04500242	-92.07	-94.913	-89.841	860.54	807.02	P04500242	-10.1229	-6	hiv	6MCE
70	P04500263	-90.643	-93.106	-88.086	529.5	468.61	P04500263	-18.0584	-6	hiv	6MCE
71	P04500263	-88.324	-90.219	-87.453	620.39	554.03	P04500263	-16.3249	-6	hiv	6MCE
72	P04500263	-87.291	-89.424	-85.687	569.49	504.39	P04500263	-16.2258	-6	hiv	6MCE
73	P04500274	-92.262	-92.172	-88.86	613.53	544.73	P04500274	-11.6519	-6	hiv	6MCE
74	P04500274	-100.927	-102.371	-99.886	617.76	543.13	P04500274	-10.6784	-6	hiv	6MCE
75	P04500274	-92.519	-93.221	-89.168	585.38	519.35	P04500274	-10.211	-6	hiv	6MCE
76	P04501273	-91.274	-92.36	-90.276	643.92	574.5	P04501273	-18.3107	-6	hiv	6MCE
77	P04501273	-90.789	-98.067	-94.948	567.07	499.89	P04501273	-17.869	-6	hiv	6MCE
78	P04501273	-94.477	-100.448	-96.762	565.74	498.13	P04501273	-17.2701	-6	hiv	6MCE
79	P04501692	-80.339	-81.219	-80.591	743.68	704.71	P04501692	-9.9583	-6	hiv	6MCE
80	P04501692	-93.063	-96.659	-90.142	775.45	724.94	P04501692	-9.36503	-6	hiv	6MCE
81	P04501692	-89.239	-94.58	-86.45	786.33	734.69	P04501692	-9.28006	-6	hiv	6MCE
82	P04501819	-99.011	-106.296	-102.607	636.51	605.8	P04501819	-19.6313	-6	hiv	6MCE
83	P04501819	-95.71	-101.706	-100.218	775.41	734.16	P04501819	-19.3287	-6	hiv	6MCE
84	P04501819	-96.901	-104.824	-101.211	617.08	588.45	P04501819	-18.451	-6	hiv	6MCE
85	P04501857	-83.835	-87.696	-85.523	711.28	632.55	P04501857	-16.2106	-6	hiv	6MCE
86	P04501857	-87.001	-93.845	-88.557	621.56	552.96	P04501857	-14.616	-6	hiv	6MCE
87	P04501857	-76.897	-79.298	-75.119	578.46	509.36	P04501857	-13.7809	-6	hiv	6MCE
88	P04545838	-78.063	-81.574	-79.525	615.81	578.13	P04545838	-16.0767	-6	hiv	6MCE
89	P04545838	-84.636	-91.445	-90.775	584.6	552.7	P04545838	-15.3776	-6	hiv	6MCE
90	P04545838	-82.442	-90.543	-89.608	624.62	588.34	P04545838	-15.3272	-6	hiv	6MCE
91	P04754398	-75.12	-83.908	-76.549	1013.61	994.21	P04754398	-14.0045	-5	hiv	6MCE
92	P04754398	-76.188	-84.944	-77.027	1009.25	989.55	P04754398	-10.4172	-5	hiv	6MCE
93	P04754398	-81.747	-80.518	-81.452	1001.49	984.68	P04754398	-8.77851	-6	hiv	6MCE
94	P04819314	-81.548	-81.856	-82.545	367.83	338.5	P04819314	-17.2048	-6	hiv	6MCE
95	P04819314	-81.83	-84.655	-82.76	370.75	347.85	P04819314	-14.9495	-6	hiv	6MCE
96	P04819314	-82.157	-84.875	-82.652	370.75	347.85	P04819314	-14.9328	-6	hiv	6MCE
97	P04966396	-64.48	-72.716	-68.791	820.78	768.8	P04966396	-10.4374	-6	hiv	6MCE
98	P04966396	-72.929	-77.067	-71.203	887.95	832.84	P04966396	-10.436	-6	hiv	6MCE
99	P04966396	-81.871	-85.397	-82.899	885.52	824.58	P04966396	-10.2153	-6	hiv	6MCE
100	P04982231	-101.925	-103.181	-104.161	1094.86	1030.53	P04982231	-18.4254	-6	hiv	6MCE
101	P04982231	-92.13	-97.132	-96.328	1011.06	948.51	P04982231	-16.1801	-6	hiv	6MCE
102	P04982231	-101.235	-102.107	-101.252	1045.16	981.46	P04982231	-14.7414	-6	hiv	6MCE
103	P05160259	-42.661	-42.256	-41.934	845.36	794.35	P05160259	-16.8299	-6	hiv	6MCE
104	P05160259	-43.795	-42.59	-41.754	829.15	780.21	P05160259	-16.3408	-6	hiv	6MCE
105	P05160259	-42.19	-40.449	-39.697	830.42	780.67	P05160259	-16.0907	-6	hiv	6MCE
106	P05375011	-62.963	-73.75	-69.097	982.86	996.8	P05375011	-10.0409	-6	hiv	6MCE
107	P05375011	-70.477	-76.303	-72.39	933.09	942.21	P05375011	-7.87481	-6	hiv	6MCE
108	P05375011	-64.814	-73.375	-70.496	990.38	1007.32	P05375011	-7.79465	-6	hiv	6MCE
109	P05407736	-34.187	-38.473	-36.394	384.18	376.82	P05407736	-12.9352	-6	hiv	6MCE
110	P05407736	-34.321	-38.675	-37.124	382.46	377.45	P05407736	-12.9346	-6	hiv	6MCE
111	P05407736	-34.245	-38.645	-36.553	384.18	376.82	P05407736	-12.9345	-6	hiv	6MCE
112	P05454129	-84.606	-89.949	-89.841	938.92	934.76	P05454129	-6.93877	-6	hiv	6MCE
113	P05454129	-86.056	-89.265	-90.029	910.92	904.47	P05454129	-3.93934	-6	hiv	6MCE
114	P05454129	-100.708	-109.441	-101.792	747.91	740.83	P05454129	-3.87888	-6	hiv	6MCE
115	P05498331	-72.185	-72.858	-71.525	948.11	977.98	P05498331	-14.0352	-6	hiv	6MCE
116	P05498331	-72.16	-72.073	-70.746	942.17	972.65	P05498331	-13.9867	-6	hiv	6MCE
117	P05498331	-77.463	-77.482	-75.912	972.99	1002.02	P05498331	-13.8965	-6	hiv	6MCE
118	P05549510	-94.667	-104.846	-95.953	994.02	957.76	P05549510	-16.9393	-6	hiv	6MCE
119	P05549510	-93.138	-101.94	-96.473	977.59	942.54	P05549510	-15.6597	-6	hiv	6MCE
120	P05549510	-101.247	-108.577	-106.08	972.34	933.47	P05549510	-15.2408	-6	hiv	6MCE
121	P05622709	-84.396	-83.072	-85.051	368.36	342.24	P05622709	-15.8836	-6	hiv	6MCE
122	P05622709	-84.512	-82.824	-85.293	367.77	341.64	P05622709	-15.7357	-6	hiv	6MCE
123	P05622709	-79.832	-83.262	-80.032	485.73	438.95	P05622709	-14.1492	-6	hiv	6MCE
