compoundId	compound	AnnapuRNA Score:RF_modern	AnnapuRNA Score:kNN_basic	AnnapuRNA Score:kNN_modern
1	14b	105.148	98.113	99.297
2	14b	96.278	93.969	94.938
3	14b	94.015	89.029	93.971
4	6b	-60.799	-63.501	-62.43
5	6b	-51.066	-56.292	-53.485
6	6b	-56.697	-60.822	-58.281
7	9d	-52.791	-56.592	-56.846
8	9d	-53.783	-63.153	-58.804
9	9d	-48.796	-51.503	-47.72
10	Amiloride_19	-32.333	-40.003	-40.576
11	Amiloride_19	-37.598	-41.925	-43.462
12	Amiloride_19	-36.234	-44.151	-43.951
13	Amiloride_20	-24.013	-24.726	-23.867
14	Amiloride_20	-23.467	-24.884	-24.236
15	Amiloride_20	-25.525	-26.09	-25.856
16	Amiloride_22d	-25.975	-32.247	-26.867
17	Amiloride_22d	-28.05	-35.897	-30.33
18	Amiloride_22d	-29.334	-36.924	-30.625
19	Amiloride_24	-26.759	-35.167	-32.056
20	Amiloride_24	-30.035	-33.891	-30.977
21	Amiloride_24	-26.544	-32.337	-29.3
22	Amiloride_4d	-28.453	-32.085	-31.626
23	Amiloride_4d	-26.538	-29.567	-30.008
24	Amiloride_4d	-27.178	-31.059	-31.654
25	Amiloride_4g	-22.813	-28.373	-27.531
26	Amiloride_4g	-19.695	-16.451	-16.43
27	Amiloride_4g	-14.386	-19.119	-18.261
28	Amiloride_4h	-18.959	-15.899	-15.766
29	Amiloride_4h	-18.657	-16.404	-16.048
30	Amiloride_4h	-19.237	-26.896	-24.643
31	Amiloride_4k	-27.632	-31.853	-28.766
32	Amiloride_4k	-24.703	-20.906	-20.599
33	Amiloride_4k	-25.787	-31.698	-31.434
34	Amiloride_4l	-19.211	-25.055	-19.742
35	Amiloride_4l	-24.921	-29.288	-25.473
36	Amiloride_4l	-26.532	-32.866	-27.546
37	Amiloride_9	-17.491	-21.171	-18.616
38	Amiloride_9	-12.663	-19.512	-17.684
39	Amiloride_9	-15.624	-17.96	-17.409
40	Dimethyl_amiloride	-19.943	-23.241	-21.548
