compoundId	compound	AnnapuRNA Score:RF_modern	AnnapuRNA Score:kNN_basic	AnnapuRNA Score:kNN_modern	score:LigandRNA-basic	score:LigandRNA-modern	title	score:rDock-dock_solv	score:rf-score-vs	target	pdb
1	1	-227.243	-237.21	-233.057	-3720.36	-3616.2	1	-65.8526	-5	tpp	2GDI
2	1	-227.327	-236.431	-232.932	-3720.36	-3616.2	1	-65.5934	-6	tpp	2GDI
3	1	-225.211	-236.727	-232.528	-3774.76	-3669.9	1	-64.9026	-5	tpp	2GDI
4	11P	-197.122	-224.948	-223.855	-2132.48	-2105.52	11P	-82.0856	-6	tpp	2GDI
5	11P	-200.029	-217.271	-218.631	-2099.81	-2064.39	11P	-81.8359	-6	tpp	2GDI
6	11P	-183.552	-187.791	-193.024	-2418.08	-2361.35	11P	-76.7015	-6	tpp	2GDI
7	12a	-283.246	-310.089	-310.045	-1918.62	-1877.35	12a	-78.0664	-6	tpp	2GDI
8	12a	-227.459	-240.578	-245.701	-1377.37	-1348.95	12a	-75.6175	-6	tpp	2GDI
9	12a	-230.094	-246.899	-251.058	-1431.86	-1398.58	12a	-74.6622	-6	tpp	2GDI
10	13a	-216.222	-229.763	-236.211	-1142.83	-1118.1	13a	-72.1267	-6	tpp	2GDI
11	13a	-212.051	-234.289	-241.807	-1055.49	-1033.11	13a	-71.3485	-6	tpp	2GDI
12	13a	-205.136	-212.595	-226.466	-479.44	-472.96	13a	-70.8282	-6	tpp	2GDI
13	14	-240.441	-265.346	-259.458	-4425.17	-4358.93	14	-68.7876	-5	tpp	2GDI
14	14	-239.757	-266.71	-259.737	-4471.86	-4407.18	14	-68.3679	-5	tpp	2GDI
15	14	-238.973	-265.567	-258.968	-4444.86	-4376.89	14	-68.133	-5	tpp	2GDI
16	14a	-193.997	-202.949	-215.064	-499.5	-469.76	14a	-81.999	-6	tpp	2GDI
17	14a	-249.261	-256.68	-256.678	-1344.59	-1299.75	14a	-75.5059	-6	tpp	2GDI
18	14a	-184.305	-189.816	-197.374	-699.89	-677.98	14a	-75.3852	-6	tpp	2GDI
19	15	-180.284	-189.688	-187.661	-1905.3	-1841.35	15	-65.1967	-6	tpp	2GDI
20	15	-182.805	-191.507	-189.373	-1974.32	-1907.1	15	-64.073	-6	tpp	2GDI
21	15	-179.747	-190.315	-185.895	-1839.16	-1774.35	15	-63.2955	-6	tpp	2GDI
22	15b	-322.587	-338.543	-342.388	-719.76	-690.23	15b	-75.2809	-6	tpp	2GDI
23	15b	-290.66	-300.041	-308.109	-909.75	-870.09	15b	-72.958	-6	tpp	2GDI
24	15b	-308.802	-314.238	-320.852	-676.22	-629.29	15b	-72.9368	-6	tpp	2GDI
25	16	-126.391	-155.786	-157.87	-3500.28	-3346.63	16	-72.5509	-6	tpp	2GDI
26	16	-125.019	-156.641	-148.708	-3243.29	-3102.61	16	-71.9697	-6	tpp	2GDI
27	16	-135.159	-166.225	-158.656	-3291.95	-3143.29	16	-71.9596	-6	tpp	2GDI
28	16b	-260.539	-268.72	-274.723	-1098.12	-1056.37	16b	-68.9275	-6	tpp	2GDI
29	16b	-256.313	-268.41	-269.99	-1218.99	-1175.79	16b	-68.0365	-6	tpp	2GDI
30	16b	-241.137	-261.759	-257.111	-1273.31	-1220.66	16b	-67.8807	-6	tpp	2GDI
