compoundId	compound	AnnapuRNA Score:RF_modern	AnnapuRNA Score:kNN_basic	AnnapuRNA Score:kNN_modern
1	1	-227.243	-237.21	-233.057
2	1	-227.327	-236.431	-232.932
3	1	-225.211	-236.727	-232.528
4	11P	-197.122	-224.948	-223.855
5	11P	-200.029	-217.271	-218.631
6	11P	-183.552	-187.791	-193.024
7	12a	-283.246	-310.089	-310.045
8	12a	-227.459	-240.578	-245.701
9	12a	-230.094	-246.899	-251.058
10	13a	-216.222	-229.763	-236.211
11	13a	-212.051	-234.289	-241.807
12	13a	-205.136	-212.595	-226.466
13	14	-240.441	-265.346	-259.458
14	14	-239.757	-266.71	-259.737
15	14	-238.973	-265.567	-258.968
16	14a	-193.997	-202.949	-215.064
17	14a	-249.261	-256.68	-256.678
18	14a	-184.305	-189.816	-197.374
19	15	-180.284	-189.688	-187.661
20	15	-182.805	-191.507	-189.373
21	15	-179.747	-190.315	-185.895
22	15b	-322.587	-338.543	-342.388
23	15b	-290.66	-300.041	-308.109
24	15b	-308.802	-314.238	-320.852
25	16	-126.391	-155.786	-157.87
26	16	-125.019	-156.641	-148.708
27	16	-135.159	-166.225	-158.656
28	16b	-260.539	-268.72	-274.723
29	16b	-256.313	-268.41	-269.99
30	16b	-241.137	-261.759	-257.111
31	17	-254.668	-274.804	-278.156
32	17	-254.777	-274.449	-277.228
33	17	-254.158	-273.778	-276.768
34	17a	-180.795	-181.114	-188.897
35	17a	-222.37	-244.219	-244.193
36	17a	-168.567	-166.819	-172.298
37	18a	-225.292	-233.599	-240.703
38	18a	-225.177	-233.315	-236.544
39	18a	-223.323	-243.359	-244.01
40	2	-285.734	-322.171	-319.544
41	2	-289.035	-326.384	-323.83
42	2	-272.499	-312.251	-308.774
43	20	-215.427	-229.629	-228.197
44	20	-216.736	-230.745	-229.01
45	20	-215.14	-229.947	-227.938
46	20a	-219.188	-230.863	-241.087
47	20a	-222.793	-233.507	-236.989
48	20a	-233.474	-243.296	-246.475
49	21a	-257.892	-265.753	-267.469
50	21a	-255.994	-264.018	-269.723
51	21a	-259.921	-270.761	-281.614
52	22	-257.841	-277.181	-274.971
53	22	-251.49	-273.562	-273.657
54	22	-246.942	-256.609	-262.846
55	25	-225.457	-250.339	-247.286
56	25	-224.445	-249.666	-246.846
57	25	-213.529	-241.534	-233.205
58	2M	-202.318	-220.186	-223.325
59	2M	-195.745	-212.908	-217.087
60	2M	-210.98	-229.715	-231.841
61	2b	-251.715	-281.101	-281.094
62	2b	-256.784	-286.842	-288.139
63	2b	-240.077	-251.502	-247.923
64	3	-257.168	-281.462	-281.971
65	3	-252.326	-279.384	-277.453
66	3	-241.534	-266.607	-268.061
67	3T	-235.926	-243.027	-248.553
68	3T	-203.622	-217.55	-218.549
69	3T	-221.799	-230.59	-238.852
70	4	-219.602	-237.847	-232.15
71	4	-220.742	-238.216	-231.637
72	4	-221.171	-238.796	-232.873
73	4P	-271.158	-288.537	-289.008
74	4P	-266.739	-281.523	-280.531
75	4P	-268.596	-286.48	-286.121
76	4b	-218.387	-230.342	-234.531
77	4b	-281.276	-309.778	-306.009
78	4b	-198.204	-207.706	-212.19
79	5	-121.661	-141.039	-134.547
80	5	-121.356	-139.507	-133.761
81	5	-123.944	-141.237	-134.767
82	5b	-251.156	-272.183	-271.77
83	5b	-228.542	-248.44	-249.391
84	5b	-282.238	-303.542	-296.531
85	6	-215.881	-224.822	-223.902
86	6	-212.909	-223.226	-222.129
87	6	-215.293	-224.45	-222.162
88	7	-198.422	-222.147	-222.273
89	7	-200.114	-220.52	-215.362
90	7	-198.398	-221.214	-221.562
91	8	-181.643	-189.053	-190.438
92	8	-179.345	-197.208	-195.289
93	8	-182.588	-183.601	-184.371
94	8T	-230.184	-253.177	-254.758
95	8T	-223.628	-243.993	-244.464
96	8T	-223.681	-254.301	-254.359
97	9	-248.841	-269.819	-268.511
98	9	-246.355	-268.116	-266.183
99	9	-247.484	-269.945	-267.766
100	P04539307	-300.73	-318.252	-328.627
101	P04539307	-314.123	-347.389	-347.086
102	P04539307	-285.829	-304.247	-306.446
103	P04583748	-235.058	-251.837	-256.161
104	P04583748	-235.756	-253.637	-257.361
105	P04583748	-235.879	-252.742	-256.657
106	P04652496	-236.188	-242.995	-243.21
107	P04652496	-231.691	-241.291	-240.855
108	P04652496	-178.05	-188.035	-191.862
109	P04652560	-267.617	-291.035	-294.281
110	P04652560	-273.612	-301.496	-304.55
111	P04652560	-270.171	-297.475	-300.536
112	P04835579	-241.34	-269.255	-266.917
113	P04835579	-227.828	-247.927	-252.61
114	P04835579	-209.487	-226.075	-230.472
115	P05035237	-298.104	-336.19	-334.412
116	P05035237	-210.799	-211.601	-208.27
117	P05035237	-209.27	-209.257	-212.11
118	P05656096	-226.904	-239.792	-241.747
119	P05656096	-238.659	-261.714	-259.654
120	P05656096	-230.107	-244.638	-248.271
121	P05858866	-219.144	-223.435	-221.348
122	P05858866	-220.64	-225.571	-224.381
123	P05858866	-219.3	-217.875	-221.94
124	P06164581	-249.07	-264.652	-268.585
125	P06164581	-309.011	-318.797	-319.837
126	P06164581	-307.084	-318.492	-317.331
127	P06461021	-203.906	-206.64	-211.393
128	P06461021	-281.266	-302.509	-309.913
129	P06461021	-194.85	-202.305	-206.315
130	P07179005	-255.39	-272.443	-273.256
