compoundId	compound	AnnapuRNA Score:RF_modern	AnnapuRNA Score:kNN_basic	AnnapuRNA Score:kNN_modern	score:LigandRNA-basic	score:LigandRNA-modern	title	score:rDock-dock_solv	score:rf-score-vs	target	pdb
1	1	-204.329	-224.195	-223.468	-4556.44	-4436.13	1	-58.6259	-6	tpp	4NYA
2	1	-203.822	-224.31	-223.295	-4565.19	-4443.15	1	-58.5016	-6	tpp	4NYA
3	1	-203.564	-224.754	-224.152	-4565.19	-4443.15	1	-58.1726	-6	tpp	4NYA
4	11P	-203.617	-219.414	-220.422	-2038.49	-1996.14	11P	-72.1835	-6	tpp	4NYA
5	11P	-179.136	-195.732	-195.733	-2052.24	-2000.73	11P	-70.6823	-6	tpp	4NYA
6	11P	-181.692	-203.173	-204.601	-1967.87	-1934.56	11P	-69.8063	-6	tpp	4NYA
7	12a	-216.229	-222.797	-230.713	-1111.48	-1079.71	12a	-62.3449	-6	tpp	4NYA
8	12a	-216.264	-231.565	-236.57	-981.37	-959.5	12a	-61.9745	-6	tpp	4NYA
9	12a	-252.316	-287.858	-281.315	-1624.96	-1592.65	12a	-61.2386	-6	tpp	4NYA
10	13a	-251.955	-284.288	-282.14	-1693.95	-1647.33	13a	-65.0161	-6	tpp	4NYA
11	13a	-247.095	-290.747	-287.783	-1632.19	-1588.49	13a	-64.6724	-6	tpp	4NYA
12	13a	-243.946	-277.741	-280.403	-1506.52	-1495.98	13a	-62.8887	-6	tpp	4NYA
13	14	-243.789	-269.512	-268.064	-3981.19	-3922.32	14	-60.9877	-5	tpp	4NYA
14	14	-242.635	-267.395	-266.774	-4014.41	-3944.76	14	-60.9589	-5	tpp	4NYA
15	14	-244.526	-269.143	-268.73	-3981.19	-3922.32	14	-60.7121	-5	tpp	4NYA
16	14a	-238.671	-269.603	-268.304	-1603.85	-1560.94	14a	-62.9654	-6	tpp	4NYA
17	14a	-226.687	-267.404	-263.934	-1480.69	-1431.01	14a	-62.8708	-6	tpp	4NYA
18	14a	-181.44	-193.614	-194.476	-759.13	-750.93	14a	-61.8578	-6	tpp	4NYA
19	15	-194.556	-215.402	-211.028	-1833.54	-1779.15	15	-63.4075	-6	tpp	4NYA
20	15	-195.232	-215.771	-212.308	-1838.13	-1783.82	15	-62.8155	-6	tpp	4NYA
21	15	-195.767	-215.161	-211.287	-2004.5	-1950.67	15	-62.6715	-6	tpp	4NYA
22	15b	-279.044	-299.608	-292.454	-818.75	-779.68	15b	-62.1896	-6	tpp	4NYA
23	15b	-325.368	-340.793	-347.322	74.32	114.06	15b	-57.308	-6	tpp	4NYA
24	15b	-297.022	-310.847	-317.805	-393.66	-354.57	15b	-54.4679	-6	tpp	4NYA
25	16	-130.486	-156.046	-151.464	-3274.23	-3137.13	16	-66.276	-6	tpp	4NYA
26	16	-127.842	-152.512	-149.609	-3278.39	-3144.09	16	-66.2449	-6	tpp	4NYA
27	16	-126.211	-150.465	-147.595	-3240.47	-3104.62	16	-65.5727	-6	tpp	4NYA
28	16b	-244.505	-263.514	-266.17	-1073.93	-1033.72	16b	-62.0094	-6	tpp	4NYA
29	16b	-276.144	-311.553	-307.648	-1285.71	-1241.1	16b	-61.9998	-6	tpp	4NYA
30	16b	-310.63	-336.353	-343.322	-1105.69	-1069.05	16b	-59.5713	-6	tpp	4NYA
31	17	-252.446	-275.784	-286.71	-4250.26	-4124.08	17	-56.4898	-5	tpp	4NYA
32	17	-247.599	-267.66	-278.045	-4329.15	-4212.6	17	-56.4071	-5	tpp	4NYA
33	17	-246.31	-268.08	-277.487	-4305.1	-4188.6	17	-56.2476	-6	tpp	4NYA
34	17a	-208.154	-238.861	-241.046	-1235.34	-1228.27	17a	-62.2615	-6	tpp	4NYA
35	17a	-206.874	-237.554	-235.51	-1360.72	-1348.55	17a	-57.1621	-6	tpp	4NYA
36	17a	-223.15	-257.206	-257.231	-1428.59	-1411.72	17a	-56.5425	-6	tpp	4NYA
37	18a	-260.835	-286.84	-280.028	-2246.08	-2163.94	18a	-65.7046	-6	tpp	4NYA
38	18a	-257.759	-286.963	-281.956	-2137.36	-2068.16	18a	-64.2653	-5	tpp	4NYA
39	18a	-244.047	-259.362	-261.05	-1633.39	-1537.51	18a	-64.0973	-6	tpp	4NYA
40	2	-242.983	-269.093	-268.137	-3056.22	-2999.72	2	-68.3334	-5	tpp	4NYA
41	2	-243.104	-270.652	-270.149	-3082.08	-3021.75	2	-65.9372	-5	tpp	4NYA
42	2	-244.453	-271.404	-270.979	-3129.89	-3076.15	2	-65.7753	-5	tpp	4NYA
43	20	-213.152	-244.19	-234.678	-2399.12	-2282.17	20	-60.4305	-6	tpp	4NYA
44	20	-204.752	-236.136	-224.955	-2513.71	-2395.1	20	-60.2611	-6	tpp	4NYA
45	20	-204.759	-220.071	-221.598	-2005.91	-1878.96	20	-59.8114	-6	tpp	4NYA
46	20a	-217.917	-233.779	-237.053	-1174.01	-1155.3	20a	-71.6527	-6	tpp	4NYA
47	20a	-226.445	-247.808	-256.349	-1227.37	-1193.71	20a	-68.7682	-6	tpp	4NYA
48	20a	-229.985	-236.898	-243.141	-1145.24	-1119.63	20a	-67.1147	-6	tpp	4NYA
49	21a	-249.751	-266.298	-273.576	-1046.59	-1001.15	21a	-70.8827	-6	tpp	4NYA
50	21a	-249.965	-260.394	-268.753	-1094.04	-1066.69	21a	-70.501	-6	tpp	4NYA
51	21a	-257.971	-282.56	-280.838	-1624.17	-1581.56	21a	-70.2868	-6	tpp	4NYA
52	22	-244.372	-270.945	-265.361	-2950.87	-2863.66	22	-63.7814	-5	tpp	4NYA
53	22	-242.809	-270.367	-264.861	-2950.87	-2863.66	22	-62.0234	-5	tpp	4NYA
54	22	-244.528	-270.708	-265.699	-2954.14	-2866.62	22	-61.523	-5	tpp	4NYA
55	25	-209.099	-238.449	-235.794	-2888.1	-2815.56	25	-62.0381	-6	tpp	4NYA
56	25	-216.759	-243.831	-242.281	-2937.78	-2857.09	25	-61.6033	-6	tpp	4NYA
57	25	-213.07	-242.826	-238.251	-2877.38	-2800.59	25	-61.5895	-6	tpp	4NYA
58	2M	-213.825	-222.615	-224.03	-919.13	-855.04	2M	-58.7392	-6	tpp	4NYA
59	2M	-220.152	-224.489	-229.702	-845.98	-787.46	2M	-58.4813	-6	tpp	4NYA
60	2M	-223.897	-238.905	-239.104	-774.32	-725.4	2M	-57.4077	-6	tpp	4NYA
61	2b	-217.636	-234.614	-240.442	-1644.28	-1564.36	2b	-69.1704	-6	tpp	4NYA
62	2b	-264.668	-292.111	-289.733	-2408.53	-2310.56	2b	-65.6073	-6	tpp	4NYA
63	2b	-265.838	-295.633	-292.472	-2352.1	-2253.75	2b	-64.4915	-6	tpp	4NYA
64	3	-264.221	-295.442	-289.321	-3573.55	-3449.38	3	-68.1797	-6	tpp	4NYA
65	3	-255.893	-291.502	-284.254	-3563.34	-3435.69	3	-68.1217	-6	tpp	4NYA
66	3	-254.603	-290.594	-283.995	-3563.34	-3435.69	3	-67.9035	-6	tpp	4NYA
67	3T	-219.51	-245.027	-241.829	-429.92	-319.17	3T	-61.9366	-6	tpp	4NYA
68	3T	-215.985	-240.647	-239.509	-509.48	-400.71	3T	-58.9829	-6	tpp	4NYA
69	3T	-226.792	-245.146	-243.428	-1079.0	-1014.04	3T	-58.5494	-6	tpp	4NYA
70	4	-209.646	-239.247	-230.067	-2875.19	-2746.19	4	-59.7751	-6	tpp	4NYA
71	4	-234.864	-264.971	-261.102	-3331.91	-3180.05	4	-59.2762	-6	tpp	4NYA
72	4	-203.016	-226.326	-221.716	-2387.56	-2285.53	4	-59.1347	-6	tpp	4NYA
