compoundId	compound	AnnapuRNA Score:RF_modern	AnnapuRNA Score:kNN_basic	AnnapuRNA Score:kNN_modern
1	1	-204.329	-224.195	-223.468
2	1	-203.822	-224.31	-223.295
3	1	-203.564	-224.754	-224.152
4	11P	-203.617	-219.414	-220.422
5	11P	-179.136	-195.732	-195.733
6	11P	-181.692	-203.173	-204.601
7	12a	-216.229	-222.797	-230.713
8	12a	-216.264	-231.565	-236.57
9	12a	-252.316	-287.858	-281.315
10	13a	-251.955	-284.288	-282.14
11	13a	-247.095	-290.747	-287.783
12	13a	-243.946	-277.741	-280.403
13	14	-243.789	-269.512	-268.064
14	14	-242.635	-267.395	-266.774
15	14	-244.526	-269.143	-268.73
16	14a	-238.671	-269.603	-268.304
17	14a	-226.687	-267.404	-263.934
18	14a	-181.44	-193.614	-194.476
19	15	-194.556	-215.402	-211.028
20	15	-195.232	-215.771	-212.308
21	15	-195.767	-215.161	-211.287
22	15b	-279.044	-299.608	-292.454
23	15b	-325.368	-340.793	-347.322
24	15b	-297.022	-310.847	-317.805
25	16	-130.486	-156.046	-151.464
26	16	-127.842	-152.512	-149.609
27	16	-126.211	-150.465	-147.595
28	16b	-244.505	-263.514	-266.17
29	16b	-276.144	-311.553	-307.648
30	16b	-310.63	-336.353	-343.322
31	17	-252.446	-275.784	-286.71
32	17	-247.599	-267.66	-278.045
33	17	-246.31	-268.08	-277.487
34	17a	-208.154	-238.861	-241.046
35	17a	-206.874	-237.554	-235.51
36	17a	-223.15	-257.206	-257.231
37	18a	-260.835	-286.84	-280.028
38	18a	-257.759	-286.963	-281.956
39	18a	-244.047	-259.362	-261.05
40	2	-242.983	-269.093	-268.137
41	2	-243.104	-270.652	-270.149
42	2	-244.453	-271.404	-270.979
43	20	-213.152	-244.19	-234.678
44	20	-204.752	-236.136	-224.955
45	20	-204.759	-220.071	-221.598
46	20a	-217.917	-233.779	-237.053
47	20a	-226.445	-247.808	-256.349
48	20a	-229.985	-236.898	-243.141
49	21a	-249.751	-266.298	-273.576
50	21a	-249.965	-260.394	-268.753
51	21a	-257.971	-282.56	-280.838
52	22	-244.372	-270.945	-265.361
53	22	-242.809	-270.367	-264.861
54	22	-244.528	-270.708	-265.699
55	25	-209.099	-238.449	-235.794
