compoundId	compound	AnnapuRNA Score:RF_modern	AnnapuRNA Score:kNN_basic	AnnapuRNA Score:kNN_modern	score:LigandRNA-basic	score:LigandRNA-modern	title	score:rDock-dock_solv	score:rf-score-vs	target	pdb
1	1	-231.356	-258.223	-253.667	-5266.73	-5115.82	1	-74.4436	-6	tpp	4NYD
2	1	-231.154	-256.829	-252.446	-5222.71	-5069.42	1	-74.1547	-6	tpp	4NYD
3	1	-231.43	-258.326	-254.682	-5266.73	-5115.82	1	-72.8066	-6	tpp	4NYD
4	11P	-190.947	-215.194	-211.103	-2184.26	-2145.43	11P	-75.0974	-6	tpp	4NYD
5	11P	-206.479	-230.071	-232.005	-2457.88	-2423.01	11P	-75.0067	-6	tpp	4NYD
6	11P	-185.844	-207.804	-207.211	-2348.78	-2304.41	11P	-72.0664	-6	tpp	4NYD
7	12a	-268.957	-275.41	-287.755	-1732.46	-1700.82	12a	-74.0535	-6	tpp	4NYD
8	12a	-234.233	-248.489	-257.812	-1492.08	-1443.01	12a	-73.3904	-6	tpp	4NYD
9	12a	-253.914	-272.442	-277.947	-1859.86	-1822.03	12a	-69.6035	-6	tpp	4NYD
10	13a	-247.39	-271.297	-276.571	-1735.94	-1708.5	13a	-74.8103	-6	tpp	4NYD
11	13a	-244.987	-271.141	-275.077	-1595.52	-1569.05	13a	-70.6056	-6	tpp	4NYD
12	13a	-270.608	-275.388	-286.515	-1641.45	-1605.55	13a	-69.4386	-6	tpp	4NYD
13	14	-254.472	-266.747	-269.367	-4705.11	-4612.26	14	-71.2199	-5	tpp	4NYD
14	14	-253.845	-266.643	-269.646	-4600.24	-4505.11	14	-68.723	-5	tpp	4NYD
15	14	-245.327	-269.861	-267.715	-4638.99	-4543.79	14	-68.4325	-5	tpp	4NYD
16	14a	-183.468	-189.459	-199.223	-1092.24	-1053.5	14a	-61.0596	-6	tpp	4NYD
17	14a	-180.231	-192.559	-194.944	-1010.52	-975.74	14a	-60.9215	-6	tpp	4NYD
18	14a	-231.32	-243.725	-243.953	-1491.36	-1460.09	14a	-60.3742	-6	tpp	4NYD
19	15	-199.235	-223.108	-220.586	-3414.25	-3298.74	15	-70.6071	-6	tpp	4NYD
20	15	-200.39	-226.845	-222.099	-3400.17	-3283.09	15	-70.1923	-6	tpp	4NYD
21	15	-200.281	-226.508	-221.979	-3403.13	-3284.79	15	-70.1568	-6	tpp	4NYD
22	15b	-323.374	-343.939	-353.369	-561.55	-533.46	15b	-57.522	-6	tpp	4NYD
23	15b	-336.997	-359.515	-359.667	-628.88	-606.46	15b	-56.2241	-6	tpp	4NYD
24	15b	-303.777	-340.115	-335.627	-360.64	-354.8	15b	-52.6054	-6	tpp	4NYD
25	16	-128.329	-153.645	-149.542	-3396.93	-3252.78	16	-75.4348	-6	tpp	4NYD
26	16	-129.009	-152.936	-150.148	-3451.68	-3307.29	16	-72.7742	-6	tpp	4NYD
27	16	-134.18	-157.035	-152.579	-3685.0	-3532.97	16	-71.9603	-6	tpp	4NYD
28	16b	-295.252	-307.306	-317.629	-1222.39	-1185.49	16b	-64.1793	-6	tpp	4NYD
29	16b	-286.398	-300.053	-308.238	-1196.5	-1175.8	16b	-64.0527	-6	tpp	4NYD
30	16b	-288.159	-301.045	-314.288	-1209.03	-1189.18	16b	-63.3858	-6	tpp	4NYD
31	17	-263.514	-279.092	-289.379	-4694.75	-4565.85	17	-64.748	-6	tpp	4NYD
32	17	-266.136	-270.5	-278.524	-4696.23	-4570.11	17	-64.6609	-5	tpp	4NYD
