compoundId	compound	AnnapuRNA Score:RF_modern	AnnapuRNA Score:kNN_basic	AnnapuRNA Score:kNN_modern
1	1	-231.356	-258.223	-253.667
2	1	-231.154	-256.829	-252.446
3	1	-231.43	-258.326	-254.682
4	11P	-190.947	-215.194	-211.103
5	11P	-206.479	-230.071	-232.005
6	11P	-185.844	-207.804	-207.211
7	12a	-268.957	-275.41	-287.755
8	12a	-234.233	-248.489	-257.812
9	12a	-253.914	-272.442	-277.947
10	13a	-247.39	-271.297	-276.571
11	13a	-244.987	-271.141	-275.077
12	13a	-270.608	-275.388	-286.515
13	14	-254.472	-266.747	-269.367
14	14	-253.845	-266.643	-269.646
15	14	-245.327	-269.861	-267.715
16	14a	-183.468	-189.459	-199.223
17	14a	-180.231	-192.559	-194.944
18	14a	-231.32	-243.725	-243.953
19	15	-199.235	-223.108	-220.586
20	15	-200.39	-226.845	-222.099
21	15	-200.281	-226.508	-221.979
22	15b	-323.374	-343.939	-353.369
23	15b	-336.997	-359.515	-359.667
24	15b	-303.777	-340.115	-335.627
25	16	-128.329	-153.645	-149.542
26	16	-129.009	-152.936	-150.148
27	16	-134.18	-157.035	-152.579
28	16b	-295.252	-307.306	-317.629
29	16b	-286.398	-300.053	-308.238
30	16b	-288.159	-301.045	-314.288
31	17	-263.514	-279.092	-289.379
32	17	-266.136	-270.5	-278.524
33	17	-267.154	-296.331	-295.243
34	17a	-216.193	-226.453	-228.317
35	17a	-231.24	-241.636	-250.835
36	17a	-230.477	-242.087	-243.449
37	18a	-236.67	-245.201	-251.521
38	18a	-240.93	-256.653	-260.501
39	18a	-234.47	-255.546	-257.239
40	2	-270.511	-296.481	-291.484
41	2	-251.031	-276.424	-277.87
42	2	-276.535	-311.039	-306.218
43	20	-218.278	-242.362	-237.326
44	20	-213.226	-236.882	-228.518
45	20	-222.841	-251.641	-241.454
46	20a	-261.331	-286.375	-286.408
47	20a	-266.551	-290.829	-297.466
48	20a	-263.324	-286.656	-291.751
49	21a	-268.508	-284.062	-295.881
50	21a	-286.977	-299.428	-300.844
51	21a	-285.813	-306.251	-313.286
52	22	-220.215	-230.775	-231.652
53	22	-220.702	-231.222	-233.42
54	22	-221.579	-229.911	-233.933
55	25	-197.261	-205.15	-208.517
56	25	-206.869	-231.593	-229.08
57	25	-205.544	-230.387	-228.038
58	2M	-233.738	-250.139	-254.101
59	2M	-236.148	-260.23	-262.168
60	2M	-261.345	-275.141	-291.552
61	2b	-229.692	-244.649	-246.229
62	2b	-237.443	-255.449	-255.918
63	2b	-236.209	-253.125	-253.68
64	3	-272.378	-289.662	-290.506
65	3	-272.77	-290.236	-288.945
66	3	-269.304	-290.66	-290.197
67	3T	-236.225	-257.349	-260.603
68	3T	-250.355	-273.806	-276.151
69	3T	-248.995	-267.417	-268.483
70	4	-224.139	-249.747	-236.911
71	4	-224.515	-249.622	-236.705
72	4	-216.733	-243.689	-231.571
73	4P	-254.62	-272.398	-278.448
74	4P	-258.591	-273.816	-272.74
75	4P	-275.557	-293.024	-296.083
76	4b	-242.227	-265.982	-267.273
77	4b	-251.0	-269.488	-271.663
78	4b	-187.335	-208.333	-208.459
79	5	-128.62	-143.702	-139.519
80	5	-133.842	-147.551	-146.93
81	5	-130.866	-147.98	-140.182
82	5b	-226.358	-255.729	-254.642
83	5b	-263.815	-282.317	-283.669
84	5b	-251.629	-267.437	-268.702
85	6	-230.97	-260.456	-251.589
86	6	-234.639	-259.822	-250.18
87	6	-231.594	-258.151	-248.026
88	7	-187.273	-206.892	-204.243
89	7	-188.935	-205.701	-203.198
90	7	-186.664	-202.979	-201.905
91	8	-184.053	-191.431	-196.151
92	8	-189.776	-213.31	-207.167
93	8	-186.617	-210.286	-207.676
94	8T	-216.105	-230.68	-238.296
95	8T	-215.518	-239.209	-241.507
96	8T	-217.831	-235.817	-232.778
97	9	-249.708	-278.225	-270.533
98	9	-248.605	-278.735	-271.012
99	9	-243.066	-268.473	-263.219
100	P04539307	-337.74	-362.901	-370.613
101	P04539307	-310.382	-337.574	-343.526
102	P04539307	-324.807	-355.302	-356.386
103	P04583748	-266.483	-293.068	-293.66
104	P04583748	-267.143	-294.48	-294.594
105	P04583748	-266.663	-291.817	-292.968
106	P04652496	-265.011	-292.643	-293.721
107	P04652496	-264.954	-293.031	-294.704
108	P04652496	-263.923	-292.653	-295.228
109	P04652560	-276.775	-300.563	-299.545
110	P04652560	-279.145	-308.465	-307.432
111	P04652560	-279.869	-301.289	-303.316
112	P04835579	-271.612	-295.415	-293.083
113	P04835579	-268.498	-297.437	-300.831
