name;model_type;AUROC;train_time;target;Fingerprint type;poses;interactions;cvtype;preprocessing;postprocessing
Baseline;Baseline;0.4824099722991689;2.76;Adenine;FULL;3 top poses;Basic+extended;3cv;None;None
Baseline;Baseline;0.4833333333333334;2.9;GuanineC74U;FULL;3 top poses;Basic+extended;3cv;None;None
Baseline;Baseline;0.4833333333333334;4.29;FMN;FULL;3 top poses;Basic+extended;3cv;None;None
Baseline;Baseline;0.4997744700045106;2.3;HIV-1 TAR;FULL;3 top poses;Basic+extended;3cv;None;None
Baseline;Baseline;0.4997792494481236;4.85;TPP;FULL;3 top poses;Basic+extended;3cv;None;None
Baseline;Baseline;0.4997792494481236;3.09;Guanine;FULL;3 top poses;Basic+extended;3cv;None;None
DecisionTree;Decision Tree;0.6373666666666667;4.2;FMN;FULL;3 top poses;Basic+extended;3cv;None;None
DecisionTree;Decision Tree;0.6980132450331126;3.49;Guanine;FULL;3 top poses;Basic+extended;3cv;None;None
DecisionTree;Decision Tree;0.7036423094271539;2.85;HIV-1 TAR;FULL;3 top poses;Basic+extended;3cv;None;None
Xgboost, SelectedFeatures;Xgboost;0.7603185595567867;3.46;Adenine;FULL;3 top poses;Basic+extended;3cv;SelectedFeatures;None
Xgboost, SelectedFeatures;Xgboost;0.7606540084388186;3.05;GuanineC74U;FULL;3 top poses;Basic+extended;3cv;SelectedFeatures;None
Xgboost;Xgboost;0.7652601969057665;3.6;GuanineC74U;FULL;3 top poses;Basic+extended;3cv;None;None
Xgboost, Stacked;Xgboost;0.7653739612188365;4.05;Adenine;FULL;3 top poses;Basic+extended;3cv;None;Stacked
CatBoost, SelectedFeatures, Stacked;CatBoost;0.7686400541271988;5.46;HIV-1 TAR;FULL;3 top poses;Basic+extended;3cv;SelectedFeatures;Stacked
Xgboost, SelectedFeatures, Stacked;Xgboost;0.7849797023004059;4.92;HIV-1 TAR;FULL;3 top poses;Basic+extended;3cv;SelectedFeatures;Stacked
CatBoost;CatBoost;0.7923996391520073;9.77;HIV-1 TAR;FULL;3 top poses;Basic+extended;3cv;None;None
Xgboost, Stacked;Xgboost;0.7927215189873418;5.58;GuanineC74U;FULL;3 top poses;Basic+extended;3cv;None;Stacked
Xgboost;Xgboost;0.7981957600360848;3.89;HIV-1 TAR;FULL;3 top poses;Basic+extended;3cv;None;None
Xgboost, SelectedFeatures, Stacked;Xgboost;0.8082278481012658;4.95;GuanineC74U;FULL;3 top poses;Basic+extended;3cv;SelectedFeatures;Stacked
LightGBM, Stacked;LightGBM;0.825935949481281;6.36;HIV-1 TAR;FULL;3 top poses;Basic+extended;3cv;None;Stacked
ExtraTrees, Stacked;Extra Trees;0.826364456472711;11.84;HIV-1 TAR;FULL;3 top poses;Basic+extended;3cv;None;Stacked
RandomForest;Random Forest;0.829679747406405;9.86;HIV-1 TAR;FULL;3 top poses;Basic+extended;3cv;None;None
Xgboost, SelectedFeatures;Xgboost;0.8360058637798826;4.07;HIV-1 TAR;FULL;3 top poses;Basic+extended;3cv;SelectedFeatures;None
ExtraTrees;Extra Trees;0.8419034731619306;7.82;HIV-1 TAR;FULL;3 top poses;Basic+extended;3cv;None;None
Xgboost, Stacked;Xgboost;0.8460193955796123;5.75;HIV-1 TAR;FULL;3 top poses;Basic+extended;3cv;None;Stacked
LightGBM, SelectedFeatures, Stacked;LightGBM;0.8521989174560217;4.33;HIV-1 TAR;FULL;3 top poses;Basic+extended;3cv;SelectedFeatures;Stacked
RandomForest, SelectedFeatures;Random Forest;0.8579333333333334;5.65;FMN;FULL;3 top poses;Basic+extended;3cv;SelectedFeatures;None
CatBoost, Stacked;CatBoost;0.8620884077582318;11.43;HIV-1 TAR;FULL;3 top poses;Basic+extended;3cv;None;Stacked
DecisionTree;Decision Tree;0.8715562913907287;5.12;TPP;FULL;3 top poses;Basic+extended;3cv;None;None
RandomForest, Stacked;Random Forest;0.8740753270184934;6.71;HIV-1 TAR;FULL;3 top poses;Basic+extended;3cv;None;Stacked
ExtraTrees, SelectedFeatures;Extra Trees;0.8762065854758683;5.85;HIV-1 TAR;FULL;3 top poses;Basic+extended;3cv;SelectedFeatures;None
RandomForest, SelectedFeatures;Random Forest;0.8864005412719892;6.72;HIV-1 TAR;FULL;3 top poses;Basic+extended;3cv;SelectedFeatures;None
CatBoost, SelectedFeatures;CatBoost;0.8927266576454669;4.17;HIV-1 TAR;FULL;3 top poses;Basic+extended;3cv;SelectedFeatures;None
Xgboost, Stacked;Xgboost;0.8948;6.06;FMN;FULL;3 top poses;Basic+extended;3cv;None;Stacked
Xgboost;Xgboost;0.8954746136865342;6.46;TPP;FULL;3 top poses;Basic+extended;3cv;None;None
LightGBM;LightGBM;0.8988836265223275;4.16;HIV-1 TAR;FULL;3 top poses;Basic+extended;3cv;None;None
Xgboost;Xgboost;0.9001333333333333;5.47;FMN;FULL;3 top poses;Basic+extended;3cv;None;None
Xgboost, SelectedFeatures;Xgboost;0.9039333333333333;4.08;FMN;FULL;3 top poses;Basic+extended;3cv;SelectedFeatures;None
ExtraTrees, SelectedFeatures, Stacked;Extra Trees;0.9056833558863328;6.73;HIV-1 TAR;FULL;3 top poses;Basic+extended;3cv;SelectedFeatures;Stacked
RandomForest, SelectedFeatures, Stacked;Random Forest;0.9148398737032026;6.06;HIV-1 TAR;FULL;3 top poses;Basic+extended;3cv;SelectedFeatures;Stacked
LightGBM, SelectedFeatures;LightGBM;0.917850699142986;4.4;HIV-1 TAR;FULL;3 top poses;Basic+extended;3cv;SelectedFeatures;None
CatBoost, SelectedFeatures, Stacked;CatBoost;0.9182;4.72;FMN;FULL;3 top poses;Basic+extended;3cv;SelectedFeatures;Stacked
Xgboost, SelectedFeatures;Xgboost;0.91841059602649;5.05;TPP;FULL;3 top poses;Basic+extended;3cv;SelectedFeatures;None
Xgboost, SelectedFeatures, Stacked;Xgboost;0.9273333333333336;4.15;FMN;FULL;3 top poses;Basic+extended;3cv;SelectedFeatures;Stacked
RandomForest;Random Forest;0.9327;11.05;FMN;FULL;3 top poses;Basic+extended;3cv;None;None
CatBoost, Stacked;CatBoost;0.9346666666666668;11.47;FMN;FULL;3 top poses;Basic+extended;3cv;None;Stacked
Xgboost, SelectedFeatures;Xgboost;0.9383222958057396;3.69;Guanine;FULL;3 top poses;Basic+extended;3cv;SelectedFeatures;None
RandomForest, Stacked;Random Forest;0.9384349030470914;7.48;Adenine;FULL;3 top poses;Basic+extended;3cv;None;Stacked
RandomForest, SelectedFeatures, Stacked;Random Forest;0.93898891966759;6.44;Adenine;FULL;3 top poses;Basic+extended;3cv;SelectedFeatures;Stacked
Xgboost, Stacked;Xgboost;0.941523178807947;5.16;Guanine;FULL;3 top poses;Basic+extended;3cv;None;Stacked
RandomForest, SelectedFeatures;Random Forest;0.9447368421052632;6.28;Adenine;FULL;3 top poses;Basic+extended;3cv;SelectedFeatures;None
CatBoost, SelectedFeatures;CatBoost;0.9542333333333334;4.67;FMN;FULL;3 top poses;Basic+extended;3cv;SelectedFeatures;None
LightGBM, SelectedFeatures;LightGBM;0.9556;4.39;FMN;FULL;3 top poses;Basic+extended;3cv;SelectedFeatures;None
Xgboost;Xgboost;0.9571633554083886;5.28;Guanine;FULL;3 top poses;Basic+extended;3cv;None;None
LightGBM, SelectedFeatures, Stacked;LightGBM;0.9579333333333332;4.41;FMN;FULL;3 top poses;Basic+extended;3cv;SelectedFeatures;Stacked
LightGBM, SelectedFeatures;LightGBM;0.9589403973509936;4.43;Guanine;FULL;3 top poses;Basic+extended;3cv;SelectedFeatures;None
Xgboost, Stacked;Xgboost;0.960242825607064;8.37;TPP;FULL;3 top poses;Basic+extended;3cv;None;Stacked
DecisionTree;Decision Tree;0.9614978902953586;2.67;GuanineC74U;FULL;3 top poses;Basic+extended;3cv;None;None
DecisionTree;Decision Tree;0.9628808864265928;2.97;Adenine;FULL;3 top poses;Basic+extended;3cv;None;None
ExtraTrees, SelectedFeatures;Extra Trees;0.9632666666666668;5.36;FMN;FULL;3 top poses;Basic+extended;3cv;SelectedFeatures;None
Xgboost, SelectedFeatures, Stacked;Xgboost;0.9704986149584488;3.37;Adenine;FULL;3 top poses;Basic+extended;3cv;SelectedFeatures;Stacked
LightGBM;LightGBM;0.9716004415011036;7.01;TPP;FULL;3 top poses;Basic+extended;3cv;None;None
Xgboost, SelectedFeatures, Stacked;Xgboost;0.9726490066225164;3.92;Guanine;FULL;3 top poses;Basic+extended;3cv;SelectedFeatures;Stacked
LightGBM, SelectedFeatures, Stacked;LightGBM;0.973421633554084;3.87;Guanine;FULL;3 top poses;Basic+extended;3cv;SelectedFeatures;Stacked
RandomForest, SelectedFeatures, Stacked;Random Forest;0.9738631346578368;6.61;Guanine;FULL;3 top poses;Basic+extended;3cv;SelectedFeatures;Stacked
RandomForest;Random Forest;0.974168975069252;6.15;Adenine;FULL;3 top poses;Basic+extended;3cv;None;None
RandomForest, SelectedFeatures;Random Forest;0.9749116997792496;6.13;Guanine;FULL;3 top poses;Basic+extended;3cv;SelectedFeatures;None
ExtraTrees;Extra Trees;0.975121412803532;12.43;TPP;FULL;3 top poses;Basic+extended;3cv;None;None
LightGBM;LightGBM;0.9757383966244728;4.59;GuanineC74U;FULL;3 top poses;Basic+extended;3cv;None;None
LightGBM, Stacked;LightGBM;0.9762666666666664;6.31;FMN;FULL;3 top poses;Basic+extended;3cv;None;Stacked
RandomForest, SelectedFeatures;Random Forest;0.9767991169977924;6.93;TPP;FULL;3 top poses;Basic+extended;3cv;SelectedFeatures;None
RandomForest;Random Forest;0.9772406181015452;11.59;TPP;FULL;3 top poses;Basic+extended;3cv;None;None
CatBoost;CatBoost;0.977262693156733;11.51;TPP;FULL;3 top poses;Basic+extended;3cv;None;None
CatBoost, Stacked;CatBoost;0.9802207505518764;10.4;TPP;FULL;3 top poses;Basic+extended;3cv;None;Stacked
ExtraTrees, SelectedFeatures;Extra Trees;0.9803863134657838;7.13;TPP;FULL;3 top poses;Basic+extended;3cv;SelectedFeatures;None
RandomForest, Stacked;Random Forest;0.9809333333333332;10.59;FMN;FULL;3 top poses;Basic+extended;3cv;None;Stacked
LightGBM, Stacked;LightGBM;0.980971302428256;6.65;TPP;FULL;3 top poses;Basic+extended;3cv;None;Stacked
CatBoost, Stacked;CatBoost;0.9812236286919832;8.09;GuanineC74U;FULL;3 top poses;Basic+extended;3cv;None;Stacked
LightGBM, SelectedFeatures;LightGBM;0.9812582781456952;6.94;TPP;FULL;3 top poses;Basic+extended;3cv;SelectedFeatures;None
RandomForest, SelectedFeatures, Stacked;Random Forest;0.9817;6.88;FMN;FULL;3 top poses;Basic+extended;3cv;SelectedFeatures;Stacked
LightGBM;LightGBM;0.9825333333333334;6.93;FMN;FULL;3 top poses;Basic+extended;3cv;None;None
CatBoost, SelectedFeatures;CatBoost;0.9826490066225164;4.17;Guanine;FULL;3 top poses;Basic+extended;3cv;SelectedFeatures;None
RandomForest, Stacked;Random Forest;0.9829028697571744;9.2;Guanine;FULL;3 top poses;Basic+extended;3cv;None;Stacked
ExtraTrees, Stacked;Extra Trees;0.9832;9.92;FMN;FULL;3 top poses;Basic+extended;3cv;None;Stacked
Xgboost, SelectedFeatures, Stacked;Xgboost;0.9833885209713024;5.38;TPP;FULL;3 top poses;Basic+extended;3cv;SelectedFeatures;Stacked
LightGBM, SelectedFeatures, Stacked;LightGBM;0.9866004415011038;5.47;TPP;FULL;3 top poses;Basic+extended;3cv;SelectedFeatures;Stacked
LightGBM, SelectedFeatures;LightGBM;0.9871883656509696;3.6;Adenine;FULL;3 top poses;Basic+extended;3cv;SelectedFeatures;None
LightGBM;LightGBM;0.9875055187637968;5.64;Guanine;FULL;3 top poses;Basic+extended;3cv;None;None
ExtraTrees;Extra Trees;0.9876;8.77;FMN;FULL;3 top poses;Basic+extended;3cv;None;None
LightGBM, SelectedFeatures;LightGBM;0.9878340365682138;3.69;GuanineC74U;FULL;3 top poses;Basic+extended;3cv;SelectedFeatures;None
RandomForest, Stacked;Random Forest;0.988476821192053;13.66;TPP;FULL;3 top poses;Basic+extended;3cv;None;Stacked
CatBoost, SelectedFeatures, Stacked;CatBoost;0.9886092715231788;8.91;TPP;FULL;3 top poses;Basic+extended;3cv;SelectedFeatures;Stacked
