@relation InstanceResultListener

@attribute Key_Dataset {FMN,adenine,guanine,guanineC74U,HIV,TPP}
@attribute Key_Run {1,2,3}
@attribute Key_Fold {1,2,3}
@attribute Key_Scheme {weka.classifiers.bayes.NaiveBayes,weka.classifiers.functions.SMO,weka.classifiers.lazy.KStar,weka.classifiers.lazy.IBk,weka.classifiers.trees.J48,weka.classifiers.trees.RandomTree,weka.classifiers.rules.DecisionTable,weka.classifiers.functions.Logistic}
@attribute Key_Scheme_options {'','-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"','-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 250007 -G 0.01\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"','-B 20 -M a','-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 5 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-C 0.25 -M 2','-K 0 -M 1.0 -V 0.001 -S 1','-X 1 -S \"weka.attributeSelection.BestFirst -D 1 -N 5\"','-R 1.0E-8 -M -1 -num-decimal-places 4'}
@attribute Key_Scheme_version_ID {5995231201785697655,-6585883636378691736,332458330800479083,-3080186098777067172,-217733168393644444,-9051119597407396024,2888557078165701326,3932117032546553727}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 4\nSize of the tree: 7\n','Number of leaves: 6\nSize of the tree: 11\n','Number of leaves: 5\nSize of the tree: 9\n','Number of leaves: 3\nSize of the tree: 5\n','Number of leaves: 7\nSize of the tree: 13\n','Number of leaves: 8\nSize of the tree: 15\n','Number of leaves: 9\nSize of the tree: 17\n','Number of leaves: 10\nSize of the tree: 19\n','Number of leaves: 14\nSize of the tree: 27\n','Number of leaves: 11\nSize of the tree: 21\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

FMN,1,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20230301.1541,510,255,0,0,255,0,0,100,1,?,?,?,?,0,0,0,0,?,?,0,?,?,?,0,?,0,?,0,?,0,?,?,?,?,0.5,0.019608,?,?,?,?,?,?,?,?,?,?,?,?,0.132,0.358,0.13,0.33,130,330,1491632,29940720,15210645,0,0,?,?,?,?
FMN,1,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20230301.1541,510,255,0,0,255,0,0,100,1,?,?,?,?,0,0,0,0,?,?,0,?,?,?,0,?,0,?,0,?,0,?,?,?,?,0.5,0.019608,?,?,?,?,?,?,?,?,?,?,?,?,0.127,0.342,0.13,0.33,130,330,1491632,29940720,15210645,0,0,?,?,?,?
FMN,1,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20230301.1541,510,255,0,0,255,0,0,100,1,?,?,?,?,0,0,0,0,?,?,0,?,?,?,0,?,0,?,0,?,0,?,?,?,?,0.5,0.019608,?,?,?,?,?,?,?,?,?,?,?,?,0.129,0.329,0.12,0.32,120,320,1491632,29940720,15210645,0,0,?,?,?,?
FMN,2,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20230301.1541,510,255,0,0,255,0,0,100,1,?,?,?,?,0,0,0,0,?,?,0,?,?,?,0,?,0,?,0,?,0,?,?,?,?,0.5,0.019608,?,?,?,?,?,?,?,?,?,?,?,?,0.128,0.343,0.13,0.32,130,320,1491632,29940720,15210645,0,0,?,?,?,?
FMN,2,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20230301.1541,510,255,0,0,255,0,0,100,1,?,?,?,?,0,0,0,0,?,?,0,?,?,?,0,?,0,?,0,?,0,?,?,?,?,0.5,0.019608,?,?,?,?,?,?,?,?,?,?,?,?,0.129,0.34,0.13,0.33,130,330,1491632,29940720,15210645,0,0,?,?,?,?
FMN,2,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20230301.1541,510,255,0,0,255,0,0,100,1,?,?,?,?,0,0,0,0,?,?,0,?,?,?,0,?,0,?,0,?,0,?,?,?,?,0.5,0.019608,?,?,?,?,?,?,?,?,?,?,?,?,0.129,0.347,0.13,0.33,130,330,1491632,29940720,15210645,0,0,?,?,?,?
FMN,3,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20230301.1541,510,255,0,0,255,0,0,100,1,?,?,?,?,0,0,0,0,?,?,0,?,?,?,0,?,0,?,0,?,0,?,?,?,?,0.5,0.019608,?,?,?,?,?,?,?,?,?,?,?,?,0.129,0.331,0.13,0.33,130,330,1491632,29940720,15210645,0,0,?,?,?,?
FMN,3,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20230301.1541,510,255,0,0,255,0,0,100,1,?,?,?,?,0,0,0,0,?,?,0,?,?,?,0,?,0,?,0,?,0,?,?,?,?,0.5,0.019608,?,?,?,?,?,?,?,?,?,?,?,?,0.128,0.338,0.12,0.33,120,330,1491632,29940720,15210645,0,0,?,?,?,?
FMN,3,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20230301.1541,510,255,0,0,255,0,0,100,1,?,?,?,?,0,0,0,0,?,?,0,?,?,?,0,?,0,?,0,?,0,?,?,?,?,0.5,0.019608,?,?,?,?,?,?,?,?,?,?,?,?,0.129,0.33,0.13,0.33,130,330,1491632,29940720,15210645,0,0,?,?,?,?
FMN,1,1,weka.classifiers.functions.SMO,'-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-6585883636378691736,20230301.1541,510,255,251,4,0,98.431373,1.568627,0,0.492537,0.015686,0.125245,38.972407,90.324446,35.536144,4296,-4260.463856,0.139357,16.847059,-16.707701,13.248537,0.051955,37.281865,0.4,2,0.004,1,0.996,249,0.6,3,0.666667,0.4,0.5,0.509201,0.698,0.278431,0.984314,0.588314,0.411686,0.015686,0.981793,0.984314,0.982384,0.509201,0.698,0.97415,0.746016,0.984314,0.146,0.009,0.15,0.01,150,10,963566,29940720,15210645,98.431373,50,?,?,?,?
